,id,roi,int,index,time
0,24_05_30_cell5_ch1,1,-0.0213,0,0.0
1,24_05_30_cell5_ch1,1,-0.0238,1,1.0
2,24_05_30_cell5_ch1,1,-0.0212,2,2.0
3,24_05_30_cell5_ch1,1,-0.0174,3,3.0
4,24_05_30_cell5_ch1,1,0.0837,4,4.0
5,24_05_30_cell5_ch1,1,0.621,5,5.0
6,24_05_30_cell5_ch1,1,1.1338,6,6.0
7,24_05_30_cell5_ch1,1,1.5809,7,7.0
8,24_05_30_cell5_ch1,1,1.9398,8,8.0
9,24_05_30_cell5_ch1,1,2.2396,9,9.0
10,24_05_30_cell5_ch1,1,2.5023,10,10.0
11,24_05_30_cell5_ch1,1,2.7176,11,11.0
12,24_05_30_cell5_ch1,1,2.9003,12,12.0
13,24_05_30_cell5_ch1,1,3.0515,13,13.0
14,24_05_30_cell5_ch1,1,3.191,14,14.0
15,24_05_30_cell5_ch1,1,3.3095,15,15.0
16,24_05_30_cell5_ch1,1,3.4373,16,16.0
17,24_05_30_cell5_ch1,1,3.5442,17,17.0
18,24_05_30_cell5_ch1,1,3.6239,18,18.0
19,24_05_30_cell5_ch1,1,3.6899,19,19.0
20,24_05_30_cell5_ch1,1,3.7618,20,20.0
21,24_05_30_cell5_ch1,1,3.3798,21,21.0
22,24_05_30_cell5_ch1,1,2.5951,22,22.0
23,24_05_30_cell5_ch1,1,2.0134,23,23.0
24,24_05_30_cell5_ch1,1,1.5944,24,24.0
25,24_05_30_cell5_ch1,1,1.2994,25,25.0
26,24_05_30_cell5_ch1,1,1.0903,26,26.0
27,24_05_30_cell5_ch1,1,0.9315,27,27.0
28,24_05_30_cell5_ch1,1,0.8103,28,28.0
29,24_05_30_cell5_ch1,1,0.7118,29,29.0
30,24_05_30_cell5_ch1,1,0.6501,30,30.0
31,24_05_30_cell5_ch1,1,0.5897,31,31.0
32,24_05_30_cell5_ch1,1,0.5381,32,32.0
33,24_05_30_cell5_ch1,1,0.5038,33,33.0
34,24_05_30_cell5_ch1,1,0.4713,34,34.0
35,24_05_30_cell5_ch1,1,0.4499,35,35.0
36,24_05_30_cell5_ch1,1,0.4411,36,36.0
37,24_05_30_cell5_ch1,1,0.4302,37,37.0
38,24_05_30_cell5_ch1,1,0.4024,38,38.0
