"","id","roi","int","index_app","i_app"
"1","24_05_30_cell2_ch1",1,124.0251,0,"25"
"2","24_05_30_cell2_ch1",1,123.3385,1,"25"
"3","24_05_30_cell2_ch1",1,123.7985,2,"25"
"4","24_05_30_cell2_ch1",1,122.8595,3,"25"
"5","24_05_30_cell2_ch1",1,124.4032,4,"25"
"6","24_05_30_cell2_ch1",1,154.1366,5,"25"
"7","24_05_30_cell2_ch1",1,184.4749,6,"25"
"8","24_05_30_cell2_ch1",1,209.816,7,"25"
"9","24_05_30_cell2_ch1",1,231.2273,8,"25"
"10","24_05_30_cell2_ch1",1,249.6648,9,"25"
"11","24_05_30_cell2_ch1",1,265.1518,10,"25"
"12","24_05_30_cell2_ch1",1,277.5773,11,"25"
"13","24_05_30_cell2_ch1",1,290.5461,12,"25"
"14","24_05_30_cell2_ch1",1,301.1496,13,"25"
"15","24_05_30_cell2_ch1",1,311.1449,14,"25"
"16","24_05_30_cell2_ch1",1,320.788,15,"25"
"17","24_05_30_cell2_ch1",1,329.2867,16,"25"
"18","24_05_30_cell2_ch1",1,338.2789,17,"25"
"19","24_05_30_cell2_ch1",1,346.0311,18,"25"
"20","24_05_30_cell2_ch1",1,354.4469,19,"25"
"21","24_05_30_cell2_ch1",1,362.4797,20,"25"
"22","24_05_30_cell2_ch1",1,371.5141,21,"25"
"23","24_05_30_cell2_ch1",1,346.7906,22,"25"
"24","24_05_30_cell2_ch1",1,302.1191,23,"25"
"25","24_05_30_cell2_ch1",1,269.6338,24,"25"
"26","24_05_30_cell2_ch1",1,246.8893,25,"25"
"27","24_05_30_cell2_ch1",1,229.1369,26,"25"
"28","24_05_30_cell2_ch1",1,216.0281,27,"25"
"29","24_05_30_cell2_ch1",1,205.8049,28,"25"
"30","24_05_30_cell2_ch1",1,197.5451,29,"25"
"31","24_05_30_cell2_ch1",1,191.1704,30,"25"
"32","24_05_30_cell2_ch1",1,186.4353,31,"25"
"33","24_05_30_cell2_ch1",1,182.7369,32,"25"
"34","24_05_30_cell2_ch1",1,179.023,33,"25"
"35","24_05_30_cell2_ch1",1,175.6597,34,"25"
"36","24_05_30_cell2_ch1",1,173.1812,35,"25"
"37","24_05_30_cell2_ch1",1,170.4898,36,"25"
"38","24_05_30_cell2_ch1",1,168.7162,37,"25"
"39","24_05_30_cell2_ch1",1,167.0735,38,"25"
"40","24_05_30_cell2_ch1",1,165.497,39,"25"
"41","24_05_30_cell2_ch1",1,163.2106,40,"25"
"42","24_05_30_cell2_ch1",1,161.9449,41,"25"
"43","24_05_30_cell2_ch1",1,160.2987,42,"25"
"44","24_05_30_cell2_ch1",1,159.5915,43,"25"
"45","24_05_30_cell2_ch1",1,157.8942,44,"25"
"46","24_05_30_cell2_ch1",1,157.6152,45,"25"
"47","24_05_30_cell2_ch1",1,155.9785,46,"25"
"48","24_05_30_cell2_ch1",1,154.5188,47,"25"
"49","24_05_30_cell2_ch1",1,153.6971,48,"25"
"50","24_05_30_cell2_ch1",1,153.3409,49,"25"
"51","24_05_30_cell2_ch1",1,151.577,50,"25"
"52","24_05_30_cell2_ch1",1,151.6134,51,"25"
"53","24_05_30_cell2_ch1",1,150.4166,52,"25"
"54","24_05_30_cell2_ch1",1,149.6535,53,"25"
"55","24_05_30_cell2_ch1",1,148.9009,54,"25"
"56","24_05_30_cell2_ch1",2,319.1186,0,"25"
"57","24_05_30_cell2_ch1",2,318.1492,1,"25"
"58","24_05_30_cell2_ch1",2,318.3935,2,"25"
"59","24_05_30_cell2_ch1",2,317.464,3,"25"
"60","24_05_30_cell2_ch1",2,322.3117,4,"25"
"61","24_05_30_cell2_ch1",2,405.0315,5,"25"
"62","24_05_30_cell2_ch1",2,472.5498,6,"25"
"63","24_05_30_cell2_ch1",2,526.4143,7,"25"
"64","24_05_30_cell2_ch1",2,571.9805,8,"25"
"65","24_05_30_cell2_ch1",2,610.7466,9,"25"
"66","24_05_30_cell2_ch1",2,643.6962,10,"25"
"67","24_05_30_cell2_ch1",2,672.1864,11,"25"
"68","24_05_30_cell2_ch1",2,700.7923,12,"25"
"69","24_05_30_cell2_ch1",2,725.481,13,"25"
"70","24_05_30_cell2_ch1",2,748.2886,14,"25"
"71","24_05_30_cell2_ch1",2,770.56,15,"25"
"72","24_05_30_cell2_ch1",2,790.8088,16,"25"
"73","24_05_30_cell2_ch1",2,810.9949,17,"25"
"74","24_05_30_cell2_ch1",2,828.7308,18,"25"
"75","24_05_30_cell2_ch1",2,848.4276,19,"25"
"76","24_05_30_cell2_ch1",2,866.7279,20,"25"
"77","24_05_30_cell2_ch1",2,884.2048,21,"25"
"78","24_05_30_cell2_ch1",2,810.2177,22,"25"
"79","24_05_30_cell2_ch1",2,724.3744,23,"25"
"80","24_05_30_cell2_ch1",2,665.6695,24,"25"
"81","24_05_30_cell2_ch1",2,624.1615,25,"25"
"82","24_05_30_cell2_ch1",2,590.2238,26,"25"
"83","24_05_30_cell2_ch1",2,563.2121,27,"25"
