"","id","roi","int","index_app","i_app"
"1","24_05_30_cell2_ch1",1,0.0027,0,"25"
"2","24_05_30_cell2_ch1",1,-0.0028,1,"25"
"3","24_05_30_cell2_ch1",1,9e-04,2,"25"
"4","24_05_30_cell2_ch1",1,-0.0067,3,"25"
"5","24_05_30_cell2_ch1",1,0.0058,4,"25"
"6","24_05_30_cell2_ch1",1,0.2462,5,"25"
"7","24_05_30_cell2_ch1",1,0.4915,6,"25"
"8","24_05_30_cell2_ch1",1,0.6964,7,"25"
"9","24_05_30_cell2_ch1",1,0.8695,8,"25"
"10","24_05_30_cell2_ch1",1,1.0186,9,"25"
"11","24_05_30_cell2_ch1",1,1.1438,10,"25"
"12","24_05_30_cell2_ch1",1,1.2442,11,"25"
"13","24_05_30_cell2_ch1",1,1.3491,12,"25"
"14","24_05_30_cell2_ch1",1,1.4348,13,"25"
"15","24_05_30_cell2_ch1",1,1.5156,14,"25"
"16","24_05_30_cell2_ch1",1,1.5936,15,"25"
"17","24_05_30_cell2_ch1",1,1.6623,16,"25"
"18","24_05_30_cell2_ch1",1,1.735,17,"25"
"19","24_05_30_cell2_ch1",1,1.7977,18,"25"
"20","24_05_30_cell2_ch1",1,1.8657,19,"25"
"21","24_05_30_cell2_ch1",1,1.9307,20,"25"
"22","24_05_30_cell2_ch1",1,2.0037,21,"25"
"23","24_05_30_cell2_ch1",1,1.8038,22,"25"
"24","24_05_30_cell2_ch1",1,1.4427,23,"25"
"25","24_05_30_cell2_ch1",1,1.18,24,"25"
"26","24_05_30_cell2_ch1",1,0.9961,25,"25"
"27","24_05_30_cell2_ch1",1,0.8526,26,"25"
"28","24_05_30_cell2_ch1",1,0.7466,27,"25"
"29","24_05_30_cell2_ch1",1,0.6639,28,"25"
"30","24_05_30_cell2_ch1",1,0.5972,29,"25"
"31","24_05_30_cell2_ch1",1,0.5456,30,"25"
"32","24_05_30_cell2_ch1",1,0.5073,31,"25"
"33","24_05_30_cell2_ch1",1,0.4774,32,"25"
"34","24_05_30_cell2_ch1",1,0.4474,33,"25"
"35","24_05_30_cell2_ch1",1,0.4202,34,"25"
"36","24_05_30_cell2_ch1",1,0.4002,35,"25"
"37","24_05_30_cell2_ch1",1,0.3784,36,"25"
"38","24_05_30_cell2_ch1",1,0.3641,37,"25"
"39","24_05_30_cell2_ch1",1,0.3508,38,"25"
"40","24_05_30_cell2_ch1",1,0.3381,39,"25"
"41","24_05_30_cell2_ch1",1,0.3196,40,"25"
"42","24_05_30_cell2_ch1",1,0.3093,41,"25"
"43","24_05_30_cell2_ch1",1,0.296,42,"25"
"44","24_05_30_cell2_ch1",1,0.2903,43,"25"
"45","24_05_30_cell2_ch1",1,0.2766,44,"25"
"46","24_05_30_cell2_ch1",1,0.2743,45,"25"
"47","24_05_30_cell2_ch1",1,0.2611,46,"25"
"48","24_05_30_cell2_ch1",1,0.2493,47,"25"
"49","24_05_30_cell2_ch1",1,0.2426,48,"25"
"50","24_05_30_cell2_ch1",1,0.2398,49,"25"
"51","24_05_30_cell2_ch1",1,0.2255,50,"25"
"52","24_05_30_cell2_ch1",1,0.2258,51,"25"
"53","24_05_30_cell2_ch1",1,0.2161,52,"25"
"54","24_05_30_cell2_ch1",1,0.21,53,"25"
"55","24_05_30_cell2_ch1",1,0.2039,54,"25"
"56","24_05_30_cell2_ch1",2,1e-04,0,"25"
"57","24_05_30_cell2_ch1",2,-0.0029,1,"25"
"58","24_05_30_cell2_ch1",2,-0.0022,2,"25"
"59","24_05_30_cell2_ch1",2,-0.0051,3,"25"
"60","24_05_30_cell2_ch1",2,0.0101,4,"25"
"61","24_05_30_cell2_ch1",2,0.2693,5,"25"
"62","24_05_30_cell2_ch1",2,0.4809,6,"25"
"63","24_05_30_cell2_ch1",2,0.6497,7,"25"
"64","24_05_30_cell2_ch1",2,0.7926,8,"25"
"65","24_05_30_cell2_ch1",2,0.914,9,"25"
"66","24_05_30_cell2_ch1",2,1.0173,10,"25"
"67","24_05_30_cell2_ch1",2,1.1066,11,"25"
"68","24_05_30_cell2_ch1",2,1.1962,12,"25"
"69","24_05_30_cell2_ch1",2,1.2736,13,"25"
"70","24_05_30_cell2_ch1",2,1.3451,14,"25"
"71","24_05_30_cell2_ch1",2,1.4149,15,"25"
"72","24_05_30_cell2_ch1",2,1.4783,16,"25"
"73","24_05_30_cell2_ch1",2,1.5416,17,"25"
"74","24_05_30_cell2_ch1",2,1.5972,18,"25"
"75","24_05_30_cell2_ch1",2,1.6589,19,"25"
"76","24_05_30_cell2_ch1",2,1.7163,20,"25"
"77","24_05_30_cell2_ch1",2,1.771,21,"25"
"78","24_05_30_cell2_ch1",2,1.5392,22,"25"
"79","24_05_30_cell2_ch1",2,1.2701,23,"25"
"80","24_05_30_cell2_ch1",2,1.0862,24,"25"
"81","24_05_30_cell2_ch1",2,0.9561,25,"25"
"82","24_05_30_cell2_ch1",2,0.8497,26,"25"
"83","24_05_30_cell2_ch1",2,0.7651,27,"25"
"84","24_05_30_cell2_ch1",2,0.6967,28,"25"
"85","24_05_30_cell2_ch1",2,0.6396,29,"25"
"86","24_05_30_cell2_ch1",2,0.5913,30,"25"
"87","24_05_30_cell2_ch1",2,0.5518,31,"25"
"88","24_05_30_cell2_ch1",2,0.5186,32,"25"
"89","24_05_30_cell2_ch1",2,0.4885,33,"25"
"90","24_05_30_cell2_ch1",2,0.4622,34,"25"
"91","24_05_30_cell2_ch1",2,0.4383,35,"25"
"92","24_05_30_cell2_ch1",2,0.4154,36,"25"
"93","24_05_30_cell2_ch1",2,0.3984,37,"25"
"94","24_05_30_cell2_ch1",2,0.3821,38,"25"
"95","24_05_30_cell2_ch1",2,0.3672,39,"25"
"96","24_05_30_cell2_ch1",2,0.3508,40,"25"
"97","24_05_30_cell2_ch1",2,0.3389,41,"25"
"98","24_05_30_cell2_ch1",2,0.3265,42,"25"
"99","24_05_30_cell2_ch1",2,0.317,43,"25"
"100","24_05_30_cell2_ch1",2,0.3042,44,"25"
"101","24_05_30_cell2_ch1",2,0.2972,45,"25"
"102","24_05_30_cell2_ch1",2,0.2864,46,"25"
"103","24_05_30_cell2_ch1",2,0.2763,47,"25"
"104","24_05_30_cell2_ch1",2,0.2675,48,"25"
"105","24_05_30_cell2_ch1",2,0.2621,49,"25"
"106","24_05_30_cell2_ch1",2,0.2516,50,"25"
"107","24_05_30_cell2_ch1",2,0.2481,51,"25"
"108","24_05_30_cell2_ch1",2,0.2394,52,"25"
"109","24_05_30_cell2_ch1",2,0.2337,53,"25"
"110","24_05_30_cell2_ch1",2,0.2278,54,"25"
"111","24_05_30_cell2_ch1",3,0.0049,0,"25"
"112","24_05_30_cell2_ch1",3,-0.0014,1,"25"
"113","24_05_30_cell2_ch1",3,-0.0018,2,"25"
"114","24_05_30_cell2_ch1",3,-0.0057,3,"25"
"115","24_05_30_cell2_ch1",3,0.0041,4,"25"
"116","24_05_30_cell2_ch1",3,0.1765,5,"25"
"117","24_05_30_cell2_ch1",3,0.3889,6,"25"
"118","24_05_30_cell2_ch1",3,0.5996,7,"25"
"119","24_05_30_cell2_ch1",3,0.7836,8,"25"
"120","24_05_30_cell2_ch1",3,0.9473,9,"25"
"121","24_05_30_cell2_ch1",3,1.0952,10,"25"
"122","24_05_30_cell2_ch1",3,1.2129,11,"25"
"123","24_05_30_cell2_ch1",3,1.3237,12,"25"
"124","24_05_30_cell2_ch1",3,1.4224,13,"25"
"125","24_05_30_cell2_ch1",3,1.5073,14,"25"
"126","24_05_30_cell2_ch1",3,1.5874,15,"25"
"127","24_05_30_cell2_ch1",3,1.6603,16,"25"
"128","24_05_30_cell2_ch1",3,1.7368,17,"25"
"129","24_05_30_cell2_ch1",3,1.7933,18,"25"
"130","24_05_30_cell2_ch1",3,1.8716,19,"25"
"131","24_05_30_cell2_ch1",3,1.9338,20,"25"
"132","24_05_30_cell2_ch1",3,1.9995,21,"25"
"133","24_05_30_cell2_ch1",3,1.8722,22,"25"
"134","24_05_30_cell2_ch1",3,1.558,23,"25"
"135","24_05_30_cell2_ch1",3,1.2794,24,"25"
"136","24_05_30_cell2_ch1",3,1.0567,25,"25"
"137","24_05_30_cell2_ch1",3,0.865,26,"25"
"138","24_05_30_cell2_ch1",3,0.7208,27,"25"
"139","24_05_30_cell2_ch1",3,0.6148,28,"25"
"140","24_05_30_cell2_ch1",3,0.5291,29,"25"
"141","24_05_30_cell2_ch1",3,0.452,30,"25"
"142","24_05_30_cell2_ch1",3,0.3982,31,"25"
"143","24_05_30_cell2_ch1",3,0.3555,32,"25"
"144","24_05_30_cell2_ch1",3,0.3149,33,"25"
"145","24_05_30_cell2_ch1",3,0.2791,34,"25"
"146","24_05_30_cell2_ch1",3,0.2483,35,"25"
"147","24_05_30_cell2_ch1",3,0.2311,36,"25"
"148","24_05_30_cell2_ch1",3,0.2133,37,"25"
"149","24_05_30_cell2_ch1",3,0.1932,38,"25"
"150","24_05_30_cell2_ch1",3,0.1775,39,"25"
"151","24_05_30_cell2_ch1",3,0.1613,40,"25"
"152","24_05_30_cell2_ch1",3,0.1512,41,"25"
"153","24_05_30_cell2_ch1",3,0.1415,42,"25"
"154","24_05_30_cell2_ch1",3,0.1361,43,"25"
"155","24_05_30_cell2_ch1",3,0.1224,44,"25"
"156","24_05_30_cell2_ch1",3,0.1137,45,"25"
"157","24_05_30_cell2_ch1",3,0.1058,46,"25"
"158","24_05_30_cell2_ch1",3,0.1033,47,"25"
"159","24_05_30_cell2_ch1",3,0.095,48,"25"
"160","24_05_30_cell2_ch1",3,0.0937,49,"25"
"161","24_05_30_cell2_ch1",3,0.0839,50,"25"
"162","24_05_30_cell2_ch1",3,0.0806,51,"25"
"163","24_05_30_cell2_ch1",3,0.0786,52,"25"
"164","24_05_30_cell2_ch1",3,0.075,53,"25"
"165","24_05_30_cell2_ch1",3,0.0709,54,"25"
"166","24_05_30_cell2_ch1",4,0.0016,0,"25"
"167","24_05_30_cell2_ch1",4,-0.003,1,"25"
"168","24_05_30_cell2_ch1",4,-0.0039,2,"25"
"169","24_05_30_cell2_ch1",4,-0.0062,3,"25"
"170","24_05_30_cell2_ch1",4,0.0116,4,"25"
"171","24_05_30_cell2_ch1",4,0.3136,5,"25"
"172","24_05_30_cell2_ch1",4,0.5783,6,"25"
"173","24_05_30_cell2_ch1",4,0.8058,7,"25"
"174","24_05_30_cell2_ch1",4,0.9958,8,"25"
"175","24_05_30_cell2_ch1",4,1.1583,9,"25"
"176","24_05_30_cell2_ch1",4,1.3028,10,"25"
"177","24_05_30_cell2_ch1",4,1.423,11,"25"
"178","24_05_30_cell2_ch1",4,1.5356,12,"25"
"179","24_05_30_cell2_ch1",4,1.6351,13,"25"
"180","24_05_30_cell2_ch1",4,1.7266,14,"25"
"181","24_05_30_cell2_ch1",4,1.8106,15,"25"
"182","24_05_30_cell2_ch1",4,1.8892,16,"25"
"183","24_05_30_cell2_ch1",4,1.9702,17,"25"
"184","24_05_30_cell2_ch1",4,2.0318,18,"25"
"185","24_05_30_cell2_ch1",4,2.1093,19,"25"
"186","24_05_30_cell2_ch1",4,2.1779,20,"25"
"187","24_05_30_cell2_ch1",4,2.2377,21,"25"
"188","24_05_30_cell2_ch1",4,1.9442,22,"25"
"189","24_05_30_cell2_ch1",4,1.5839,23,"25"
"190","24_05_30_cell2_ch1",4,1.3253,24,"25"
"191","24_05_30_cell2_ch1",4,1.1301,25,"25"
"192","24_05_30_cell2_ch1",4,0.9684,26,"25"
"193","24_05_30_cell2_ch1",4,0.8475,27,"25"
"194","24_05_30_cell2_ch1",4,0.753,28,"25"
"195","24_05_30_cell2_ch1",4,0.6756,29,"25"
"196","24_05_30_cell2_ch1",4,0.6055,30,"25"
"197","24_05_30_cell2_ch1",4,0.5488,31,"25"
"198","24_05_30_cell2_ch1",4,0.501,32,"25"
"199","24_05_30_cell2_ch1",4,0.4576,33,"25"
"200","24_05_30_cell2_ch1",4,0.4172,34,"25"
"201","24_05_30_cell2_ch1",4,0.3837,35,"25"
"202","24_05_30_cell2_ch1",4,0.3572,36,"25"
"203","24_05_30_cell2_ch1",4,0.3328,37,"25"
"204","24_05_30_cell2_ch1",4,0.3092,38,"25"
"205","24_05_30_cell2_ch1",4,0.2891,39,"25"
"206","24_05_30_cell2_ch1",4,0.2688,40,"25"
"207","24_05_30_cell2_ch1",4,0.2531,41,"25"
"208","24_05_30_cell2_ch1",4,0.2394,42,"25"
"209","24_05_30_cell2_ch1",4,0.2295,43,"25"
"210","24_05_30_cell2_ch1",4,0.214,44,"25"
"211","24_05_30_cell2_ch1",4,0.2025,45,"25"
"212","24_05_30_cell2_ch1",4,0.192,46,"25"
"213","24_05_30_cell2_ch1",4,0.1859,47,"25"
"214","24_05_30_cell2_ch1",4,0.1757,48,"25"
"215","24_05_30_cell2_ch1",4,0.1709,49,"25"
"216","24_05_30_cell2_ch1",4,0.1608,50,"25"
"217","24_05_30_cell2_ch1",4,0.1556,51,"25"
"218","24_05_30_cell2_ch1",4,0.1502,52,"25"
"219","24_05_30_cell2_ch1",4,0.1436,53,"25"
"220","24_05_30_cell2_ch1",4,0.1381,54,"25"
"221","24_05_30_cell2_ch1",5,-0.0018,0,"25"
"222","24_05_30_cell2_ch1",5,-0.0057,1,"25"
"223","24_05_30_cell2_ch1",5,-0.006,2,"25"
"224","24_05_30_cell2_ch1",5,-0.0081,3,"25"
"225","24_05_30_cell2_ch1",5,0.0217,4,"25"
"226","24_05_30_cell2_ch1",5,0.4483,5,"25"
"227","24_05_30_cell2_ch1",5,0.7544,6,"25"
"228","24_05_30_cell2_ch1",5,0.9958,7,"25"
"229","24_05_30_cell2_ch1",5,1.1952,8,"25"
"230","24_05_30_cell2_ch1",5,1.3624,9,"25"
"231","24_05_30_cell2_ch1",5,1.5054,10,"25"
"232","24_05_30_cell2_ch1",5,1.6289,11,"25"
"233","24_05_30_cell2_ch1",5,1.7437,12,"25"
"234","24_05_30_cell2_ch1",5,1.8437,13,"25"
"235","24_05_30_cell2_ch1",5,1.9346,14,"25"
"236","24_05_30_cell2_ch1",5,2.0207,15,"25"
"237","24_05_30_cell2_ch1",5,2.1018,16,"25"
"238","24_05_30_cell2_ch1",5,2.1769,17,"25"
"239","24_05_30_cell2_ch1",5,2.2441,18,"25"
"240","24_05_30_cell2_ch1",5,2.3175,19,"25"
"241","24_05_30_cell2_ch1",5,2.3835,20,"25"
"242","24_05_30_cell2_ch1",5,2.4411,21,"25"
"243","24_05_30_cell2_ch1",5,2.0365,22,"25"
"244","24_05_30_cell2_ch1",5,1.6234,23,"25"
"245","24_05_30_cell2_ch1",5,1.3502,24,"25"
"246","24_05_30_cell2_ch1",5,1.1554,25,"25"
"247","24_05_30_cell2_ch1",5,1.0025,26,"25"
"248","24_05_30_cell2_ch1",5,0.8852,27,"25"
"249","24_05_30_cell2_ch1",5,0.7925,28,"25"
"250","24_05_30_cell2_ch1",5,0.7177,29,"25"
