NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC],
0,0.16320,-8.54,0.16650,-75.16,0.17400,-16.88,0.24270,66.61,327.39,
1,0.40080,-17.24,0.40920,-74.06,0.41910,-18.44,0.04950,56.82,397.75,
2,0.45540,-1.30,0.45870,-63.44,0.47520,-9.84,0.05370,62.14,550.48,
3,0.50520,-23.65,0.51240,-102.19,0.51900,-22.19,0.43860,78.54,476.22,
4,0.94620,-7.76,0.95100,-87.66,0.95850,-22.19,0.19440,79.90,525.38,
5,1.14240,-4.90,1.14540,-63.28,1.15410,-15.16,0.00000,58.39,382.11,
6,1.18260,-15.99,1.14540,-63.28,1.20390,-14.06,0.00000,47.29,224.16,
7,1.34910,-10.57,1.14540,-63.28,1.36320,-8.59,0.26700,52.71,231.98,
8,1.40880,-12.14,1.41240,-72.19,1.42860,-15.47,0.51390,60.05,380.69,
9,1.92270,-6.46,1.92630,-56.09,1.93380,-9.22,0.28920,49.64,247.80,
10,2.21100,-13.85,2.21550,-72.50,2.23140,-20.31,0.35370,58.65,380.39,
11,2.56620,-3.54,2.56920,-66.25,2.57640,-7.81,0.01890,62.71,337.20,
12,2.58420,-5.31,2.58810,-75.78,2.60370,-28.91,0.08700,70.47,579.70,
13,2.66880,-6.56,2.67510,-62.81,2.69190,-9.53,0.03090,56.25,484.45,
14,2.69850,-7.03,2.70600,-54.38,2.71590,-2.66,0.08070,47.34,338.30,
15,2.77920,-5.31,2.78670,-65.78,2.79660,-3.91,0.27750,60.47,377.44,
16,3.05520,-3.02,3.06420,-66.56,3.07290,-10.94,0.09150,63.54,562.83,
17,3.14730,-7.14,3.15570,-69.69,3.16530,-11.72,0.02610,62.55,491.78,
18,3.17850,-15.52,3.18180,-73.44,3.19290,-13.59,0.08550,57.92,330.69,
19,3.26190,-15.99,3.26730,-59.37,3.27780,-12.03,0.19080,43.39,252.75,
20,3.45330,-20.47,3.45810,-75.94,3.46830,-14.69,0.12270,55.47,331.50,
21,3.57660,-14.17,3.58080,-93.91,3.59310,-11.72,0.04530,79.74,565.81,
22,3.61950,-2.66,3.62610,-65.63,3.63330,-12.97,0.20520,62.97,547.83,
23,3.82200,-0.31,3.83130,-57.50,3.84150,0.16,0.33390,57.19,324.89,
24,4.16160,-6.04,4.16520,-65.47,4.17900,-3.28,0.26820,59.43,432.97,
25,4.42290,-6.09,4.43340,-77.50,4.43940,-12.81,0.07290,71.41,579.00,
26,4.50180,-11.61,4.50630,-62.34,4.51320,-3.75,0.20910,50.73,234.75,
27,4.71240,-16.09,4.71540,-82.50,4.73220,-15.94,0.23760,66.41,469.64,
28,4.94310,-13.07,4.95300,-66.41,4.96860,-12.03,0.05550,53.33,314.14,
29,5.00520,-2.14,5.00850,-67.97,5.01720,-6.72,0.16200,65.83,371.38,
30,5.16480,-8.85,5.17050,-84.69,5.17680,-21.25,0.34950,75.83,470.14,
31,5.51670,-16.98,5.52000,-75.78,5.52630,-18.91,0.30480,58.80,239.62,
32,5.81910,-5.73,5.82480,-84.22,5.83290,-20.47,0.24930,78.49,486.69,
33,6.07170,-6.77,6.07410,-76.25,6.08790,-1.09,0.06330,69.48,398.37,
34,6.13230,9.69,6.13740,-50.00,6.15030,-0.16,0.08490,59.69,531.00,
35,6.21540,-0.36,6.22230,-77.81,6.23910,-5.00,0.43710,77.45,642.16,
36,6.65550,-11.77,6.65940,-81.72,6.67140,-11.25,0.10500,69.95,569.62,
37,6.76050,-16.15,6.76440,-86.25,6.77460,-15.78,0.03660,70.10,442.45,
38,6.79680,-19.11,6.80100,-114.69,6.81240,-22.03,0.16260,95.57,857.59,
39,6.95670,-16.46,6.96360,-61.56,6.96990,-6.72,0.04350,45.10,235.55,
40,7.00230,-5.47,7.00710,-75.94,7.02150,-11.41,0.14250,70.47,688.69,
41,7.14150,7.40,7.14960,-65.31,7.16370,-7.50,0.20460,72.71,704.30,
42,7.34460,-60.00,7.35420,-87.97,7.35960,-20.94,0.11730,27.97,0.00,
43,7.46700,-16.77,7.47150,-83.91,7.47870,-32.50,0.07950,67.14,458.94,
44,7.54710,-8.07,7.55100,-56.09,7.56090,3.13,0.03360,48.02,159.50,
45,7.57980,-14.32,7.58460,-96.25,7.59900,-15.78,0.15480,81.93,570.22,
46,7.73640,-3.07,7.73940,-65.94,7.75590,-17.97,0.15690,62.86,516.52,
47,7.89180,-8.23,7.89630,-60.47,7.90560,-7.34,0.04650,52.24,274.06,
48,7.93440,-20.99,7.94280,-78.44,7.94790,-20.31,0.18690,57.45,411.12,
49,8.12100,-1.46,8.12970,-70.00,8.14620,-4.22,0.04110,68.54,520.86,
50,8.16600,-12.97,8.17080,-112.50,8.17890,-29.69,0.30570,99.53,751.55,
51,8.46990,-3.91,8.47650,-64.38,8.48580,-6.88,0.08790,60.47,373.88,
52,8.55480,-19.79,8.56440,-89.22,8.57460,-14.38,0.15630,69.43,449.50,
53,8.71530,3.13,8.72070,-82.66,8.73480,-11.88,0.35970,85.78,906.38,
54,9.07020,-25.05,9.08040,-70.47,9.09090,-4.69,0.12360,45.42,135.55,
55,9.19830,3.13,9.20400,-67.81,9.21270,-17.34,0.12990,70.94,571.55,
56,9.32460,-20.52,9.33390,-71.88,9.34380,-11.41,0.18900,51.35,257.31,
57,9.52020,-4.43,9.52290,-70.47,9.53850,-23.44,0.09030,66.04,572.36,
58,9.60720,-0.42,9.61320,-69.84,9.62880,-23.75,0.04050,69.43,769.47,
59,9.64380,-5.73,9.65370,-59.53,9.66570,-7.81,0.16050,53.80,400.77,
