NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC]
0,0.0816,-280.19,0.0861,-332.75,0.0915,-280.19,0.0459,52.56,64.45
1,0.1266,-252.76,0.132,-291.06,0.1377,-252.76,0.0126,38.3,176.15
2,0.1392,-250.54,0.1446,-318.94,0.1575,-250.54,0.1446,68.4,574.24
3,0.2856,-251.14,0.2892,-299.56,0.2988,-251.14,0.0933,48.42,173.03
4,0.3771,-251.45,0.3825,-304.88,0.3933,-251.45,0.018,53.42,319.42
5,0.3981,-253.8,0.4005,-297.38,0.4134,-253.8,0.1653,43.57,298.05
6,0.5604,-256.01,0.5658,-299.06,0.5769,-256.01,0.072,43.05,298.34
7,0.633,-254.17,0.6378,-302.25,0.6453,-254.17,0.1005,48.08,173.57
8,0.7347,-240.97,0.7383,-295.69,0.7512,-240.97,0.0222,54.71,315.49
9,0.7581,-257.76,0.7605,-299.56,0.768,-257.76,0.2439,41.81,152.04
10,0.9984,-267.27,1.0044,-328.19,1.0143,-267.27,0.1668,60.91,382.25
11,1.1673,-270.79,1.1712,-335.5,1.1793,-270.79,0.27,64.71,196.15
12,1.4358,-246.69,1.4412,-285.81,1.4541,-246.69,0.0588,39.12,286.43
13,1.4961,-251.37,1.5,-287.81,1.512,-251.37,0.0573,36.44,176.05
14,1.5525,-259.15,1.5573,-295.81,1.5636,-259.15,0.0111,36.66,109.84
15,1.5636,-257.35,1.5684,-306.31,1.5762,-257.35,0.0348,48.96,180.58
16,1.6008,-259.74,1.6032,-299,1.6161,-259.74,0.2484,39.26,248.85
17,1.8462,-245.59,1.8516,-296.69,1.8582,-245.59,0.0852,51.09,226.08
18,1.9314,-248.55,1.9368,-304.56,1.9497,-248.55,0.153,56.01,361.59
19,2.0844,-256.15,2.0898,-313.94,2.0976,-256.15,0.0135,57.79,247.64
20,2.1009,-249.67,2.1033,-302.06,2.1162,-249.67,0.1101,52.39,298.55
21,2.2077,-253.6,2.2134,-298.25,2.226,-253.6,0.2559,44.65,302.58
22,2.4639,-246.45,2.4693,-300.81,2.4822,-246.45,0.099,54.36,455.71
23,2.5632,-258.17,2.5683,-297.19,2.5782,-258.17,0.0141,39.01,140.77
24,2.5788,-256.35,2.5824,-332.31,2.5935,-256.35,0.0537,75.96,370.53
25,2.6307,-247.85,2.6361,-303.63,2.649,-247.85,0.0999,55.78,486.86
26,2.7306,-260.83,2.736,-296.38,2.7441,-260.83,0.0753,35.54,150.19
27,2.8059,-247.68,2.8113,-287.31,2.8242,-247.68,0.1065,39.63,328.76
28,2.9124,-241.95,2.9178,-306.88,2.9307,-241.95,0.0492,64.92,431.09
29,2.9634,-250.53,2.967,-287.56,2.9772,-250.53,0.0378,37.03,192.04
30,3.0009,-249.96,3.0048,-327.44,3.015,-249.96,0.0351,77.47,354.05
31,3.0351,-256.12,3.0399,-301.81,3.0462,-256.12,0.0672,45.69,154.05
32,3.102,-253.99,3.1071,-309.69,3.1146,-253.99,0.2493,55.69,224.71
33,3.354,-251.76,3.3564,-292.06,3.3693,-251.76,0.1128,40.3,175.41
34,3.4644,-243.4,3.4692,-308.25,3.4785,-243.4,0.0609,64.85,328.81
35,3.5253,-247.05,3.5301,-282.81,3.5394,-247.05,0.0546,35.76,191.41
36,3.5796,-251.8,3.5847,-289.13,3.5907,-251.8,0.2367,37.32,95.78
37,3.816,-247.14,3.8214,-316.44,3.8271,-247.14,0.1092,69.3,242.34
38,3.9258,-240.95,3.9306,-285.44,3.9387,-240.95,0.0462,44.49,177.79
39,3.9732,-251.83,3.9768,-290.13,3.9843,-251.83,0.1152,38.29,127.15
40,4.0884,-245.91,4.092,-285.5,4.1001,-245.91,0.0594,39.59,149.75
41,4.1466,-246.03,4.1514,-294.63,4.1604,-246.03,0.0435,48.59,230.45
42,4.1901,-249.03,4.1949,-301.38,4.2078,-249.03,0.1344,52.35,251.46
43,4.3239,-253.64,4.3293,-306.81,4.3422,-253.64,0.0924,53.17,331.41
44,4.4181,-251.57,4.4217,-293.31,4.434,-251.57,0.3195,41.74,242.19
45,4.7376,-251.59,4.7412,-291.88,4.7502,-251.59,0.4836,40.28,135.34
46,5.2212,-251.55,5.2248,-288.75,5.2377,-251.55,0.0522,37.2,263.2
47,5.2719,-253.54,5.277,-290.13,5.2866,-253.54,0.0333,36.58,164.86
48,5.3049,-247.29,5.3103,-304.81,5.3232,-247.29,0.0375,57.52,381.07
49,5.343,-237.59,5.3478,-283.94,5.3607,-237.59,0.2001,46.34,291.84
50,5.5425,-247.23,5.5479,-300.38,5.5608,-247.23,0.2232,53.14,337.1
51,5.7657,-250.39,5.7711,-292.88,5.781,-250.39,0.0261,42.48,211.62
52,5.7912,-257.75,5.7972,-302.31,5.808,-257.75,0.0474,44.56,277.69
53,5.8392,-241.14,5.8446,-300.25,5.8548,-241.14,0.0903,59.11,319.78
54,5.9301,-251,5.9349,-308.56,5.9442,-251,0.1824,57.56,274.34
55,6.1119,-246.34,6.1173,-288.88,6.1266,-246.34,0.2463,42.53,190.67
56,6.36,-252.27,6.3636,-339.81,6.3741,-252.27,0.0939,87.54,261.2
57,6.4521,-245.75,6.4575,-289.69,6.4647,-245.75,0.0108,43.94,122.43
58,6.4647,-241.47,6.4683,-304.81,6.4797,-241.47,0.0615,63.35,285.62
59,6.5244,-238.34,6.5298,-283.38,6.5424,-238.34,0.0189,45.04,345.55
60,6.5439,-243.07,6.5487,-303.06,6.5562,-243.07,0.0603,59.99,216.93
61,6.6042,-247.68,6.609,-290.88,6.6156,-247.68,0.0723,43.2,117.14
62,6.6765,-251.33,6.6813,-293,6.6894,-251.33,0.078,41.67,174.34
63,6.7545,-243.9,6.7593,-286.06,6.7722,-243.9,0.1173,42.16,217.37
64,6.8718,-240.55,6.8766,-293.88,6.8844,-240.55,0.0921,53.32,176.55
65,6.9651,-243.61,6.9687,-285.38,6.9816,-243.61,0.1374,41.76,287.53
66,7.1025,-236.69,7.1061,-309.63,7.119,-236.69,0.0516,72.94,403.94
67,7.1529,-249.26,7.1577,-317.19,7.1649,-249.26,0.0855,67.93,252.45
68,7.2378,-263.35,7.2432,-323.81,7.2498,-263.35,0.0486,60.47,303.53
69,7.2864,-264.71,7.2918,-340.75,7.3041,-264.71,0.1644,76.04,409.18
70,7.4526,-252.38,7.4562,-302.44,7.4637,-252.38,0.1263,50.05,176.49
71,7.578,-258.67,7.5825,-310.38,7.59,-258.67,0.2565,51.71,166.41
72,7.8357,-269.75,7.839,-305.63,7.8474,-269.75,0.0189,35.88,27.01
73,7.8528,-259.88,7.8579,-308.56,7.8672,-259.88,0.5985,48.68,219.67
74,8.451,-258.63,8.4564,-296,8.4693,-258.63,0.1044,37.37,267.98
75,8.5551,-272.08,8.5608,-338.06,8.568,-272.08,0.021,65.98,333.7
76,8.5785,-248.2,8.5818,-286.63,8.5905,-248.2,0.0681,38.43,132.08
77,8.6451,-247.85,8.6499,-319.31,8.661,-247.85,0.0258,71.46,348.54
78,8.6721,-253.26,8.6757,-295.06,8.6829,-253.26,0.2211,41.81,111.3
79,8.892,-251.62,8.8968,-288.69,8.9052,-251.62,0.1995,37.07,152.06
80,9.0909,-249.11,9.0963,-302.06,9.1041,-249.11,0.1014,52.96,259.49
81,9.1923,-252.71,9.1977,-296.06,9.2058,-252.71,0.2967,43.35,142.99
82,9.489,-256.09,9.4944,-316.31,9.5034,-256.09,0.1599,60.23,318.8
83,9.6495,-254.75,9.6543,-297.75,9.6651,-254.75,0.2013,43,177.09
84,9.8502,-254.04,9.8556,-299,9.8634,-254.04,0.4515,44.96,151.74
85,10.3023,-248.27,10.3071,-305.81,10.32,-248.27,0.0651,57.55,290.35
86,10.3668,-268.95,10.3722,-313.06,10.3779,-268.95,0.186,44.11,134.24
87,10.5528,-261.13,10.5582,-306.31,10.5666,-261.13,0.0231,45.18,167.85
88,10.5759,-259.69,10.5813,-322,10.5912,-259.69,0.2325,62.31,345.2
89,10.8084,-259.62,10.8138,-300.5,10.8207,-259.62,0.0474,40.88,191.17
90,10.8576,-262.76,10.8612,-330.5,10.872,-262.76,0.0963,67.74,254.3
91,10.9521,-268.18,10.9575,-324.94,10.965,-268.18,0.0651,56.75,185.91
92,11.019,-254.17,11.0226,-294.88,11.0355,-254.17,0.0306,40.7,309.09
93,11.0478,-255.37,11.0532,-319.56,11.0616,-255.37,0.0135,64.19,287.38
94,11.0616,-251.6,11.0667,-293.19,11.0796,-251.6,0.0423,41.59,303.25
95,11.1066,-258.11,11.109,-302.69,11.1219,-258.11,0.0363,44.57,236.17
96,11.1417,-263.26,11.1453,-317.94,11.1582,-263.26,0.0324,54.68,242.71
97,11.1738,-273.97,11.1777,-322.06,11.1846,-273.97,0.2538,48.09,199.08
98,11.4261,-259.71,11.4315,-300.38,11.4393,-259.71,0.0213,40.66,180.53
99,11.4474,-254.7,11.4528,-296.13,11.4636,-254.7,0.1569,41.43,276.17
100,11.6061,-245.42,11.6097,-285.63,11.6226,-245.42,0.1302,40.2,213.73
101,11.7351,-253.42,11.7399,-309.94,11.7528,-253.42,0.0246,56.52,270.98
102,11.7585,-264.57,11.7645,-309.13,11.7726,-264.57,0.3012,44.55,274.76
103,12.0621,-258.98,12.0657,-310.13,12.0759,-258.98,0.0657,51.15,180.66
104,12.1278,-269.29,12.1314,-305.69,12.1365,-269.29,0.0321,36.4,96.83
105,12.159,-278.38,12.1635,-320.38,12.1704,-278.38,0.1395,42,160.64
106,12.2994,-258.03,12.303,-301.25,12.3114,-258.03,0.0342,43.22,119.61
107,12.3318,-253.09,12.3372,-314.06,12.3501,-253.09,0.159,60.97,382.01
108,12.4926,-255.32,12.4962,-292.81,12.5058,-255.32,0.0987,37.49,141.45
109,12.5895,-249.74,12.5949,-285.31,12.6078,-249.74,0.0684,35.57,291.16
110,12.657,-264.95,12.6633,-309.94,12.669,-264.95,0.0105,44.98,242.04
111,12.669,-266.12,12.6738,-305.81,12.6795,-266.12,0.1515,39.69,93.73
112,12.8199,-258.24,12.8253,-302.06,12.8328,-258.24,0.1686,43.83,215.5
113,12.9903,-267.02,12.9939,-320.38,13.0017,-267.02,0.0723,53.35,185.38
114,13.0614,-258.91,13.0662,-312.13,13.0791,-258.91,0.0681,53.21,266.15
115,13.1307,-252.82,13.1343,-293.19,13.1409,-252.82,0.1377,40.37,108.3
116,13.2681,-257.92,13.272,-299.25,13.2816,-257.92,0.0564,41.33,171.05
117,13.3248,-255.13,13.3284,-314.44,13.3413,-255.13,0.0534,59.31,291.82
118,13.3782,-262.79,13.3818,-319.44,13.3902,-262.79,0.1326,56.64,204.63
119,13.5087,-254.67,13.5144,-315.88,13.5258,-254.67,0.1002,61.2,379.67
120,13.6092,-254.61,13.6146,-313.38,13.6257,-254.61,0.5607,58.76,281.74
121,14.1693,-245.94,14.1753,-294.63,14.1882,-245.94,0.096,48.68,430.13
122,14.2653,-251,14.2713,-340.25,14.2842,-251,0.0597,89.25,730.91
123,14.3256,-244.2,14.331,-283.31,14.3439,-244.2,0.0798,39.12,372.17
124,14.4054,-237.43,14.4108,-289.56,14.4237,-237.43,0.096,52.14,299.63
125,14.5014,-245.66,14.5068,-306.06,14.5197,-245.66,0.0258,60.4,364.49
126,14.5302,-253.03,14.5326,-314.69,14.5455,-253.03,0.0273,61.65,328.71
127,14.5548,-253.97,14.5599,-295.75,14.5671,-253.97,0.0684,41.78,176.85
128,14.6229,-243.66,14.6283,-282.5,14.6412,-243.66,0.1299,38.84,268.35
129,14.7546,-242.51,14.7582,-282.69,14.7651,-242.51,0.0747,40.18,112.77
130,14.8305,-247.19,14.8329,-289.56,14.8458,-247.19,0.0873,42.37,310.98
131,14.9148,-249.49,14.9202,-285.25,14.9325,-249.49,0.0186,35.76,230.18
132,14.934,-247.73,14.9388,-301.13,14.9505,-247.73,0.066,53.39,341.23
133,14.9994,-250.07,15.0048,-342.75,15.0168,-250.07,0.2334,92.68,391.12
134,15.2334,-257.17,15.2382,-307.44,15.2442,-257.17,0.0846,50.27,218.83
135,15.3174,-255.34,15.3228,-292.31,15.3294,-255.34,0.1026,36.97,120.59
136,15.4218,-251.88,15.4254,-298.13,15.4362,-251.88,0.4566,46.24,164.92
137,15.8772,-258.93,15.882,-317.31,15.8904,-258.93,0.1653,58.39,172.67
138,16.0425,-257.04,16.0473,-308.06,16.0602,-257.04,0.0294,51.03,302.89
139,16.0719,-258.15,16.0767,-323.88,16.0848,-258.15,0.1389,65.73,217.38
140,16.2102,-250.97,16.2156,-319.69,16.2285,-250.97,0.0735,68.72,438.28
141,16.2837,-253.92,16.2891,-297.25,16.302,-253.92,0.0573,43.33,251.12
142,16.341,-259.11,16.3464,-339.5,16.3557,-259.11,0.1137,80.39,346.91
143,16.4547,-242.85,16.4601,-302,16.4709,-242.85,0.0525,59.15,245.89
144,16.5075,-255.62,16.5126,-303,16.5186,-255.62,0.0519,47.38,174.43
