NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
0,0.0036,-244.67,0.0087,-256.31,0.0159,-244.67,0.0093,11.64,128
1,0.0159,-249.97,0.018,-266.13,0.0165,-249.97,0.0045,16.16,0
2,0.0165,-252.84,0.0225,-267.56,0.0309,-252.84,0.0186,14.72,123.28
3,0.0378,-246.17,0.0411,-276.25,0.054,-246.17,0.0207,30.08,166.22
4,0.0582,-252.12,0.0618,-266.31,0.0708,-252.12,0.0138,14.19,85.35
5,0.0708,-261.35,0.0756,-299.94,0.0753,-261.35,0.0036,38.59,31.06
6,0.0753,-278.54,0.0792,-305.38,0.0816,-278.54,0.0069,26.83,84.92
7,0.0816,-280.19,0.0861,-332.75,0.0915,-280.19,0.0183,52.56,64.45
8,0.102,-255.45,0.1044,-267.88,0.1155,-255.45,0.0243,12.43,89.09
9,0.1263,-248.35,0.1287,-284,0.1266,-248.35,0.0033,35.65,1.05
10,0.1266,-252.76,0.132,-291.06,0.1377,-252.76,0.0126,38.3,176.15
11,0.1392,-250.54,0.1446,-318.94,0.1575,-250.54,0.0198,68.4,574.24
12,0.1608,-260.72,0.1644,-275.75,0.1722,-260.72,0.0411,15.03,111.48
13,0.2007,-250.69,0.2055,-276,0.2157,-250.69,0.0138,25.31,132.99
14,0.2157,-253.4,0.2193,-278.81,0.216,-253.4,0.0018,25.41,2.07
15,0.216,-252.53,0.2211,-277.56,0.2292,-252.53,0.0096,25.04,49.3
16,0.2292,-244.96,0.2307,-252.12,0.2319,-244.96,0.0027,7.16,7.27
17,0.2319,-248.24,0.2334,-257.5,0.2316,-248.24,0.0009,9.26,0
18,0.2316,-247.85,0.2343,-255.06,0.24,-247.85,0.024,7.22,4.33
19,0.2535,-244.29,0.2583,-256.56,0.2613,-244.29,0.0084,12.27,40.44
20,0.2613,-251.02,0.2667,-268.25,0.2736,-251.02,0.0093,17.23,70.36
21,0.2736,-254.24,0.276,-267.13,0.2817,-254.24,0.0132,12.89,25.46
22,0.2856,-251.14,0.2892,-299.56,0.2988,-251.14,0.015,48.42,173.03
23,0.3006,-251.12,0.3042,-260.44,0.3093,-251.12,0.0174,9.32,32.64
24,0.3192,-241.59,0.3216,-250.81,0.3201,-241.59,0.0012,9.23,0
25,0.3201,-241.92,0.3228,-249.31,0.3237,-241.92,0.0057,7.39,13.82
26,0.3237,-246.35,0.3285,-274.94,0.3348,-246.35,0.0096,28.59,119.85
27,0.3348,-253.8,0.3381,-264.13,0.3429,-253.8,0.0069,10.32,50.57
28,0.3429,-259.67,0.345,-270.31,0.3519,-259.67,0.0102,10.64,0
29,0.3528,-252.83,0.3552,-267.81,0.3603,-252.83,0.0138,14.99,27.88
30,0.3642,-250.26,0.369,-271.5,0.3654,-250.26,0.0018,21.24,0.84
31,0.3654,-250.08,0.3708,-268.69,0.3771,-250.08,0.0117,18.61,83.24
32,0.3771,-251.45,0.3825,-304.88,0.3861,-251.45,0.0051,53.42,196.76
33,0.3861,-275.24,0.3876,-287.75,0.3948,-275.24,0.0129,12.51,0
34,0.3981,-253.8,0.4005,-297.38,0.4068,-253.8,0.0087,43.57,195.31
35,0.4068,-259.89,0.4092,-280.56,0.4191,-259.89,0.0132,20.67,56.23
36,0.42,-247.79,0.4224,-271.56,0.4191,-247.79,0.0021,23.78,0
37,0.4191,-250.59,0.4245,-272.06,0.4275,-250.59,0.0054,21.48,73.84
38,0.4275,-256.65,0.4299,-269,0.4356,-256.65,0.0192,12.35,32.82
39,0.4476,-253.86,0.4491,-259.63,0.4512,-253.86,0.0072,5.77,8.18
40,0.4512,-253.05,0.4563,-269.25,0.4626,-253.05,0.0279,16.2,39.58
41,0.4791,-245.14,0.4842,-255.38,0.4971,-245.14,0.0252,10.24,172.88
42,0.5046,-254.04,0.5094,-267.25,0.5172,-254.04,0.0102,13.21,84.01
43,0.5172,-255.32,0.5196,-286.25,0.5262,-255.32,0.0081,30.93,103.08
44,0.5262,-261.01,0.5277,-265.88,0.5307,-261.01,0.0054,4.87,1.98
45,0.5307,-257.16,0.5331,-287.94,0.5403,-257.16,0.0132,30.78,95.95
46,0.5439,-251.51,0.5463,-260.38,0.5448,-251.51,0.0039,8.86,3.12
47,0.5448,-252.66,0.5502,-270.69,0.5571,-252.66,0.0156,18.03,54.05
48,0.5604,-256.01,0.5658,-299.06,0.5769,-256.01,0.0231,43.05,298.34
49,0.5841,-248.92,0.5889,-261.19,0.5991,-248.92,0.0177,12.26,87.53
50,0.6027,-258.32,0.6066,-275.56,0.6129,-258.32,0.0174,17.25,95.59
51,0.6189,-241.27,0.624,-255.25,0.6225,-241.27,0.0012,13.98,8.17
52,0.6225,-247.98,0.6252,-255.81,0.6258,-247.98,0.0045,7.83,14.7
53,0.6258,-251.19,0.6297,-257.94,0.633,-251.19,0.0081,6.75,22.45
54,0.633,-254.17,0.6378,-302.25,0.6453,-254.17,0.0381,48.08,173.57
55,0.6711,-258.23,0.6759,-286.63,0.6843,-258.23,0.0321,28.4,122
56,0.7029,-253.16,0.708,-273.13,0.7155,-253.16,0.0099,19.96,70.68
57,0.7155,-252.57,0.7179,-276.31,0.7203,-252.57,0.0045,23.74,29.88
58,0.7203,-251.68,0.7224,-271.56,0.7287,-251.68,0.0159,19.89,51.69
59,0.7347,-240.97,0.7383,-295.69,0.7512,-240.97,0.0222,54.71,315.49
60,0.7581,-257.76,0.7605,-299.56,0.768,-257.76,0.0471,41.81,152.04
61,0.8019,-253.28,0.8076,-267.69,0.813,-253.28,0.0186,14.4,51.11
62,0.8226,-249.79,0.8262,-276,0.8331,-249.79,0.0138,26.21,81.98
