NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC],
0,0.60660,-24.73,0.61620,-58.91,0.62700,-24.73,2.24250,34.18,205.07,
1,2.85150,-20.95,2.85870,-138.44,2.87880,-20.95,0.47850,117.49,995.09,
2,3.33180,-23.82,3.33720,-58.28,3.34980,-23.82,0.77820,34.46,228.57,
3,4.11180,-17.22,4.11540,-57.50,4.13430,-17.22,1.25790,40.28,306.42,
4,5.36730,-22.38,5.37330,-54.69,5.38290,-22.38,0.92880,32.30,141.03,
5,6.29850,-23.45,6.30210,-58.13,6.31320,-23.45,2.59800,34.68,172.58,
6,8.89290,-29.64,8.90010,-74.38,8.91690,-29.64,0.41130,44.73,345.95,
7,9.30060,-27.60,9.31140,-69.22,9.32520,-27.60,0.17340,41.62,331.60,
8,9.48120,-32.80,9.48480,-65.78,9.49770,-32.80,0.67260,32.98,166.96,
9,10.14840,-29.74,10.15740,-69.06,10.17750,-29.74,0.53580,39.32,469.10,
10,10.68960,-31.63,10.69320,-67.03,10.70880,-31.63,0.48810,35.40,233.10,
11,11.17770,-36.49,11.18130,-77.03,11.19180,-36.49,0.97680,40.54,185.52,
12,12.15180,-31.48,12.15810,-65.47,12.16770,-31.48,0.22020,33.99,224.96,
13,12.37200,-34.66,12.37830,-108.75,12.39780,-34.66,0.89640,74.09,721.09,
14,13.26750,-35.21,13.27470,-67.50,13.29060,-35.21,0.36060,32.29,280.39,
15,13.63170,-29.39,13.63530,-77.19,13.64850,-29.39,0.13830,47.80,260.22,
16,13.76880,-36.11,13.77360,-75.78,13.78800,-36.11,0.03990,39.67,131.98,
17,13.80630,-25.42,13.81350,-63.28,13.82580,-25.42,0.22590,37.86,234.22,
18,14.03580,-31.17,14.03940,-63.59,14.05080,-31.17,0.55230,32.43,146.94,
19,14.58570,-25.23,14.59170,-69.84,14.60370,-25.23,0.16320,44.62,251.62,
20,14.74200,-24.82,14.75490,-58.75,14.76390,-24.82,0.06690,33.93,185.95,
21,14.81700,-23.54,14.82180,-60.31,14.84190,-23.54,0.10590,36.77,295.35,
22,14.91930,-22.02,14.92770,-62.97,14.94390,-22.02,0.06690,40.95,393.83,
23,14.98620,-30.09,14.99460,-70.31,15.00390,-30.09,0.52830,40.23,188.32,
24,15.51450,-26.51,15.52290,-63.75,15.53940,-26.51,0.41100,37.24,311.61,
25,15.92910,-34.48,15.93390,-76.25,15.94500,-34.48,0.52770,41.77,214.81,
26,16.45560,-26.73,16.46160,-60.94,16.47750,-26.73,0.25320,34.21,266.62,
27,16.70760,-24.90,16.71480,-58.59,16.72560,-24.90,0.06540,33.69,226.04,
28,16.77660,-27.99,16.78020,-78.28,16.80030,-27.99,0.09120,50.29,408.52,
29,16.86450,-34.03,16.87140,-67.34,16.88550,-34.03,0.26010,33.31,197.08,
30,17.12070,-27.83,17.13150,-88.91,17.14740,-27.83,0.11520,61.08,443.13,
31,17.24070,-16.97,17.24670,-56.25,17.26230,-16.97,0.04920,39.28,317.33,
32,17.28300,-25.21,17.29590,-60.62,17.30910,-25.21,0.05520,35.41,266.27,
33,17.34510,-24.73,17.35110,-99.69,17.37120,-24.73,0.05340,74.96,624.97,
34,17.39970,-25.95,17.40450,-63.75,17.42460,-25.95,0.40170,37.80,421.57,
35,17.80140,-24.75,17.80620,-76.25,17.82630,-24.75,0.07770,51.50,431.28,
36,17.87910,-32.78,17.88390,-84.22,17.89560,-32.78,0.22170,51.44,318.40,
37,18.09960,-24.23,18.10560,-58.91,18.11850,-24.23,0.12390,34.68,237.78,
38,18.22470,-24.14,18.22950,-64.38,18.24060,-24.14,0.02790,40.23,210.08,
39,18.25140,-25.19,18.25740,-65.94,18.26730,-25.19,0.03780,40.74,126.39,
40,18.29040,-25.97,18.29520,-67.19,18.31530,-25.97,0.05310,41.21,366.58,
41,18.34080,-26.44,18.34830,-71.41,18.36120,-26.44,0.12240,44.97,299.26,
42,18.46350,-24.57,18.47070,-141.72,18.49080,-24.57,0.32670,117.15,1270.39,
43,18.79140,-26.80,18.79740,-65.16,18.81420,-26.80,0.19440,38.35,225.72,
44,18.98340,-17.56,18.99180,-62.34,19.01190,-17.56,0.07170,44.78,456.02,
45,19.05990,-24.76,19.06350,-58.13,19.08000,-24.76,0.20670,33.37,272.25,
46,19.26420,-19.64,19.27020,-57.66,19.28760,-19.64,0.17490,38.02,319.27,
47,19.43550,-20.10,19.44510,-65.16,19.45920,-20.10,0.03600,45.06,375.73,
48,19.47510,-19.55,19.48110,-60.00,19.50120,-19.55,0.05910,40.45,423.89,
49,19.53540,-23.74,19.54020,-61.41,19.56030,-23.74,0.05310,37.67,363.92,
50,19.58370,-25.32,19.59330,-79.84,19.60830,-25.32,0.39630,54.53,424.98,
51,19.98360,-21.57,19.98960,-64.69,20.00250,-21.57,0.52860,43.12,214.47,
52,20.51460,-24.43,20.51820,-79.06,20.53740,-24.43,0.29880,54.63,511.19,
53,20.80980,-27.30,20.81700,-67.03,20.82690,-27.30,1.03620,39.73,202.38,
54,21.84690,-29.61,21.85320,-80.47,21.87210,-29.61,0.78180,50.85,400.96,
55,22.63140,-19.28,22.63500,-87.50,22.65510,-19.28,0.61770,68.22,553.02,
56,23.24790,-25.47,23.25270,-58.59,23.26380,-25.47,0.25440,33.12,138.74,
57,23.49780,-25.15,23.50710,-60.31,23.51970,-25.15,0.13350,35.16,249.26,
58,23.62980,-31.50,23.64060,-146.88,23.65980,-31.50,0.26880,115.38,1076.84,
59,23.90100,-36.38,23.90940,-88.13,23.92170,-36.38,0.25320,51.75,299.43,
60,24.15750,-26.61,24.16260,-65.63,24.17610,-26.61,0.74340,39.02,276.79,
61,24.90120,-20.94,24.90600,-74.06,24.92610,-20.94,0.14280,53.13,385.56,
62,25.04370,-25.44,25.04880,-59.06,25.05810,-25.44,0.96000,33.62,156.00,
63,26.00280,-25.86,26.00880,-66.09,26.02200,-25.86,0.03570,40.23,200.41,
64,26.03400,-24.44,26.04450,-76.09,26.05830,-24.44,0.31740,51.65,323.05,
65,26.34990,-23.29,26.36190,-60.62,26.37120,-23.29,0.03330,37.34,180.22,
66,26.39040,-29.22,26.39520,-65.94,26.40990,-29.22,0.63810,36.72,228.25,
67,27.02850,-18.52,27.03330,-58.44,27.04260,-18.52,0.48390,39.92,246.74,
68,27.50340,-25.18,27.51720,-64.84,27.53310,-25.18,0.15240,39.67,430.54,
69,27.66120,-41.75,27.66960,-75.63,27.68220,-41.75,0.11820,33.88,206.92,
70,27.78120,-65.78,27.78780,-104.38,27.80160,-65.78,0.09390,38.60,129.08,
71,27.87570,-38.80,27.88170,-77.66,27.89610,-38.80,0.04470,38.86,327.95,
72,27.92040,-44.97,27.92640,-101.25,27.94260,-44.97,0.33420,56.28,354.21,
73,28.25130,-42.98,28.26060,-85.31,28.27350,-42.98,0.02820,42.33,291.26,
74,28.28160,-43.21,28.28880,-75.31,28.30890,-43.21,0.04110,32.10,369.79,
75,28.31940,-43.96,28.32990,-77.97,28.33800,-43.96,0.05100,34.01,180.22,
76,28.37490,-42.21,28.38090,-83.28,28.39560,-42.21,0.57360,41.07,273.29,
77,28.94850,-42.31,28.95450,-76.72,28.97310,-42.31,0.27270,34.40,298.02,
78,29.22240,-46.73,29.22720,-84.38,29.23560,-46.73,0.79380,37.65,147.87,
79,30.01620,-41.75,30.02100,-78.59,30.03300,-41.75,0.03390,36.84,224.81,
80,30.04890,-37.61,30.05490,-71.88,30.07500,-37.61,0.67590,34.27,367.23,
81,30.72480,-43.16,30.73080,-98.59,30.75090,-43.16,0.07410,55.43,417.46,
82,30.79620,-36.78,30.80490,-73.91,30.81840,-36.78,0.11040,37.13,224.39,
83,30.90930,-50.15,30.91530,-92.97,30.92430,-50.15,0.08430,42.82,182.54,
84,30.98880,-39.40,30.99960,-77.03,31.00950,-39.40,0.15090,37.63,228.31,
85,31.14690,-35.56,31.15050,-85.16,31.17060,-35.56,0.25560,49.59,383.31,
86,31.40250,-39.34,31.40610,-94.38,31.41870,-39.34,0.24900,55.03,263.10,
87,31.64910,-37.62,31.65510,-88.59,31.67310,-37.62,0.08970,50.98,399.13,
88,31.74000,-41.16,31.74480,-80.47,31.75470,-41.16,0.30600,39.31,193.53,
89,32.04720,-32.71,32.05080,-94.53,32.06850,-32.71,0.43350,61.82,395.84,
90,32.47950,-31.49,32.48430,-70.94,32.49720,-31.49,0.09150,39.45,216.33,
91,32.56860,-30.96,32.57580,-73.28,32.59290,-30.96,0.24150,42.32,331.59,
92,32.81040,-31.60,32.81730,-68.75,32.83380,-31.60,0.26490,37.15,273.11,
93,33.07380,-26.00,33.08220,-64.06,33.10230,-26.00,0.08730,38.06,442.06,
94,33.16230,-35.71,33.16950,-96.88,33.18690,-35.71,0.05370,61.16,505.30,
95,33.21720,-38.90,33.22320,-77.50,33.23760,-38.90,0.37410,38.60,338.33,
96,33.59130,-30.90,33.59730,-83.28,33.61740,-30.90,0.12720,52.38,555.90,
97,33.71370,-26.70,33.72450,-73.91,33.74460,-26.70,0.04560,47.21,454.54,
98,33.76650,-34.67,33.77010,-73.13,33.79020,-34.67,0.40620,38.46,406.87,
