NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC],
0,0.88470,27.81,0.88950,-6.88,0.89940,27.81,0.21090,34.68,152.09,
1,1.09350,25.22,1.10040,-7.97,1.11120,25.22,0.80730,33.19,200.39,
2,1.90290,30.78,1.90770,-13.75,1.92090,30.78,0.25710,44.53,203.01,
3,2.16000,31.74,2.16480,-2.34,2.17740,31.74,0.17790,34.09,215.46,
4,2.33340,30.49,2.34270,-2.19,2.35530,30.49,0.47370,32.68,257.64,
5,2.81040,28.55,2.81640,-10.00,2.82990,28.55,0.65760,38.55,258.46,
6,3.46920,31.13,3.47400,-11.56,3.48900,31.13,0.26970,42.69,320.67,
7,3.74010,31.76,3.74370,-5.00,3.75630,31.76,0.19230,36.76,215.99,
8,3.93000,31.44,3.93600,-18.13,3.95100,31.44,0.04920,49.56,341.91,
9,3.98040,36.01,3.98520,-4.38,3.99750,36.01,0.47310,40.39,219.00,
10,4.44510,27.86,4.45830,-4.38,4.47150,27.86,0.07410,32.23,220.61,
11,4.51890,30.68,4.53240,-13.28,4.53930,30.68,0.08190,43.96,368.34,
12,4.60470,30.08,4.61430,-4.06,4.62930,30.08,0.21300,34.14,297.82,
13,4.82130,28.60,4.82730,-8.28,4.83690,28.60,0.29010,36.88,189.52,
14,5.11380,30.34,5.11740,-2.50,5.12970,30.34,0.19650,32.84,189.20,
15,5.30550,30.46,5.31390,-21.25,5.32890,30.46,0.29130,51.71,330.97,
16,5.59800,30.83,5.60520,-7.81,5.61750,30.83,0.10410,38.64,243.62,
17,5.69970,30.70,5.70930,-18.13,5.72430,30.70,0.50010,48.83,463.29,
18,6.20460,29.17,6.20940,-35.00,6.22260,29.17,0.21420,64.17,333.10,
19,6.41640,32.66,6.42360,-78.28,6.43860,32.66,0.04770,110.94,808.20,
20,6.46770,26.68,6.47130,-10.00,6.48630,26.68,0.35280,36.68,211.62,
21,6.81450,30.89,6.82410,-7.03,6.83700,30.89,0.13740,37.92,266.07,
22,6.95670,33.26,6.96150,-27.97,6.97650,33.26,0.43950,61.23,467.66,
23,7.39380,29.83,7.40100,-15.47,7.41480,29.83,0.45600,45.30,348.82,
24,7.85220,30.60,7.85700,-6.56,7.87200,30.60,1.20900,37.16,251.73,
25,9.06240,34.81,9.06600,-1.87,9.07560,34.81,1.48230,36.69,167.44,
26,10.54350,-39.96,10.54830,-91.25,10.55790,-39.96,0.39720,51.29,235.64,
