NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
0,0.0825,-44.31,0.0894,-69.79,0.102,-44.31,1.2333,25.47,210.32
1,1.3164,-42.85,1.3227,-76.03,1.3353,-42.85,0.0522,33.18,215.61
2,1.3662,-41.73,1.3749,-46.12,1.3812,-41.73,0.3114,4.39,43.74
3,1.6785,-43.81,1.6863,-72.46,1.6989,-43.81,0.9558,28.65,195.09
4,2.6379,-42.36,2.6421,-81.98,2.6547,-42.36,0.6879,39.62,188.14
5,3.3267,-43.63,3.33,-55.53,3.3426,-43.63,0.8709,11.9,84.2
6,4.1982,-43.15,4.2009,-64.6,4.209,-43.15,0.1395,21.45,59.94
7,4.3374,-43.06,4.3404,-63.21,4.353,-43.06,1.1334,20.15,97.41
8,5.4711,-44.69,5.4738,-68.46,5.4864,-44.69,0.7929,23.77,193.43
9,6.264,-43.91,6.2667,-53.32,6.2793,-43.91,0.1206,9.41,63.49
10,6.384,-43.45,6.3873,-65.33,6.3999,-43.45,0.9549,21.88,176.48
11,7.3365,-43.82,7.3422,-64.25,7.3548,-43.82,0.837,20.44,163.3
12,8.1723,-43,8.1792,-59.73,8.1918,-43,0.678,16.72,120.42
13,8.8518,-41.71,8.8572,-52.6,8.8698,-41.71,0.8667,10.89,95.18
14,9.7158,-44.3,9.7239,-60.29,9.7365,-44.3,0.2586,15.99,102.95
15,9.9756,-42.79,9.9825,-70.56,9.9951,-42.79,0.1521,27.77,196.35
16,10.1268,-43.54,10.1346,-65.41,10.1472,-43.54,1.2333,21.86,217.14
17,11.3628,-42.84,11.3679,-61.8,11.3805,-42.84,0.0816,18.96,156.69
18,11.4432,-43.2,11.4495,-60,11.4621,-43.2,2.6364,16.81,128.91
19,14.0832,-42.99,14.0859,-67.3,14.0985,-42.99,1.1262,24.31,180.81
20,15.2052,-41.46,15.2121,-93.59,15.2247,-41.46,0.03,52.13,269.41
21,15.2337,-35.92,15.2421,-48.21,15.2547,-35.92,0.3264,12.29,150.05
22,15.5652,-40.22,15.5685,-68.82,15.5811,-40.22,0.1818,28.6,200.56
23,15.7455,-42.09,15.7503,-68.14,15.7629,-42.09,0.3225,26.04,254.99
24,16.0689,-42.07,16.0728,-60.4,16.0854,-42.07,0.1878,18.33,143.27
25,16.2561,-40.63,16.2606,-54.97,16.2732,-40.63,0.7164,14.33,86.9
26,16.9692,-40.94,16.977,-68.95,16.9896,-40.94,0.3417,28.01,254.07
27,17.3133,-41.35,17.3187,-57.37,17.3313,-41.35,0.3558,16.03,179.52
28,17.6685,-40.05,17.6745,-72.11,17.6871,-40.05,0.0438,32.06,380.4
29,17.7147,-40.98,17.7183,-52.65,17.7309,-40.98,0.1398,11.67,122.69
30,17.8497,-41.26,17.8581,-53.25,17.8707,-41.26,0.0603,12,94.75
31,17.9127,-43.21,17.9184,-60.87,17.931,-43.21,1.9965,17.66,74.75
32,19.9116,-41.96,19.9149,-69.65,19.9275,-41.96,2.1612,27.69,161.74
33,22.0716,-40.89,22.0761,-54.36,22.0887,-40.89,0.036,13.46,111.52
34,22.1088,-44.77,22.1121,-78.72,22.1247,-44.77,0.2229,33.95,169.81
35,22.3308,-43.82,22.335,-81.72,22.3476,-43.82,0.0516,37.9,262.85
36,22.3779,-39.77,22.3866,-46.08,22.3992,-39.77,1.6917,6.31,85.06
37,24.0699,-39.89,24.0783,-87.12,24.0909,-39.89,0.1335,47.24,263.16
38,24.2067,-41.37,24.2118,-65.31,24.2244,-41.37,0.0327,23.94,189.16
39,24.2364,-41.9,24.2445,-71.01,24.2571,-41.9,0.4614,29.12,229
40,24.6972,-40.87,24.7059,-52.33,24.7185,-40.87,0.249,11.46,128.94
41,24.9522,-41.78,24.9549,-60.29,24.9675,-41.78,1.5216,18.51,87.1
42,26.4705,-42.12,26.4765,-58.71,26.4891,-42.12,1.3926,16.59,122.58
43,27.8646,-42.27,27.8691,-78.9,27.8817,-42.27,0.1413,36.64,275.53
44,28.0029,-40.81,28.0104,-55.73,28.023,-40.81,0.5163,14.92,112.46
45,28.5195,-39.04,28.5267,-60.64,28.5393,-39.04,0.3855,21.6,162.45
46,28.9098,-40.17,28.9122,-68.69,28.9248,-40.17,1.2204,28.52,187.69
47,30.1272,-42.32,30.1326,-73.92,30.1452,-42.32,0.882,31.6,342.46
48,31.0092,-39.68,31.0146,-78.15,31.0272,-39.68,0.0285,38.47,295.38
49,31.0353,-37.92,31.0431,-49.06,31.0539,-37.92,0.6423,11.14,133.15
50,31.6776,-38.87,31.6854,-57.91,31.698,-38.87,0.3387,19.04,159.53
51,32.0217,-41.83,32.0241,-59.11,32.0367,-41.83,0.75,17.28,153.06
52,32.7708,-41.18,32.7741,-66.5,32.7867,-41.18,0.0111,25.32,342.13
53,32.7828,-56.06,32.7852,-91.72,32.793,-56.06,0.045,35.66,162.75
54,32.826,-40.11,32.8302,-48.97,32.8428,-40.11,0.4371,8.86,89.77
55,33.2604,-40.41,33.2673,-65.43,33.2799,-40.41,1.1664,25.02,180.33
56,34.4277,-40.88,34.4337,-79.39,34.4463,-40.88,0.0507,38.51,408.55
57,34.4772,-34.64,34.4844,-48.46,34.497,-34.64,0.1809,13.82,184.11
58,34.6566,-42.04,34.6653,-65.78,34.6779,-42.04,0.4731,23.74,152.2
59,35.13,-41.34,35.1384,-53.82,35.151,-41.34,0.3393,12.48,116.63
60,35.4723,-39.5,35.4777,-70.21,35.4903,-39.5,1.2141,30.71,277.06
61,36.6855,-40.94,36.6918,-63.13,36.7044,-40.94,0.5586,22.19,183.61
62,37.2456,-38.72,37.2504,-71.62,37.263,-38.72,0.5733,32.9,274.52
63,37.8162,-40.71,37.8237,-69.07,37.8363,-40.71,1.1949,28.35,198.05
64,39.0123,-39.82,39.0186,-52.58,39.0312,-39.82,0.5382,12.76,97.05
65,39.5481,-41.26,39.5568,-61.04,39.5694,-41.26,0.1629,19.78,135.08
66,39.717,-40.68,39.7197,-85.9,39.7323,-40.68,0.0303,45.22,313.36
67,39.7413,-37.13,39.75,-47.54,39.759,-37.13,0.0186,10.41,103.47
68,39.7608,-31.59,39.7686,-46.54,39.7812,-31.59,0.1665,14.94,207.3
69,39.9288,-57.36,39.9351,-67.58,39.9477,-57.36,0.3285,10.21,149
70,40.2567,-47.39,40.2636,-71.72,40.2762,-47.39,0.114,24.33,178.77
71,40.3707,-45.28,40.3776,-65.67,40.3902,-45.28,0.4995,20.39,210.14
72,40.8684,-41.1,40.8771,-67.13,40.8897,-41.1,0.1047,26.03,179.84
73,40.98,-42.03,40.9818,-67.29,40.9944,-42.03,0.3603,25.26,126.59
74,41.3358,-37.72,41.3421,-69.9,41.3547,-37.72,2.2461,32.18,288.32
75,43.5798,-40.65,43.5882,-53.69,43.6008,-40.65,0.1122,13.05,140.03
76,43.6929,-41.13,43.7004,-62.2,43.713,-41.13,0.1143,21.07,134.78
77,43.806,-39.35,43.8147,-58.89,43.8273,-39.35,0.4824,19.54,180.38
78,44.289,-41.36,44.2971,-83.09,44.3097,-41.36,0.0492,41.73,321.98
79,44.3394,-33.72,44.3463,-45.97,44.3589,-33.72,1.2105,12.25,234.68
80,45.5517,-46.33,45.5568,-83.59,45.5694,-46.33,0.3405,37.26,278.78
81,45.8907,-44.47,45.8973,-62.91,45.9099,-44.47,0.0249,18.44,156.52
82,45.9156,-42.6,45.9222,-60.85,45.9348,-42.6,0.2979,18.25,112.17
83,46.2159,-41.68,46.2201,-55.63,46.2327,-41.68,1.4541,13.95,152.46
84,47.6712,-40.02,47.6742,-58.45,47.6868,-40.02,0.6642,18.43,101.16
85,48.3354,-39.23,48.3384,-70.48,48.351,-39.23,0.7941,31.25,252.65
86,49.1304,-42.01,49.1325,-60.04,49.1451,-42.01,0.4803,18.03,110.62
87,49.6047,-37.81,49.6128,-69.72,49.6254,-37.81,0.2808,31.92,275.67
88,49.8876,-40.65,49.8936,-63.28,49.9062,-40.65,0.8166,22.63,157.72
89,50.7048,-41.28,50.7102,-58.35,50.7228,-41.28,0.5961,17.07,158.76
90,51.2991,-40.26,51.3063,-51.57,51.3189,-40.26,0.6888,11.31,92.53
91,51.9879,-40.08,51.9951,-63.54,52.0077,-40.08,0.8739,23.45,192.41
