NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
0,0.1542,-38.75,0.1569,-60.94,0.1677,-37.19,0.0453,22.19,147.19
1,0.1959,-46.04,0.2022,-76.88,0.2079,-40,0.0759,30.83,119.19
2,0.276,-37.6,0.2781,-71.88,0.2889,-35.94,0.048,34.27,196.16
3,0.3192,-39.17,0.3261,-57.19,0.3288,-34.38,0.054,18.02,34.12
4,0.3759,-30,0.3801,-46.88,0.3864,-30.31,0.0216,16.88,61.22
5,0.3963,-30.1,0.4017,-64.38,0.4053,-26.25,0.1695,34.27,156.44
6,0.5694,-35.63,0.5712,-64.06,0.5751,-40.63,0.4266,28.44,98.25
7,0.9951,-37.19,0.9978,-79.69,1.0062,-33.44,0.1614,42.5,168.38
8,1.1547,-31.87,1.1592,-51.25,1.1637,-30.62,0.03,19.38,82.03
9,1.1856,-46.88,1.1892,-79.69,1.1964,-41.88,0,32.81,119.34
10,1.2621,-36.04,1.1892,-79.69,1.2681,-30.31,0.2472,43.65,43.59
11,1.4343,-30.52,1.4364,-65.31,1.4502,-38.44,0.0327,34.79,294.56
12,1.4658,-38.44,1.4691,-58.75,1.4721,-35,0.1098,20.31,55.97
13,1.5771,-27.08,1.5789,-93.44,1.5846,-36.25,0.1869,66.35,285.25
14,1.7625,-44.27,1.7658,-70,1.7718,-40.31,0.1944,25.73,68.97
15,1.956,-47.5,1.9602,-68.13,1.9671,-43.13,0.0195,20.63,65.25
16,1.9737,-38.44,1.9797,-60,1.9848,-38.75,0.045,21.56,143.72
17,2.0163,-50.52,2.0247,-67.81,2.0277,-45.63,0.1371,17.29,93.56
18,2.1567,-32.71,2.1618,-61.56,2.1687,-34.06,0.1641,28.85,183.25
19,2.3223,-40.42,2.3259,-57.81,2.3283,-30.94,0.1083,17.4,26.53
20,2.4234,-26.88,2.4342,-48.13,2.4369,-23.13,0.2529,21.25,85.78
21,2.6826,-29.38,2.6871,-55.94,2.6919,-26.56,0.0456,26.56,81.66
22,2.7315,-15.73,2.7327,-43.75,2.7366,-19.69,0.1773,28.02,90.09
23,2.9037,-20.94,2.91,-44.38,2.9121,-22.19,0.0564,23.44,88.59
24,2.9637,-20.83,2.9664,-82.81,2.9733,-24.06,0.2157,61.98,248.34
25,3.1734,-24.79,3.1821,-49.38,3.186,-27.5,0.0636,24.58,131.41
26,3.2427,-42.4,3.2457,-83.75,3.2517,-43.75,0.0903,41.35,165.31
27,3.3324,-41.04,3.336,-78.44,3.3456,-42.5,0.1695,37.4,213.66
28,3.4977,-40.42,3.5055,-60,3.5103,-37.19,0.1365,19.58,125.41
29,3.6387,-42.5,3.642,-67.5,3.6519,-39.38,0.0522,25,151.5
30,3.6909,-32.6,3.6942,-70.31,3.7035,-43.13,0.0636,37.71,274.66
31,3.7539,-43.54,3.7578,-75.63,3.7623,-46.88,0.1605,32.08,149.84
32,3.9159,-38.85,3.9183,-69.69,3.9279,-39.38,0.0372,30.83,201.87
33,3.9531,-34.06,3.9555,-63.12,3.9612,-36.25,0.2718,29.06,112.41
34,4.2249,-36.77,4.2273,-70.31,4.236,-40,0.0144,33.54,157.09
35,4.239,-38.23,4.2417,-63.75,4.2474,-35.94,0.0621,25.52,83.47
36,4.3005,-34.06,4.3038,-78.13,4.3095,-39.06,0.0186,44.06,195
37,4.3197,-38.75,4.3224,-57.81,4.3275,-32.5,0.1866,19.06,61.41
38,4.5033,-34.06,4.509,-74.38,4.512,-37.5,0.1329,40.31,169.69
39,4.6362,-28.65,4.6419,-56.88,4.6425,-29.37,0.111,28.23,98.75
40,4.7493,-29.79,4.7529,-54.38,4.7628,-29.69,0.0273,24.58,170.22
41,4.7775,-33.54,4.7802,-116.56,4.7901,-37.81,0.1191,83.02,441.53
42,4.8945,-26.04,4.8993,-56.56,4.9074,-30,0.081,30.52,212.56
43,4.9761,-27.19,4.9803,-49.38,4.9875,-25.31,0.165,22.19,114.19
44,5.1411,-31.56,5.1453,-49.06,5.1498,-24.69,0.0741,17.5,11.81
45,5.2161,-30.63,5.2194,-54.06,5.2242,-29.37,0.3555,23.44,70.5
46,5.5722,-27.29,5.5749,-58.44,5.5821,-32.81,0.126,31.15,182.59
47,5.6973,-24.58,5.7009,-60.62,5.7075,-26.56,0.1365,36.04,205.56
48,5.8317,-18.23,5.8374,-55.31,5.8422,-20.94,0.0633,37.08,180.66
49,5.8956,-27.29,5.9007,-65,5.9085,-25,0.1998,37.71,200.28
50,6.0936,-36.77,6.1005,-65,6.1074,-41.56,0.2547,28.23,191.59
51,6.3513,-46.46,6.3552,-89.38,6.3645,-46.25,0.0432,42.92,268.41
52,6.3933,-48.96,6.3984,-75.63,6.4023,-50.31,0.0165,26.67,130.44
53,6.4113,-48.02,6.4149,-71.56,6.4221,-42.5,0.0858,23.54,88.16
54,6.4971,-33.65,6.5007,-54.06,6.507,-30.31,0.1035,20.42,87.41
55,6.6006,-41.04,6.6042,-63.75,6.6096,-35.31,0.0432,22.71,59.31
56,6.6441,-36.25,6.6474,-62.19,6.6513,-36.88,0.0531,25.94,88.31
57,6.6936,-34.69,6.7005,-51.56,6.7056,-32.5,0.0198,16.88,68.34
58,6.7158,-35.63,6.7203,-58.75,6.7269,-32.19,0.0813,23.12,124.59
59,6.7971,-41.35,6.8016,-55.63,6.8073,-30.31,0.1398,14.27,40.72
60,6.9384,-35.42,6.9414,-70.31,6.9486,-40,0.0624,34.9,188.28
61,6.9969,-35.94,7.0038,-61.87,7.0071,-38.75,0.0576,25.94,151.59
62,7.0584,-45.1,7.0614,-52.81,7.0671,-34.06,0.2187,7.71,4.12
63,7.2732,-2.71,7.2801,-48.44,7.2846,-18.13,0.2196,45.73,287.72
64,7.4958,-15.94,7.4997,-48.75,7.5069,-16.25,0.0456,32.81,124.88
65,7.5417,-19.48,7.5453,-68.13,7.551,-22.5,0.1719,48.65,212.56
66,7.7154,-13.13,7.7172,-46.88,7.731,-11.56,0.0483,33.75,207
67,7.7628,-30,7.7655,-41.88,7.7667,-26.25,0.0075,11.88,25.97
68,7.7706,-12.81,7.773,-61.87,7.785,-22.19,0.03,49.06,419.25
69,7.8003,-17.29,7.803,-58.75,7.8081,-23.44,0.0096,41.46,166.88
70,7.8096,-24.48,7.8126,-52.5,7.8183,-21.25,0.0738,28.02,101.16
71,7.8819,-20.52,7.8864,-47.5,7.8927,-19.06,0.0816,26.98,99.22
72,7.9641,-20.52,7.968,-50.31,7.9734,-20.31,0.0933,29.79,102.16
73,8.0583,-23.75,8.0613,-61.25,8.0691,-23.13,0.1032,37.5,154.03
74,8.1564,-13.65,8.1645,-47.5,8.1693,-24.06,0.099,33.85,278.03
75,8.2557,-37.08,8.2635,-62.19,8.2689,-23.44,0.3555,25.1,44.44
76,8.6151,-19.17,8.619,-41.56,8.6253,-14.38,0.3861,22.4,70.53
77,8.9985,-16.35,9.0051,-49.69,9.0081,-22.81,0.0804,33.33,129.66
78,9.0822,-29.69,9.0855,-55.94,9.0921,-29.06,0.2526,26.25,99.28
79,9.3351,-19.27,9.3381,-43.75,9.3477,-12.5,0.1587,24.48,127.06
80,9.4953,-43.96,9.4968,-63.12,9.5058,-38.75,0.3057,19.17,49.59
81,9.7977,-32.71,9.8025,-56.25,9.8073,-27.5,0.2787,23.54,63.09
82,10.0791,-30.73,10.0812,-71.88,10.0863,-37.81,0.2784,41.15,145.47
83,10.3554,-26.25,10.3596,-47.19,10.3665,-25.63,0.1983,20.94,82.13
84,10.5513,-38.13,10.5579,-56.56,10.5618,-36.25,0.1206,18.44,86.91
85,10.6692,-28.02,10.6785,-54.69,10.6863,-37.5,0.0216,26.67,313.53
86,10.6956,-24.17,10.7001,-71.56,10.7067,-35.63,0.1857,47.4,290.75
87,10.8837,-31.46,10.8858,-94.06,10.8912,-44.69,0.2082,62.6,236.78
88,11.0895,-46.67,11.094,-79.38,11.1048,-51.88,0.0222,32.71,257.22
89,11.1132,-46.15,11.1162,-65,11.1219,-41.88,0.0465,18.85,99.19
90,11.16,-46.25,11.1627,-99.06,11.1666,-44.38,0.3654,52.81,180.28
91,11.5263,-34.58,11.5281,-66.88,11.535,-32.81,0.1095,32.29,125.44
92,11.6304,-45.21,11.6376,-64.06,11.6442,-40.63,0.0213,18.85,52.75
93,11.6526,-35.31,11.6589,-62.5,11.6637,-33.44,0.0201,27.19,99.94
94,11.6748,-40.31,11.679,-51.56,11.6865,-26.88,0.0339,11.25,0
95,11.7069,-29.27,11.7129,-50.94,11.718,-20.63,0.0432,21.67,45.81
96,11.7507,-23.44,11.7561,-67.19,11.7663,-21.88,0.0858,43.75,316.03
97,11.8368,-38.85,11.8419,-68.44,11.8473,-37.5,0.2367,29.58,99.38
98,12.0744,-37.19,12.0786,-55.94,12.0861,-32.5,0.0141,18.75,60.38
99,12.0903,-24.38,12.0927,-66.25,12.1011,-28.13,0.1191,41.88,228.56
100,12.207,-38.33,12.2118,-58.13,12.2154,-29.37,0.1137,19.79,40.38
101,12.3213,-31.98,12.3255,-49.06,12.3276,-26.88,0.0726,17.08,34.84
102,12.3963,-35,12.3981,-71.25,12.4074,-39.06,0.2184,36.25,186.47
103,12.6132,-26.88,12.6165,-66.88,12.6213,-32.5,0.1476,40,176.53
104,12.7608,-31.67,12.7641,-79.38,12.7704,-30.94,0.1152,47.71,211.87
105,12.8775,-29.27,12.8793,-49.06,12.8847,-25.63,0.12,19.79,46.16
106,12.9945,-33.44,12.9993,-55,13.0035,-34.38,0.0771,21.56,103.22
107,13.0746,-44.69,13.0764,-66.88,13.0815,-41.88,0.1629,22.19,75.09
108,13.2342,-30.1,13.2393,-60.62,13.2426,-32.5,0.0132,30.52,95.94
109,13.2501,-21.88,13.2525,-80.31,13.263,-32.5,0.171,58.44,380.16
110,13.4136,-27.29,13.4235,-63.75,13.4292,-23.75,0.0285,36.46,190.06
111,13.4484,-25.1,13.452,-49.38,13.4652,-28.13,0.0483,24.27,231.28
112,13.4943,-16.56,13.5003,-41.56,13.5057,-16.25,0.0201,25,132.75
113,13.5147,-28.23,13.5204,-40,13.5261,-21.88,0.0828,11.77,47.72
114,13.6005,-22.4,13.6032,-48.44,13.6083,-20.63,0.0573,26.04,74.06
115,13.6578,-24.17,13.6605,-54.38,13.6701,-30.62,0.1026,30.21,216.84
116,13.7604,-27.6,13.7631,-55.94,13.7685,-26.88,0.6402,28.33,80.03
117,14.3967,-15,14.4033,-50.94,14.406,-24.06,0.0975,35.94,183.94
118,14.4945,-17.29,14.5008,-35,14.5059,-8.13,0.066,17.71,58.97
119,14.5632,-23.02,14.5668,-46.56,14.5701,-19.38,0.0222,23.54,65.44
120,14.5866,-13.23,14.589,-69.38,14.595,-16.88,0.0732,56.15,266.84
121,14.658,-20.31,14.6622,-43.75,14.6694,-19.38,0.0462,23.44,153
122,14.706,-22.08,14.7084,-46.88,14.7144,-18.44,0.2766,24.79,95.78
123,14.979,-8.23,14.985,-42.19,14.9883,-11.25,0.0177,33.96,168.59
124,14.9988,-26.35,15.0027,-53.13,15.0069,-15.63,0.0549,26.77,53.5
125,15.0522,-11.46,15.0576,-45.94,15.0639,-13.13,0.4269,34.48,156.59
126,15.48,-19.9,15.4845,-54.69,15.4926,-25.31,0.0474,34.79,219.69
127,15.5295,-24.48,15.5319,-56.56,15.5454,-25.31,0.7077,32.08,269.25
128,16.2357,-22.81,16.2396,-62.19,16.2456,-18.75,0.1182,39.37,144.38
129,16.3557,-20.83,16.3578,-54.69,16.3656,-16.88,0.0426,33.85,140.66
130,16.3938,-12.08,16.4004,-35.94,16.4076,-15.63,0.1809,23.85,141.53
131,16.5741,-27.92,16.5813,-72.5,16.5882,-20.63,0.1014,44.58,141.38
132,16.6773,-14.38,16.6827,-41.25,16.6917,-12.19,0.1005,26.88,138.56
133,16.7811,-11.67,16.7832,-68.44,16.7883,-15.94,0.1059,56.77,175.94
134,16.8855,-12.4,16.8891,-40.94,16.8963,-14.06,0.1566,28.54,163.72
135,17.0418,-12.6,17.0457,-39.38,17.0514,-7.19,0.4944,26.77,77.44
136,17.538,-9.06,17.5401,-29.37,17.5446,-4.06,0.318,20.31,65.63
137,17.8488,5.21,17.8581,-38.75,17.8692,-19.06,0.0402,43.96,644.06
138,17.8917,-7.92,17.8983,-42.81,17.9037,-16.25,0.0594,34.9,237.59
139,17.9535,-10.73,17.9577,-35.94,17.9646,-11.25,0.1803,25.21,91.81
140,18.1338,1.46,18.138,-29.37,18.1425,-5,0.1797,30.83,142.5
141,18.3159,-10.94,18.3177,-37.81,18.3255,-12.19,0.2334,26.88,93.66
142,18.5484,-8.96,18.5511,-37.19,18.5538,-12.19,0.0264,28.23,78.97
143,18.5751,-20.31,18.5775,-52.5,18.5883,-12.19,0.0612,32.19,149.06
144,18.6348,-3.65,18.6387,-40.31,18.6453,-8.13,0.198,36.67,171.47
145,18.8286,-13.23,18.8367,-55.31,18.8451,-22.81,0.2307,42.08,409.91
146,19.065,-6.46,19.0674,-67.19,19.0773,-9.38,0.3714,60.73,312.09
147,19.4328,-5.83,19.4388,-29.69,19.4475,-2.81,0.2694,23.85,146.87
148,19.7052,-10.73,19.7082,-88.75,19.7148,-18.44,0.03,78.02,381.94
149,19.7328,-12.71,19.7382,-35,19.7448,-13.13,0.0729,22.29,115.19
150,19.8093,-6.46,19.8111,-32.81,19.8141,-8.75,0.2427,26.35,69.81
151,20.0496,-9.9,20.0538,-30.31,20.0652,-12.19,0.2412,20.42,211.66
152,20.2923,-25.63,20.295,-57.5,20.301,-28.13,0.0204,31.88,123.75
153,20.3127,-15.63,20.3154,-82.5,20.3217,-25,0.477,66.88,294.75
154,20.7888,-2.6,20.7924,-21.25,20.793,-3.13,0.0594,18.65,43.88
155,20.8494,-10.52,20.8518,-46.88,20.8653,-13.75,0.0372,36.35,255.28
