NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
0,0.3675,-147.97,0.3768,-166.56,0.3843,-145.47,0,18.59,130.83
1,1.1736,-152.71,0.3768,-166.56,1.1883,-152.5,1.6398,13.85,151.47
2,2.0136,-156.46,2.0166,-180.63,2.0322,-159.69,0.1743,24.17,195.33
3,2.1849,-164.32,2.1909,-187.03,2.1972,-162.5,0.1569,22.71,121.73
4,2.3436,-162.24,2.3478,-181.09,2.3595,-157.97,0.3294,18.85,104.95
5,2.6742,-149.79,2.6772,-165.16,2.688,-141.09,0.0561,15.36,49.86
6,2.7279,-145.83,2.7333,-175.94,2.7435,-141.25,1.941,30.1,140.59
7,4.6692,-129.58,4.6743,-154.06,4.6836,-129.22,0.5214,24.48,172.95
8,5.1837,-137.92,5.1957,-153.13,5.1999,-133.44,0.0849,15.21,86.31
9,5.2698,-132.45,5.2806,-161.72,5.2866,-134.84,0.8538,29.27,228.14
10,6.1284,-133.39,6.1344,-156.56,6.1395,-133.44,0.0996,23.18,118.25
11,6.2274,-138.39,6.234,-156.88,6.2412,-135.47,1.1616,18.49,118.39
12,7.3884,-142.19,7.3956,-167.97,7.4043,-142.03,0.6261,25.78,178.22
13,8.0178,-149.27,8.0217,-160.63,8.0385,-139.38,0.1407,11.35,36.88
14,8.1579,-134.48,8.1624,-161.56,8.1774,-142.66,0.1284,27.08,269.2
15,8.2749,-141.98,8.2908,-162.03,8.2986,-136.25,0.5784,20.05,123.87
16,8.8638,-143.28,8.8692,-171.88,8.8767,-145,0.036,28.59,172.55
17,8.898,-150.36,8.9052,-171.09,8.9124,-149.22,2.6868,20.73,131.28
18,11.5794,-137.5,11.592,-160.16,11.5986,-136.09,0.7656,22.66,179.53
19,12.351,-126.67,12.3576,-150.63,12.366,-128.13,0.9975,23.96,167.77
20,13.3497,-135.26,13.3551,-158.59,13.3698,-143.44,0.9639,23.33,313.2
21,14.3118,-150.57,14.319,-173.44,14.3292,-146.88,1.6959,22.86,144.55
22,16.0074,-141.15,16.0149,-165.63,16.0257,-145.47,0,24.48,206.64
23,17.2431,-142.97,16.0149,-165.63,17.265,-141.88,2.7429,22.66,295.08
24,18.7542,-139.53,18.7578,-166.41,18.7638,-140.31,1.4763,26.88,135.98
25,20.2308,-138.65,20.2341,-191.88,20.2443,-143.28,0.7062,53.23,352.81
26,20.9379,-142.97,20.9403,-160,20.9505,-138.59,0.0753,17.03,66.75
27,21.0051,-129.95,21.0156,-157.03,21.0225,-131.56,0.5607,27.08,160.44
28,21.5715,-132.55,21.5763,-152.19,21.5835,-136.41,1.8654,19.64,159.86
29,23.4363,-142.6,23.4417,-163.75,23.4492,-140.94,0.3279,21.15,110.61
30,23.7672,-128.54,23.7696,-155,23.7783,-131.25,0.0465,26.46,164.7
31,23.811,-138.85,23.8161,-156.09,23.8248,-132.19,0.3417,17.24,83.47
32,24.1464,-132.14,24.1578,-149.06,24.1635,-126.72,2.6169,16.93,84.2
33,26.7687,-139.69,26.7747,-155.31,26.7819,-133.44,0.3003,15.63,75.05
34,27.0657,-127.5,27.075,-162.34,27.0864,-139.38,0.2175,34.84,436.03
35,27.2862,-152.71,27.2925,-172.66,27.303,-151.72,0.5376,19.95,203.63
36,27.825,-172.5,27.8301,-201.25,27.8382,-175.78,1.1217,28.75,213.19
37,28.9437,-174.01,28.9518,-191.88,28.9605,-169.38,0.4182,17.86,137.02
38,29.367,-166.25,29.37,-198.44,29.3778,-168.91,0.225,32.19,181.92
39,29.592,-165.63,29.595,-185.94,29.6022,-166.09,1.3776,20.31,98.53
40,30.966,-176.88,30.9726,-205.31,30.981,-179.84,1.0029,28.44,219.14
41,31.9695,-174.43,31.9755,-198.91,31.9878,-167.34,0.7797,24.48,117.39
42,32.7471,-152.86,32.7552,-171.41,32.7621,-142.97,0.7314,18.54,62.63
43,33.4812,-150.89,33.4866,-182.03,33.4974,-150.78,0.1641,31.15,226.61
44,33.6471,-146.93,33.6507,-178.44,33.6606,-145.94,0.3366,31.51,189.45
45,33.9834,-147.03,33.9873,-171.56,33.996,-150.78,1.0974,24.53,162.28
46,35.0814,-145.68,35.0847,-170.63,35.0946,-144.22,1.6137,24.95,150.09
47,36.6894,-164.53,36.6984,-189.84,36.7161,-161.56,0.1719,25.31,261.94
48,36.8598,-164.11,36.8703,-183.75,36.8766,-162.34,0.7293,19.64,103.69
49,37.5951,-169.48,37.5996,-198.59,37.6074,-169.84,0.3393,29.11,139.45
50,37.9356,-160.42,37.9389,-185.78,37.9575,-164.69,4.6239,25.36,252.27
