msec,pa
"97528,7999999998","83,4125289917"
"97529,0999999998","81,7970581055"
"97529,3999999998","90,9239578247"
"97529,6999999998","89,7973556519"
"97529,9999999998","91,9156112671"
"97530,2999999998","95,2088317871"
"97530,5999999998","95,6440811157"
"97530,8999999998","86,1524581909"
"97531,1999999998","84,1905517578"
"97531,4999999998","82,5365142822"
"97531,7999999998","82,5727157593"
"97532,0999999998","84,4985046387"
"97532,3999999998","80,3346786499"
"97532,6999999998","79,4704055786"
"97532,9999999998","84,0321502686"
"97533,2999999998","81,7058563232"
"97533,5999999998","80,4575042725"
"97533,8999999998","77,5471496582"
"97534,1999999998","79,1209030151"
"97534,4999999998","82,5485153198"
"97534,7999999998","94,6745147705"
"97535,0999999998","82,3817901611"
"97535,3999999998","91,4285125732"
"97535,6999999998","84,3186340332"
"97535,9999999998","84,2715911865"
"97536,2999999998","77,8180236816"
"97536,5999999998","81,6510696411"
"97536,8999999998","86,6938095093"
"97537,1999999998","87,6279907227"
"97537,4999999998","85,1947479248"
"97537,7999999998","84,3589935303"
"97538,0999999998","82,5231170654"
"97538,3999999998","87,5763397217"
"97538,6999999998","86,6144561768"
"97538,9999999998","86,3603057861"
"97539,2999999998","86,1608886719"
"97539,5999999998","82,0997924805"
"97539,8999999998","79,1582946777"
"97540,1999999998","83,2126235962"
"97540,4999999998","78,5113449097"
"97540,7999999998","84,1837921143"
"97541,0999999998","81,2836608887"
"97541,3999999998","84,0876235962"
"97541,6999999998","84,7770767212"
"97541,9999999998","85,6587295532"
"97542,2999999998","82,4750976563"
"97542,5999999998","81,5211410522"
"97542,8999999998","79,8528900146"
"97543,1999999998","78,5154418945"
"97543,4999999998","84,3298492432"
"97543,7999999998","79,7108764648"
"97544,0999999998","79,076461792"
"97544,3999999998","84,9214935303"
"97544,6999999998","81,7243728638"
"97544,9999999998","80,852180481"
"97545,2999999998","81,2462692261"
"97545,5999999998","85,4841384888"
"97545,8999999998","82,895652771"
"97546,1999999998","79,260017395"
"97546,4999999998","88,1673278809"
"97546,7999999998","87,7562713623"
"97547,0999999998","82,0567474365"
"97547,3999999998","80,6851348877"
"97547,6999999998","76,5893249512"
"97547,9999999998","88,4250946045"
"97548,2999999998","85,4041748047"
"97548,5999999998","88,6666183472"
"97548,8999999998","86,0825576782"
"97549,1999999998","87,355255127"
"97549,4999999998","84,2349472046"
"97549,7999999998","85,3731384277"
"97550,0999999998","86,8747253418"
"97550,3999999998","84,7160873413"
"97550,6999999998","78,0306625366"
"97550,9999999998","81,5217895508"
"97551,2999999998","87,0351486206"
"97551,5999999998","84,0966949463"
"97551,8999999998","86,7686843872"
"97552,1999999998","86,247253418"
"97552,4999999998","87,2343521118"
"97552,7999999998","90,9183120728"
"97553,0999999998","89,3583755493"
"97553,3999999998","81,7619400024"
"97553,6999999998","85,6192703247"
"97553,9999999998","85,5373153687"
"97554,2999999998","81,5474624634"
"97554,5999999998","81,5249099731"
"97554,8999999998","85,7959060669"
"97555,1999999998","89,3058242798"
"97555,4999999998","83,2722167969"
"97555,7999999998","87,1441421509"
"97556,0999999998","84,5054550171"
"97556,3999999998","84,8723373413"
"97556,6999999998","88,7166671753"
"97556,9999999998","85,0341033936"
"97557,2999999998","84,2894439697"
"97557,5999999998","91,5572280884"
"97557,8999999998","86,879486084"
"97558,1999999998","83,0436477661"
"97558,4999999998","82,1648406982"
"97558,7999999998","87,0731506348"
"97559,0999999998","85,2135620117"
"97559,3999999998","84,033164978"
"97559,6999999998","88,6116638184"
"97559,9999999998","85,255317688"
"97560,2999999998","89,39478302"
"97560,5999999998","86,5071563721"
"97560,8999999998","89,6380157471"
"97561,1999999998","83,4313659668"
"97561,4999999998","87,0867538452"
"97561,7999999998","89,5982055664"
"97562,0999999998","87,7183990479"
"97562,3999999998","90,2278442383"
"97562,6999999998","89,4412536621"
"97562,9999999998","85,2724838257"
"97563,2999999998","90,9785461426"
"97563,5999999998","91,5143661499"
"97563,8999999998","88,2096328735"
"97564,1999999998","90,4376373291"
"97564,4999999998","91,5914230347"
"97564,7999999998","89,6124954224"
"97565,0999999998","87,7077560425"
"97565,3999999998","91,6856079102"
"97565,6999999998","89,9772567749"
"97565,9999999998","91,6928634644"
"97566,2999999998","86,5381393433"
"97566,5999999998","90,6832046509"
"97566,8999999998","84,3503799438"
"97567,1999999998","84,0830001831"
"97567,4999999998","86,2505187988"
"97567,7999999998","92,1240844727"
"97568,0999999998","88,0096664429"
"97568,3999999998","90,703666687"
"97568,6999999998","88,6110534668"
"97568,9999999998","87,714553833"
"97569,2999999998","89,1108169556"
"97569,5999999998","83,698059082"
"97569,8999999998","83,3307113647"
"97570,1999999998","85,8631896973"
"97570,4999999998","84,4139556885"
"97570,7999999998","84,1430969238"
"97571,0999999998","85,6131820679"
"97571,3999999998","84,928894043"
"97571,6999999998","87,9804840088"
"97571,9999999998","86,462928772"
"97572,2999999998","86,825920105"
"97572,5999999998","84,3690414429"
"97572,8999999998","85,0352554321"
"97573,1999999998","86,013381958"
"97573,4999999998","79,5874328613"
"97573,7999999998","83,2525863647"
"97574,0999999998","78,0603790283"
"97574,3999999998","87,9481277466"
"97574,6999999998","92,6184310913"
"97574,9999999998","86,0704727173"
"97575,2999999998","90,4306182861"
"97575,5999999998","84,2580795288"
"97575,8999999998","85,3797149658"
"97576,1999999998","84,2440414429"
"97576,4999999998","89,2291946411"
"97576,7999999998","89,3692245483"
"97577,0999999998","84,7858047485"
"97577,3999999998","88,649055481"
"97577,6999999998","83,3568496704"
"97577,9999999998","88,2948455811"
"97578,2999999998","85,8230285645"
"97578,5999999998","84,4582672119"
"97578,8999999998","81,1146469116"
"97579,1999999998","73,8332061768"
"97579,4999999998","72,5920791626"
"97579,7999999998","68,2408599854"
"97580,0999999998","61,2826385498"
"97580,3999999998","61,2204284668"
"97580,6999999998","72,2393569946"
"97580,9999999998","72,515914917"
"97581,2999999998","65,5497436523"
"97581,5999999998","72,2788009644"
"97581,8999999998","75,3848876953"
"97582,1999999998","78,9958267212"
"97582,4999999998","80,609954834"
"97582,7999999998","79,1969985962"
"97583,0999999998","77,9278259277"
"97583,3999999998","78,8411407471"
"97583,6999999998","82,7680892944"
"97583,9999999998","80,9584350586"
"97584,2999999998","82,9691619873"
"97584,5999999998","76,3822250366"
"97584,8999999998","75,9868774414"
"97585,1999999998","78,6895217896"
"97585,4999999998","78,966255188"
"97585,7999999998","85,7901916504"
"97586,0999999998","86,1467819214"
"97586,3999999998","79,5772476196"
"97586,6999999998","84,8261566162"
"97586,9999999998","79,7379989624"
"97587,2999999998","78,417350769"
"97587,5999999998","83,8721389771"
"97587,8999999998","82,6787796021"
"97588,1999999998","83,0602798462"
"97588,4999999998","82,6901550293"
"97588,7999999998","82,7429046631"
"97589,0999999998","81,3389358521"
"97589,3999999998","79,8256378174"
"97589,6999999998","83,8050842285"
"97589,9999999998","82,7856445313"
"97590,2999999998","82,6589279175"
"97590,5999999998","80,3480072021"
"97590,8999999998","79,7727890015"
"97591,1999999998","82,2020797729"
"97591,4999999998","79,3661727905"
"97591,7999999998","81,1477890015"
"97592,0999999998","85,4755859375"
"97592,3999999998","78,3983078003"
"97592,6999999998","81,1846160889"
"97592,9999999998","81,5358963013"
"97593,2999999998","82,604347229"
"97593,5999999998","76,0101547241"
"97593,8999999998","75,8987731934"
"97594,1999999998","86,0067520142"
"97594,4999999998","87,716217041"
"97594,7999999998","84,2792739868"
"97595,0999999998","83,957862854"
"97595,3999999998","88,4495773315"
"97595,6999999998","84,8453216553"
"97595,9999999998","86,2736587524"
"97596,2999999998","80,2316894531"
"97596,5999999998","82,7858276367"
"97596,8999999998","81,5037994385"
"97597,1999999998","83,5796890259"
"97597,4999999998","88,7430953979"
"97597,7999999998","87,9754104614"
"97598,0999999998","94,0652770996"
"97598,3999999998","87,5999221802"
"97598,6999999998","93,2626495361"
"97598,9999999998","94,3082351685"
"97599,2999999998","88,3665084839"
"97599,5999999998","93,7288742065"
"97599,8999999998","86,4039916992"
"97600,1999999998","85,5482330322"
"97600,4999999998","81,4167709351"
"97600,7999999998","88,944229126"
"97601,0999999998","85,9933395386"
"97601,3999999998","88,2169036865"
"97601,6999999998","88,4712600708"
"97601,9999999998","87,0681686401"
"97602,2999999998","84,1545639038"
"97602,5999999998","81,867980957"
"97602,8999999998","86,6407318115"
"97603,1999999998","87,7395553589"
"97603,4999999998","90,3238143921"
"97603,7999999998","87,3806228638"
"97604,0999999998","87,432220459"
"97604,3999999998","87,4039306641"
"97604,6999999998","83,6538772583"
"97604,9999999998","85,2539596558"
"97605,2999999998","85,1268386841"
"97605,5999999998","86,1600418091"
"97605,8999999998","83,6059951782"
"97606,1999999998","86,2671203613"
"97606,4999999998","93,8238372803"
"97606,7999999998","89,3017272949"
"97607,0999999998","87,7368621826"
"97607,3999999998","87,0840377808"
"97607,6999999998","87,8781433105"
"97607,9999999998","90,4697723389"
"97608,2999999998","85,3551559448"
"97608,5999999998","83,9188537598"
"97608,8999999998","87,4305953979"
"97609,1999999998","83,5512313843"
"97609,4999999998","88,0976638794"
"97609,7999999998","87,6599655151"
"97610,0999999998","90,6459960938"
"97610,3999999998","86,7660293579"
"97610,6999999998","79,7321929932"
"97610,9999999998","82,3991775513"
"97611,2999999998","92,3826751709"
"97611,5999999998","91,5299301147"
"97611,8999999998","88,8385925293"
"97612,1999999998","84,0433273315"
"97612,4999999998","92,3545379639"
"97612,7999999998","83,4232635498"
"97613,0999999998","88,8852844238"
"97613,3999999998","82,5298538208"
"97613,6999999998","85,1191711426"
"97613,9999999998","82,873588562"
"97614,2999999998","81,262588501"
"97614,5999999998","86,9967498779"
"97614,8999999998","89,3038482666"
"97615,1999999998","84,6710128784"
"97615,4999999998","77,2920455933"
"97615,7999999998","80,2505187988"
"97616,0999999998","80,6237258911"
