msec,pa
"320339,7","101,2947845459"
320340,"106,3138656616"
"320340,3","97,7290496826"
"320340,6","101,9628448486"
"320340,9","99,8172607422"
"320341,2","104,1152267456"
"320341,5","106,3425140381"
"320341,8","108,1624908447"
"320342,1","101,9171676636"
"320342,4","102,5784454346"
"320342,7","103,8489532471"
320343,"99,6624603271"
"320343,3","101,341835022"
"320343,6","100,6331176758"
"320343,9","100,463722229"
"320344,2","104,6252670288"
"320344,5","102,8577270508"
"320344,8","94,6087799072"
"320345,1","100,870475769"
"320345,4","101,6241455078"
"320345,7","106,9466247559"
320346,"102,6176605225"
"320346,3","106,9023513794"
"320346,6","109,6171417236"
"320346,9","105,9054336548"
"320347,2","103,0856933594"
"320347,5","105,8284988403"
"320347,8","111,5434417725"
"320348,1","103,9592208862"
"320348,4","100,9738540649"
"320348,7","104,3657073975"
320349,"105,5637130737"
"320349,3","104,5933151245"
"320349,6","104,7403411865"
"320349,9","102,7991256714"
"320350,2","100,282989502"
"320350,5","106,5007400513"
"320350,8","105,8126831055"
"320351,1","99,706413269"
"320351,4","102,6964416504"
"320351,7","97,7807998657"
320352,"100,5617523193"
"320352,3","102,757522583"
"320352,6","106,1523208618"
"320352,9","103,0274353027"
"320353,2","99,6786956787"
"320353,5","104,2890472412"
"320353,8","100,4064025879"
"320354,1","109,6231842041"
"320354,4","99,8637695313"
"320354,7","103,921836853"
320355,"104,939956665"
"320355,3","101,1374969482"
"320355,6","97,4549407959"
"320355,9","96,0186920166"
"320356,2","101,2592926025"
"320356,5","106,1521759033"
"320356,8","101,5667953491"
"320357,1","102,4054336548"
"320357,4","101,7512130737"
"320357,7","101,5180130005"
320358,"102,8700942993"
"320358,3","104,6490020752"
"320358,6","105,9122619629"
"320358,9","103,3706054688"
"320359,2","103,0661315918"
"320359,5","103,455291748"
"320359,8","104,8190765381"
"320360,1","104,3199234009"
"320360,4","100,6084594727"
"320360,7","101,1853256226"
320361,"104,2771377563"
"320361,3","97,8854980469"
"320361,6","99,0131988525"
"320361,9","99,4228668213"
"320362,2","97,4287567139"
"320362,5","96,5624160767"
"320362,8","94,6541671753"
"320363,1","97,8250350952"
"320363,4","96,0333480835"
"320363,7","98,3842391968"
320364,"96,2541122437"
"320364,3","102,1043777466"
"320364,6","100,0467529297"
"320364,9","96,0107803345"
"320365,2","95,2234115601"
"320365,5","94,7613601685"
"320365,8","93,280418396"
"320366,1","94,8153762817"
"320366,4","98,0142669678"
"320366,7","99,26927948"
320367,"99,7986450195"
"320367,3","93,3437347412"
"320367,6","101,8690567017"
"320367,9","98,000038147"
"320368,2","97,9228286743"
"320368,5","101,8315048218"
"320368,8","99,3680953979"
"320369,1","99,4278259277"
"320369,4","98,6143264771"
"320369,7","100,9921798706"
320370,"100,431930542"
"320370,3","99,5868530273"
"320370,6","97,6212005615"
"320370,9","96,0311813354"
"320371,2","96,5373306274"
"320371,5","98,0714416504"
"320371,8","102,7606658936"
"320372,1","100,4870681763"
"320372,4","99,1957931519"
"320372,7","95,658706665"
320373,"101,2024688721"
"320373,3","95,1507568359"
"320373,6","92,7631912231"
"320373,9","93,0994796753"
"320374,2","97,2554321289"
"320374,5","92,4865188599"
"320374,8","93,8377685547"
"320375,1","97,0914840698"
"320375,4","95,9175109863"
"320375,7","98,6895904541"
320376,"98,7652587891"
"320376,3","96,2146530151"
"320376,6","96,9231414795"
"320376,9","101,8672943115"
"320377,2","97,6491851807"
"320377,5","99,1043395996"
"320377,8","99,7048339844"
"320378,1","100,5436019897"
"320378,4","96,174621582"
"320378,7","97,273475647"
320379,"98,8488311768"
"320379,3","99,6864852905"
"320379,6","105,504699707"
"320379,9","104,2330322266"
"320380,2","98,1769485474"
"320380,5","98,8834381104"
"320380,8","99,0918807983"
"320381,1","99,8927993774"
"320381,4","99,7872848511"
"320381,7","106,1405181885"
320382,"99,2053375244"
"320382,3","104,2864532471"
"320382,6","102,4712677002"
"320382,9","100,9365997314"
"320383,2","99,3770751953"
"320383,5","103,6201629639"
"320383,8","103,8083724976"
"320384,1","96,3490600586"
"320384,4","97,5901412964"
"320384,7","99,3281402588"
320385,"101,1256942749"
"320385,3","100,2187194824"
"320385,6","99,0084152222"
"320385,9","106,1704330444"
"320386,2","105,4158935547"
"320386,5","102,0004272461"
"320386,8","103,7650299072"
"320387,1","100,9978103638"
"320387,4","105,2789001465"
"320387,7","103,5190353394"
320388,"105,493095398"
"320388,3","103,3870544434"
"320388,6","105,8673706055"
"320388,9","101,9506378174"
"320389,2","106,5578079224"
"320389,5","102,9176940918"
"320389,8","100,4710083008"
"320390,1","102,870223999"
"320390,4","105,967338562"
"320390,7","102,9463882446"
320391,"104,3462600708"
"320391,3","104,0825042725"
"320391,6","105,0606613159"
"320391,9","103,3587417603"
"320392,2","106,6700210571"
"320392,5","101,5849151611"
"320392,8","100,1668395996"
"320393,1","102,604423523"
"320393,4","102,8634262085"
"320393,7","97,9064331055"
320394,"99,9996795654"
"320394,3","99,7291030884"
"320394,6","99,3302078247"
"320394,9","102,3251342773"
"320395,2","102,937713623"
"320395,5","102,236000061"
"320395,8","104,7414016724"
"320396,1","97,937461853"
"320396,4","104,4793395996"
"320396,7","95,9324569702"
320397,"102,1158218384"
"320397,3","101,7269897461"
"320397,6","98,6702957153"
"320397,9","103,5615463257"
"320398,2","99,8632888794"
"320398,5","106,6902236938"
"320398,8","101,5690155029"
"320399,1","104,7618637085"
"320399,4","103,2955093384"
"320399,7","107,8944625855"
320400,"108,5379638672"
"320400,3","107,5913619995"
"320400,6","93,6182785034"
"320400,9","85,2657623291"
"320401,2","86,1261291504"
"320401,5","88,7169799805"
"320401,8","91,9741897583"
"320402,1","90,939781189"
