,id,lab_id,roi,dist,index,time,abs_int,dF_int,dF/F0_int
0,07_05_25_cell11_Fc,psd,1,448,0,0.0,15.7048,1.9346666666666668,0.14049769687244965
1,07_05_25_cell11_Fc,psd,1,448,1,1.0,13.9343,0.1641904761904769,0.011923699389982485
2,07_05_25_cell11_Fc,psd,1,448,2,2.0,14.2281,0.45800000000000374,0.033260481651059166
3,07_05_25_cell11_Fc,psd,1,448,3,3.0,13.6867,-0.08342857142857163,-0.006058677880292714
4,07_05_25_cell11_Fc,psd,1,448,4,4.0,14.9876,1.2175238095238097,0.08841796577815282
5,07_05_25_cell11_Fc,psd,1,448,5,5.0,13.9862,0.21609523809524056,0.015693082317790288
6,07_05_25_cell11_Fc,psd,1,448,6,6.0,13.4648,-0.3053333333333317,-0.022173654434039142
7,07_05_25_cell11_Fc,psd,1,448,7,7.0,14.07,0.29990476190476656,0.021779425393883566
8,07_05_25_cell11_Fc,psd,1,448,8,8.0,12.7048,-1.0653333333333297,-0.07736572005588345
9,07_05_25_cell11_Fc,psd,1,448,9,9.0,13.2505,-0.5196190476190452,-0.03773532707177718
10,07_05_25_cell11_Fc,psd,1,448,10,10.0,13.7857,0.015619047619050974,0.0011342730278175981
11,07_05_25_cell11_Fc,psd,1,448,11,11.0,14.2052,0.4351428571428606,0.03160056990303375
12,07_05_25_cell11_Fc,psd,1,448,12,12.0,12.91,-0.8600952380952371,-0.062461095818405594
13,07_05_25_cell11_Fc,psd,1,448,13,13.0,12.5714,-1.1986666666666643,-0.08704853858603169
14,07_05_25_cell11_Fc,psd,1,448,14,14.0,13.0614,-0.7086666666666623,-0.0514641804877371
15,07_05_25_cell11_Fc,psd,1,448,15,15.0,13.8919,0.12180952380952803,0.008845946357185651
16,07_05_25_cell11_Fc,psd,1,448,16,16.0,14.3348,0.5646666666666729,0.041006736475177864
17,07_05_25_cell11_Fc,psd,1,448,17,17.0,13.3771,-0.3929523809523783,-0.028536649468136423
18,07_05_25_cell11_Fc,psd,1,448,18,18.0,13.3895,-0.38057142857142523,-0.027637530604622616
