,id,lab_id,roi,dist,index,time,abs_int,dF_int,dF/F0_int
0,07_05_25_cell7_Fc,oreol,1,521,0,0.0,7.3393,0.4554252873563218,0.06615817718543057
1,07_05_25_cell7_Fc,oreol,1,521,1,1.0,8.0338,1.1499080459770123,0.16704346983960552
2,07_05_25_cell7_Fc,oreol,1,521,2,2.0,6.7903,-0.09354022988505939,-0.01358829049354008
3,07_05_25_cell7_Fc,oreol,1,521,3,3.0,7.4341,0.5502528735632177,0.079933477820931
4,07_05_25_cell7_Fc,oreol,1,521,4,4.0,6.8,-0.08388505747126374,-0.012185714428834201
5,07_05_25_cell7_Fc,oreol,1,521,5,5.0,6.9621,0.07818390804597719,0.011357526657293922
6,07_05_25_cell7_Fc,oreol,1,521,6,6.0,6.8576,-0.026298850574713484,-0.0038203500429122707
7,07_05_25_cell7_Fc,oreol,1,521,7,7.0,7.4562,0.572321839080459,0.0831393659688293
8,07_05_25_cell7_Fc,oreol,1,521,8,8.0,7.781,0.8971494252873553,0.13032603214570745
9,07_05_25_cell7_Fc,oreol,1,521,9,9.0,6.2848,-0.5990574712643681,-0.08702316588133543
10,07_05_25_cell7_Fc,oreol,1,521,10,10.0,6.5721,-0.3118160919540234,-0.04529652795634655
11,07_05_25_cell7_Fc,oreol,1,521,11,11.0,6.6824,-0.20147126436781715,-0.02926708721685511
12,07_05_25_cell7_Fc,oreol,1,521,12,12.0,6.4217,-0.4621609195402323,-0.06713664096390405
13,07_05_25_cell7_Fc,oreol,1,521,13,13.0,6.4703,-0.4135402298850579,-0.060073668638065306
14,07_05_25_cell7_Fc,oreol,1,521,14,14.0,5.3724,-1.5114712643678168,-0.21956660399600608
15,07_05_25_cell7_Fc,oreol,1,521,15,15.0,6.3045,-0.5794022988505745,-0.08416792174961342
16,07_05_25_cell7_Fc,oreol,1,521,16,16.0,6.3883,-0.495609195402297,-0.0719955651880618
17,07_05_25_cell7_Fc,oreol,1,521,17,17.0,6.1528,-0.7311264367816079,-0.10620840276641413
18,07_05_25_cell7_Fc,oreol,1,521,18,18.0,6.2228,-0.6611264367816094,-0.0960397262972994
19,07_05_25_cell7_Fc,oreol,1,521,19,19.0,6.661,-0.22285057471264302,-0.032372791360131346
20,07_05_25_cell7_Fc,oreol,1,521,20,20.0,5.6528,-1.2311264367816097,-0.1788418061172354
21,07_05_25_cell7_Fc,oreol,1,521,21,21.0,6.0759,-0.8080229885057468,-0.11737891928174743
22,07_05_25_cell7_Fc,oreol,1,521,22,22.0,6.4845,-0.39940229885057565,-0.05801989654331803
23,07_05_25_cell7_Fc,oreol,1,521,23,23.0,6.4662,-0.41767816091954124,-0.06067477266579632
24,07_05_25_cell7_Fc,oreol,1,521,24,24.0,7.7669,0.883011494252874,0.12827226005096032
25,07_05_25_cell7_Fc,oreol,1,521,25,25.0,6.2321,-0.6518160919540223,-0.09468724223490468
26,07_05_25_cell7_Fc,oreol,1,521,26,26.0,6.1903,-0.6935402298850581,-0.1007483745145251
27,07_05_25_cell7_Fc,oreol,1,521,27,27.0,5.0566,-1.8273333333333337,-0.26545087811280055
28,07_05_25_cell7_Fc,oreol,1,521,28,28.0,5.6834,-1.2004367816091968,-0.17438361791156443
29,07_05_25_cell7_Fc,oreol,1,521,29,29.0,6.6683,-0.2156091954022985,-0.03132085931160226
30,07_05_25_cell7_Fc,oreol,1,521,30,30.0,7.3259,0.4419770114942514,0.06420458909530483
31,07_05_25_cell7_Fc,oreol,1,521,31,31.0,6.1166,-0.7673333333333332,-0.11146806300905995
32,07_05_25_cell7_Fc,oreol,1,521,32,32.0,6.7907,-0.09319540229885082,-0.013538198491228925
33,07_05_25_cell7_Fc,oreol,1,521,33,33.0,7.0583,0.1743908045977003,0.02533319530203795
34,07_05_25_cell7_Fc,oreol,1,521,34,34.0,7.9607,1.0768045977011491,0.15642396534969222
35,07_05_25_cell7_Fc,oreol,1,521,35,35.0,7.3955,0.5116321839080458,0.07432317356210905
36,07_05_25_cell7_Fc,oreol,1,521,36,36.0,8.7286,1.844735632183907,0.267978854496091
