,id,lab_id,roi,dist,index,time,abs_int,dF_int,dF/F0_int,base
0,25_09_10_cell1_3_ch3,shaft,1,465,0,0.0,8.0,-2.8076999187469482,-0.259799987077713,simple
1,25_09_10_cell1_3_ch3,shaft,1,465,1,10.0,13.615400314331055,2.8076999187469482,0.259799987077713,simple
2,25_09_10_cell1_3_ch3,shaft,1,465,2,20.0,14.769200325012207,3.9614999294281006,0.36649999022483826,simple
3,25_09_10_cell1_3_ch3,shaft,1,465,3,30.0,6.846199989318848,-3.9614999294281006,-0.36649999022483826,simple
4,25_09_10_cell1_3_ch3,shaft,1,465,4,40.0,6.923099994659424,-3.8845999240875244,-0.3594000041484833,simple
5,25_09_10_cell1_3_ch3,shaft,1,465,5,50.0,9.230799674987793,-1.5769000053405762,-0.14589999616146088,simple
6,25_09_10_cell1_3_ch3,shaft,1,465,6,60.0,10.923100471496582,0.11540000140666962,0.010700000450015068,simple
7,25_09_10_cell1_3_ch3,shaft,1,465,7,70.0,13.923100471496582,3.1154000759124756,0.2883000075817108,simple
8,25_09_10_cell1_3_ch3,shaft,1,465,8,80.0,10.46150016784668,-0.34619998931884766,-0.03200000151991844,simple
9,25_09_10_cell1_3_ch3,shaft,1,465,9,90.0,10.0,-0.807699978351593,-0.0746999979019165,simple
10,25_09_10_cell1_3_ch3,shaft,1,465,10,100.0,7.6153998374938965,-3.1923000812530518,-0.2953999936580658,simple
11,25_09_10_cell1_3_ch3,shaft,1,465,11,110.0,10.307700157165527,-0.5,-0.046300001442432404,simple
12,25_09_10_cell1_3_ch3,shaft,1,465,12,120.0,6.230800151824951,-4.576900005340576,-0.4235000014305115,simple
13,25_09_10_cell1_3_ch3,shaft,1,465,13,130.0,6.307700157165527,-4.5,-0.4163999855518341,simple
14,25_09_10_cell1_3_ch3,shaft,1,465,14,140.0,5.846199989318848,-4.96150016784668,-0.45910000801086426,simple
15,25_09_10_cell1_3_ch3,shaft,1,465,15,150.0,5.46150016784668,-5.346199989318848,-0.49470001459121704,simple
16,25_09_10_cell1_3_ch3,shaft,1,465,16,160.0,5.923099994659424,-4.8846001625061035,-0.4519999921321869,simple
17,25_09_10_cell1_3_ch3,shaft,1,465,17,170.0,6.307700157165527,-4.5,-0.4163999855518341,simple
18,25_09_10_cell1_3_ch3,shaft,1,465,18,180.0,6.923099994659424,-3.8845999240875244,-0.3594000041484833,simple
19,25_09_10_cell1_3_ch3,shaft,1,465,19,190.0,5.846199989318848,-4.96150016784668,-0.45910000801086426,simple
20,25_09_10_cell1_3_ch3,shaft,1,465,20,200.0,7.53849983215332,-3.269200086593628,-0.30250000953674316,simple
21,25_09_10_cell1_3_ch3,shaft,1,465,22,210.0,9.0,-1.8077000379562378,-0.1673000007867813,simple
22,25_09_10_cell1_3_ch3,shaft,2,457,0,0.0,11.923100471496582,0.34619998931884766,0.029899999499320984,simple
23,25_09_10_cell1_3_ch3,shaft,2,457,1,10.0,7.46150016784668,-4.1153998374938965,-0.3555000126361847,simple
24,25_09_10_cell1_3_ch3,shaft,2,457,2,20.0,11.307700157165527,-0.26919999718666077,-0.02329999953508377,simple
25,25_09_10_cell1_3_ch3,shaft,2,457,3,30.0,15.615400314331055,4.03849983215332,0.34880000352859497,simple
26,25_09_10_cell1_3_ch3,shaft,2,457,4,40.0,10.153800010681152,-1.4230999946594238,-0.12290000170469284,simple
27,25_09_10_cell1_3_ch3,shaft,2,457,5,50.0,14.307700157165527,2.730799913406372,0.23589999973773956,simple
28,25_09_10_cell1_3_ch3,shaft,2,457,6,60.0,26.76919937133789,15.192299842834473,1.3122999668121338,simple
29,25_09_10_cell1_3_ch3,shaft,2,457,7,70.0,27.69230079650879,16.115400314331055,1.3919999599456787,simple
