,id,lab_id,roi,dist,index,time,abs_int,dF_int,dF/F0_int,base
0,25_09_10_cell2_3_ch0,psd,1,234,0,0.0,36.70000076293945,3.0875000953674316,0.09189999848604202,simple
1,25_09_10_cell2_3_ch0,psd,1,234,1,10.0,33.92499923706055,0.3125,0.00930000003427267,simple
2,25_09_10_cell2_3_ch0,psd,1,234,2,20.0,32.17499923706055,-1.4375,-0.04280000180006027,simple
3,25_09_10_cell2_3_ch0,psd,1,234,3,30.0,31.649999618530273,-1.962499976158142,-0.058400001376867294,simple
4,25_09_10_cell2_3_ch0,psd,1,234,4,40.0,33.875,0.26249998807907104,0.007799999788403511,simple
5,25_09_10_cell2_3_ch0,psd,1,234,5,50.0,36.099998474121094,2.487499952316284,0.07400000095367432,simple
6,25_09_10_cell2_3_ch0,psd,1,234,6,60.0,37.79999923706055,4.1875,0.12460000067949295,simple
7,25_09_10_cell2_3_ch0,psd,1,234,7,70.0,34.20000076293945,0.5874999761581421,0.017500000074505806,simple
8,25_09_10_cell2_3_ch0,psd,1,234,8,80.0,35.29999923706055,1.6875,0.050200000405311584,simple
9,25_09_10_cell2_3_ch0,psd,1,234,9,90.0,36.79999923706055,3.1875,0.09480000287294388,simple
10,25_09_10_cell2_3_ch0,psd,1,234,10,100.0,29.774999618530273,-3.8375000953674316,-0.11420000344514847,simple
11,25_09_10_cell2_3_ch0,psd,1,234,11,110.0,25.625,-7.987500190734863,-0.23759999871253967,simple
12,25_09_10_cell2_3_ch0,psd,1,234,12,120.0,20.375,-13.237500190734863,-0.3937999904155731,simple
13,25_09_10_cell2_3_ch0,psd,1,234,13,130.0,19.350000381469727,-14.262499809265137,-0.4242999851703644,simple
14,25_09_10_cell2_3_ch0,psd,1,234,14,140.0,18.899999618530273,-14.712499618530273,-0.4377000033855438,simple
15,25_09_10_cell2_3_ch0,psd,1,234,15,150.0,17.274999618530273,-16.337499618530273,-0.4860999882221222,simple
16,25_09_10_cell2_3_ch0,psd,1,234,16,160.0,16.100000381469727,-17.512500762939453,-0.5210000276565552,simple
17,25_09_10_cell2_3_ch0,psd,1,234,17,170.0,17.600000381469727,-16.012500762939453,-0.4763999879360199,simple
18,25_09_10_cell2_3_ch0,psd,1,234,18,180.0,19.899999618530273,-13.712499618530273,-0.40799999237060547,simple
19,25_09_10_cell2_3_ch0,psd,1,234,19,190.0,19.174999237060547,-14.4375,-0.429500013589859,simple
20,25_09_10_cell2_3_ch0,psd,1,234,20,200.0,16.049999237060547,-17.5625,-0.5224999785423279,simple
21,25_09_10_cell2_3_ch0,psd,1,234,22,210.0,14.699999809265137,-18.912500381469727,-0.5626999735832214,simple
22,25_09_10_cell2_3_ch0,psd,2,343,0,0.0,46.339599609375,-0.8490999937057495,-0.017999999225139618,simple
23,25_09_10_cell2_3_ch0,psd,2,343,1,10.0,47.86790084838867,0.6791999936103821,0.014399999752640724,simple
24,25_09_10_cell2_3_ch0,psd,2,343,2,20.0,47.849098205566406,0.6603999733924866,0.014000000432133675,simple
25,25_09_10_cell2_3_ch0,psd,2,343,3,30.0,46.69810104370117,-0.49059998989105225,-0.010400000028312206,simple
26,25_09_10_cell2_3_ch0,psd,2,343,4,40.0,43.98109817504883,-3.2076001167297363,-0.06800000369548798,simple
27,25_09_10_cell2_3_ch0,psd,2,343,5,50.0,43.150901794433594,-4.037700176239014,-0.08560000360012054,simple
28,25_09_10_cell2_3_ch0,psd,2,343,6,60.0,45.5093994140625,-1.6792000532150269,-0.035599999129772186,simple
29,25_09_10_cell2_3_ch0,psd,2,343,7,70.0,47.566001892089844,0.3774000108242035,0.00800000037997961,simple
30,25_09_10_cell2_3_ch0,psd,2,343,8,80.0,44.60380172729492,-2.58489990234375,-0.05480000004172325,simple
31,25_09_10_cell2_3_ch0,psd,2,343,9,90.0,43.98109817504883,-3.2076001167297363,-0.06800000369548798,simple
32,25_09_10_cell2_3_ch0,psd,2,343,10,100.0,44.1697998046875,-3.018899917602539,-0.06400000303983688,simple
33,25_09_10_cell2_3_ch0,psd,2,343,11,110.0,35.64149856567383,-11.547200202941895,-0.24469999969005585,simple
34,25_09_10_cell2_3_ch0,psd,2,343,12,120.0,30.75469970703125,-16.43400001525879,-0.3483000099658966,simple
35,25_09_10_cell2_3_ch0,psd,2,343,13,130.0,29.69809913635254,-17.4906005859375,-0.37070000171661377,simple
36,25_09_10_cell2_3_ch0,psd,2,343,14,140.0,30.037700653076172,-17.15089988708496,-0.3634999990463257,simple
37,25_09_10_cell2_3_ch0,psd,2,343,15,150.0,30.037700653076172,-17.15089988708496,-0.3634999990463257,simple
38,25_09_10_cell2_3_ch0,psd,2,343,16,160.0,30.32080078125,-16.867900848388672,-0.35749998688697815,simple
39,25_09_10_cell2_3_ch0,psd,2,343,17,170.0,31.32080078125,-15.867899894714355,-0.33629998564720154,simple
40,25_09_10_cell2_3_ch0,psd,2,343,18,180.0,31.11319923400879,-16.07550048828125,-0.3407000005245209,simple
41,25_09_10_cell2_3_ch0,psd,2,343,19,190.0,30.98110008239746,-16.207599639892578,-0.3434999883174896,simple
42,25_09_10_cell2_3_ch0,psd,2,343,20,200.0,29.962299346923828,-17.22640037536621,-0.3650999963283539,simple
43,25_09_10_cell2_3_ch0,psd,2,343,22,210.0,29.660400390625,-17.52829933166504,-0.3714999854564667,simple
44,25_09_10_cell2_3_ch0,psd,3,344,0,0.0,57.012699127197266,1.5220999717712402,0.027400000020861626,simple
45,25_09_10_cell2_3_ch0,psd,3,344,1,10.0,56.05059814453125,0.5601000189781189,0.010099999606609344,simple
46,25_09_10_cell2_3_ch0,psd,3,344,2,20.0,54.645599365234375,-0.8449000120162964,-0.015200000256299973,simple
47,25_09_10_cell2_3_ch0,psd,3,344,3,30.0,54.25320053100586,-1.2373000383377075,-0.022299999371170998,simple
48,25_09_10_cell2_3_ch0,psd,3,344,4,40.0,50.59489822387695,-4.895599842071533,-0.08820000290870667,simple
49,25_09_10_cell2_3_ch0,psd,3,344,5,50.0,52.63290023803711,-2.857599973678589,-0.051500000059604645,simple
50,25_09_10_cell2_3_ch0,psd,3,344,6,60.0,51.89870071411133,-3.5917999744415283,-0.06469999998807907,simple
51,25_09_10_cell2_3_ch0,psd,3,344,7,70.0,50.11389923095703,-5.3765997886657715,-0.09690000116825104,simple
52,25_09_10_cell2_3_ch0,psd,3,344,8,80.0,49.025299072265625,-6.465199947357178,-0.11649999767541885,simple
53,25_09_10_cell2_3_ch0,psd,3,344,9,90.0,48.48099899291992,-7.009500026702881,-0.12630000710487366,simple
54,25_09_10_cell2_3_ch0,psd,3,344,10,100.0,48.341800689697266,-7.14870023727417,-0.12880000472068787,simple
55,25_09_10_cell2_3_ch0,psd,3,344,11,110.0,44.74679946899414,-10.74370002746582,-0.19359999895095825,simple
56,25_09_10_cell2_3_ch0,psd,3,344,12,120.0,44.911399841308594,-10.579099655151367,-0.19059999287128448,simple
57,25_09_10_cell2_3_ch0,psd,3,344,13,130.0,43.22779846191406,-12.262700080871582,-0.22100000083446503,simple
58,25_09_10_cell2_3_ch0,psd,3,344,14,140.0,42.974700927734375,-12.515800476074219,-0.22550000250339508,simple
59,25_09_10_cell2_3_ch0,psd,3,344,15,150.0,41.53160095214844,-13.958900451660156,-0.2515999972820282,simple
60,25_09_10_cell2_3_ch0,psd,3,344,16,160.0,39.0,-16.49049949645996,-0.2971999943256378,simple
61,25_09_10_cell2_3_ch0,psd,3,344,17,170.0,38.240501403808594,-17.25,-0.3109000027179718,simple
62,25_09_10_cell2_3_ch0,psd,3,344,18,180.0,36.83539962768555,-18.655099868774414,-0.3361999988555908,simple
63,25_09_10_cell2_3_ch0,psd,3,344,19,190.0,34.59489822387695,-20.895599365234375,-0.3765999972820282,simple
64,25_09_10_cell2_3_ch0,psd,3,344,20,200.0,35.05059814453125,-20.439899444580078,-0.3682999908924103,simple
65,25_09_10_cell2_3_ch0,psd,3,344,22,210.0,34.240501403808594,-21.25,-0.3828999996185303,simple
66,25_09_10_cell2_3_ch0,psd,4,344,0,0.0,84.8125,4.223999977111816,0.052400000393390656,simple
67,25_09_10_cell2_3_ch0,psd,4,344,1,10.0,80.9271011352539,0.3384999930858612,0.00419999985024333,simple
68,25_09_10_cell2_3_ch0,psd,4,344,2,20.0,78.53119659423828,-2.057300090789795,-0.025499999523162842,simple
69,25_09_10_cell2_3_ch0,psd,4,344,3,30.0,78.08329772949219,-2.505199909210205,-0.031099999323487282,simple
70,25_09_10_cell2_3_ch0,psd,4,344,4,40.0,75.65619659423828,-4.932300090789795,-0.06120000034570694,simple
71,25_09_10_cell2_3_ch0,psd,4,344,5,50.0,73.58329772949219,-7.005199909210205,-0.0869000032544136,simple
72,25_09_10_cell2_3_ch0,psd,4,344,6,60.0,68.5521011352539,-12.036499977111816,-0.149399995803833,simple
73,25_09_10_cell2_3_ch0,psd,4,344,7,70.0,65.7396011352539,-14.848999977111816,-0.1843000054359436,simple
74,25_09_10_cell2_3_ch0,psd,4,344,8,80.0,61.33330154418945,-19.255199432373047,-0.23890000581741333,simple
75,25_09_10_cell2_3_ch0,psd,4,344,9,90.0,59.625,-20.963499069213867,-0.26010000705718994,simple
76,25_09_10_cell2_3_ch0,psd,4,344,10,100.0,58.114601135253906,-22.474000930786133,-0.27889999747276306,simple
77,25_09_10_cell2_3_ch0,psd,4,344,11,110.0,62.125,-18.463499069213867,-0.22910000383853912,simple
78,25_09_10_cell2_3_ch0,psd,4,344,12,120.0,64.2603988647461,-16.328100204467773,-0.20260000228881836,simple
