,id,lab_id,roi,dist,index,time,abs_int,dF_int,dF/F0_int,base
0,25_09_10_cell4_3_Eapp,halo,1,201,0,0.0,0.12520000338554382,-0.0026000000070780516,-0.020500000566244125,simple
1,25_09_10_cell4_3_Eapp,halo,1,201,1,10.0,0.11949999630451202,-0.00839999970048666,-0.06560000032186508,simple
2,25_09_10_cell4_3_Eapp,halo,1,201,2,20.0,0.11720000207424164,-0.010700000450015068,-0.0835999995470047,simple
3,25_09_10_cell4_3_Eapp,halo,1,201,3,30.0,0.14959999918937683,0.021700000390410423,0.1696999967098236,simple
4,25_09_10_cell4_3_Eapp,halo,1,201,4,40.0,0.14079999923706055,0.012900000438094139,0.10090000182390213,simple
5,25_09_10_cell4_3_Eapp,halo,1,201,5,50.0,0.14589999616146088,0.01810000091791153,0.14139999449253082,simple
6,25_09_10_cell4_3_Eapp,halo,1,201,6,60.0,0.11410000175237656,-0.013799999840557575,-0.10760000348091125,simple
7,25_09_10_cell4_3_Eapp,halo,1,201,7,70.0,0.11760000139474869,-0.010200000368058681,-0.07999999821186066,simple
8,25_09_10_cell4_3_Eapp,halo,1,201,8,80.0,0.1680999994277954,0.04019999876618385,0.31439998745918274,simple
9,25_09_10_cell4_3_Eapp,halo,1,201,9,90.0,0.1485999971628189,0.02070000022649765,0.16220000386238098,simple
10,25_09_10_cell4_3_Eapp,halo,1,201,10,100.0,0.147599995136261,0.019700000062584877,0.15399999916553497,simple
11,25_09_10_cell4_3_Eapp,halo,1,201,11,110.0,0.19290000200271606,0.06509999930858612,0.5091000199317932,simple
12,25_09_10_cell4_3_Eapp,halo,1,201,12,120.0,0.2387000024318695,0.11089999973773956,0.8669999837875366,simple
13,25_09_10_cell4_3_Eapp,halo,1,201,13,130.0,0.24809999763965607,0.12030000239610672,0.9406999945640564,simple
14,25_09_10_cell4_3_Eapp,halo,1,201,14,140.0,0.25220000743865967,0.12439999729394913,0.972599983215332,simple
15,25_09_10_cell4_3_Eapp,halo,1,201,15,150.0,0.19189999997615814,0.06400000303983688,0.5008999705314636,simple
16,25_09_10_cell4_3_Eapp,halo,1,201,16,160.0,0.1776999980211258,0.049800001084804535,0.38940000534057617,simple
17,25_09_10_cell4_3_Eapp,halo,1,201,17,170.0,0.19460000097751617,0.06679999828338623,0.5221999883651733,simple
18,25_09_10_cell4_3_Eapp,halo,1,201,18,180.0,0.2362000048160553,0.10830000042915344,0.8472999930381775,simple
19,25_09_10_cell4_3_Eapp,halo,1,201,19,190.0,0.18950000405311584,0.06159999966621399,0.48190000653266907,simple
20,25_09_10_cell4_3_Eapp,halo,1,201,20,200.0,0.22110000252723694,0.09319999814033508,0.729200005531311,simple
21,25_09_10_cell4_3_Eapp,halo,1,201,22,210.0,0.21369999647140503,0.08579999953508377,0.6711000204086304,simple
22,25_09_10_cell4_3_Eapp,halo,2,198,0,0.0,0.09260000288486481,-0.003599999938160181,-0.03779999911785126,simple
23,25_09_10_cell4_3_Eapp,halo,2,198,1,10.0,0.09629999846220016,9.999999747378752e-05,0.00139999995008111,simple
24,25_09_10_cell4_3_Eapp,halo,2,198,2,20.0,0.0892999991774559,-0.006899999920278788,-0.07209999859333038,simple
25,25_09_10_cell4_3_Eapp,halo,2,198,3,30.0,0.10660000145435333,0.010400000028312206,0.10840000212192535,simple
26,25_09_10_cell4_3_Eapp,halo,2,198,4,40.0,0.10350000113248825,0.007300000172108412,0.07590000331401825,simple
27,25_09_10_cell4_3_Eapp,halo,2,198,5,50.0,0.10899999737739563,0.012799999676644802,0.13300000131130219,simple
28,25_09_10_cell4_3_Eapp,halo,2,198,6,60.0,0.1054999977350235,0.00930000003427267,0.09619999676942825,simple
29,25_09_10_cell4_3_Eapp,halo,2,198,7,70.0,0.0940999984741211,-0.002099999925121665,-0.022299999371170998,simple
30,25_09_10_cell4_3_Eapp,halo,2,198,8,80.0,0.11969999969005585,0.023499999195337296,0.24379999935626984,simple
31,25_09_10_cell4_3_Eapp,halo,2,198,9,90.0,0.10899999737739563,0.012799999676644802,0.13259999454021454,simple
32,25_09_10_cell4_3_Eapp,halo,2,198,10,100.0,0.1023000031709671,0.006099999882280827,0.06350000202655792,simple
33,25_09_10_cell4_3_Eapp,halo,2,198,11,110.0,0.12409999966621399,0.027899999171495438,0.28999999165534973,simple
34,25_09_10_cell4_3_Eapp,halo,2,198,12,120.0,0.13289999961853027,0.03669999912381172,0.38109999895095825,simple
35,25_09_10_cell4_3_Eapp,halo,2,198,13,130.0,0.12530000507831573,0.029100000858306885,0.3025999963283539,simple
36,25_09_10_cell4_3_Eapp,halo,2,198,14,140.0,0.12870000302791595,0.032499998807907104,0.3379000127315521,simple
37,25_09_10_cell4_3_Eapp,halo,2,198,15,150.0,0.11289999634027481,0.016699999570846558,0.1737000048160553,simple
38,25_09_10_cell4_3_Eapp,halo,2,198,16,160.0,0.10920000076293945,0.013000000268220901,0.13490000367164612,simple
39,25_09_10_cell4_3_Eapp,halo,2,198,17,170.0,0.11869999766349792,0.02250000089406967,0.23389999568462372,simple
40,25_09_10_cell4_3_Eapp,halo,2,198,18,180.0,0.1257999986410141,0.029600000008940697,0.30720001459121704,simple
41,25_09_10_cell4_3_Eapp,halo,2,198,19,190.0,0.1145000010728836,0.018300000578165054,0.19009999930858612,simple
42,25_09_10_cell4_3_Eapp,halo,2,198,20,200.0,0.147599995136261,0.05139999836683273,0.5338000059127808,simple
43,25_09_10_cell4_3_Eapp,halo,2,198,22,210.0,0.14079999923706055,0.044599998742341995,0.46309998631477356,simple
44,25_09_10_cell4_3_Eapp,halo,3,212,0,0.0,0.16670000553131104,-0.014000000432133675,-0.07739999890327454,simple
45,25_09_10_cell4_3_Eapp,halo,3,212,1,10.0,0.16899999976158142,-0.011599999852478504,-0.06440000236034393,simple
46,25_09_10_cell4_3_Eapp,halo,3,212,2,20.0,0.19329999387264252,0.012600000016391277,0.06960000097751617,simple
47,25_09_10_cell4_3_Eapp,halo,3,212,3,30.0,0.19370000064373016,0.013000000268220901,0.07209999859333038,simple
48,25_09_10_cell4_3_Eapp,halo,3,212,4,40.0,0.19550000131130219,0.014800000004470348,0.08209999650716782,simple
49,25_09_10_cell4_3_Eapp,halo,3,212,5,50.0,0.21130000054836273,0.030700000002980232,0.1696999967098236,simple
50,25_09_10_cell4_3_Eapp,halo,3,212,6,60.0,0.17800000309944153,-0.0027000000700354576,-0.014999999664723873,simple
51,25_09_10_cell4_3_Eapp,halo,3,212,7,70.0,0.16099999845027924,-0.019700000062584877,-0.10909999907016754,simple
52,25_09_10_cell4_3_Eapp,halo,3,212,8,80.0,0.20020000636577606,0.019500000402331352,0.10809999704360962,simple
53,25_09_10_cell4_3_Eapp,halo,3,212,9,90.0,0.19709999859333038,0.01640000008046627,0.0908999964594841,simple
54,25_09_10_cell4_3_Eapp,halo,3,212,10,100.0,0.1753000020980835,-0.005400000140070915,-0.02969999983906746,simple
55,25_09_10_cell4_3_Eapp,halo,3,212,11,110.0,0.22709999978542328,0.04639999940991402,0.25699999928474426,simple
56,25_09_10_cell4_3_Eapp,halo,3,212,12,120.0,0.26739999651908875,0.08669999986886978,0.4799000024795532,simple
57,25_09_10_cell4_3_Eapp,halo,3,212,13,130.0,0.24619999527931213,0.06549999862909317,0.3625999987125397,simple
58,25_09_10_cell4_3_Eapp,halo,3,212,14,140.0,0.25450000166893005,0.0737999975681305,0.4083999991416931,simple
59,25_09_10_cell4_3_Eapp,halo,3,212,15,150.0,0.2159000039100647,0.03519999980926514,0.19509999454021454,simple
60,25_09_10_cell4_3_Eapp,halo,3,212,16,160.0,0.2484000027179718,0.06780000030994415,0.3750999867916107,simple
61,25_09_10_cell4_3_Eapp,halo,3,212,17,170.0,0.21690000593662262,0.03620000183582306,0.2003999948501587,simple
62,25_09_10_cell4_3_Eapp,halo,3,212,18,180.0,0.22599999606609344,0.04540000110864639,0.25110000371932983,simple
63,25_09_10_cell4_3_Eapp,halo,3,212,19,190.0,0.22779999673366547,0.047200001776218414,0.26100000739097595,simple
64,25_09_10_cell4_3_Eapp,halo,3,212,20,200.0,0.2502000033855438,0.06949999928474426,0.3847000002861023,simple
65,25_09_10_cell4_3_Eapp,halo,3,212,22,210.0,0.24560000002384186,0.0649000033736229,0.35910001397132874,simple
66,25_09_10_cell4_3_Eapp,halo,4,103,0,0.0,0.12880000472068787,-0.04600000008940697,-0.2630000114440918,simple
67,25_09_10_cell4_3_Eapp,halo,4,103,1,10.0,0.17270000278949738,-0.0020000000949949026,-0.01140000019222498,simple
68,25_09_10_cell4_3_Eapp,halo,4,103,2,20.0,0.18230000138282776,0.007499999832361937,0.04309999942779541,simple
69,25_09_10_cell4_3_Eapp,halo,4,103,3,30.0,0.2152000069618225,0.04039999842643738,0.2313999980688095,simple
70,25_09_10_cell4_3_Eapp,halo,4,103,4,40.0,0.17430000007152557,-0.00039999998989515007,-0.002400000113993883,simple
71,25_09_10_cell4_3_Eapp,halo,4,103,5,50.0,0.19329999387264252,0.01850000023841858,0.10610000044107437,simple
72,25_09_10_cell4_3_Eapp,halo,4,103,6,60.0,0.1543000042438507,-0.020400000736117363,-0.11670000106096268,simple
