,id,lab_id,roi,index,time,abs_int,dF_int,dF/F0_int,base
0,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_3_algn_ch3_up-labels,1,0,0.0,137.74070739746094,0.0,0.0,simple
1,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_3_algn_ch3_up-labels,1,1,1.0,137.0740966796875,-0.666700005531311,-0.004800000227987766,simple
2,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_3_algn_ch3_up-labels,1,2,2.0,138.3332977294922,0.5925999879837036,0.00430000014603138,simple
3,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_3_algn_ch3_up-labels,1,3,3.0,134.25929260253906,-3.4814999103546143,-0.025299999862909317,simple
4,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_3_algn_ch3_up-labels,1,4,4.0,129.03700256347656,-8.703700065612793,-0.06319999694824219,simple
5,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_3_algn_ch3_up-labels,1,5,5.0,134.44439697265625,-3.296299934387207,-0.023900000378489494,simple
6,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_3_algn_ch3_up-labels,1,6,6.0,133.74070739746094,-4.0,-0.028999999165534973,simple
7,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_3_algn_ch3_up-labels,1,7,7.0,125.51850128173828,-12.222200393676758,-0.08869999647140503,simple
8,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_3_algn_ch3_up-labels,1,8,8.0,127.33329772949219,-10.407400131225586,-0.07559999823570251,simple
9,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_3_algn_ch3_up-labels,1,9,9.0,126.2593002319336,-11.481499671936035,-0.08340000361204147,simple
10,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_3_algn_ch3_up-labels,1,10,10.0,127.40740203857422,-10.33329963684082,-0.07500000298023224,simple
11,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_3_algn_ch3_up-labels,1,11,11.0,124.51850128173828,-13.222200393676758,-0.09600000083446503,simple
12,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_3_algn_ch3_up-labels,1,12,12.0,121.03700256347656,-16.703699111938477,-0.12129999697208405,simple
13,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_3_algn_ch3_up-labels,1,13,13.0,116.85179901123047,-20.888900756835938,-0.1517000049352646,simple
