group,day,num,int,cluster,soma
TBI,3d,7,48828433,5466,68
TBI,3d,10,4738542,371,53
TBI,3d,5,12656999,950,62
TBI,3d,3,15224151,681,61
TBI,3d,12,37242617,4256,54
TBI,3d,15,68793751,6223,56
TBI,3d,2,58696742,4401,51
TBI,3d,11,8818880,430,60
TBI,3d,1,113079861,2490,64
TBI,3d,14,54987165,4631,71
TBI,3d,9,7187157,431,56
TBI,3d,6,48281498,5027,51
TBI,3d,13,50430656,7337,53
TBI,3d,8,5575050,437,57
TBI,3d,4,14929518,1103,53
TBI,14d,2,21461975,1452,59
TBI,14d,1,22887679,1573,71
TBI,14d,3,49676305,3549,58
TBI,14d,6,39049283,2883,70
TBI,14d,14,4280726,668,53
TBI,14d,15,7326311,998,74
TBI,14d,7,30717365,1611,66
TBI,14d,13,10683620,697,48
TBI,14d,10,28400246,1530,62
TBI,14d,11,13403441,941,57
TBI,14d,5,20922622,1391,62
TBI,14d,12,1114763,82,42
TBI,14d,4,28895693,1500,79
TBI,14d,8,30810104,1535,75
TBI,14d,9,33193476,1906,67
TBI,7d,13,4456818,343,56
TBI,7d,2,4321259,305,52
TBI,7d,15,12539927,784,75
TBI,7d,8,13012581,812,64
TBI,7d,3,22571734,485,37
TBI,7d,4,9644835,625,52
TBI,7d,5,6933015,461,55
TBI,7d,1,1992273,147,44
TBI,7d,7,7368594,495,56
TBI,7d,6,8631750,592,57
TBI,7d,14,11904892,843,68
TBI,7d,10,3387905,240,52
TBI,7d,9,38428455,1672,56
TBI,7d,11,12463716,824,60
TBI,7d,12,6150556,427,54
cef,3d,9,5589815,205,47
cef,3d,7,32001292,588,44
cef,3d,2,9446620,457,58
cef,3d,14,4660281,295,65
cef,3d,15,7126707,385,60
cef,3d,12,7816004,401,61
cef,3d,8,27060226,934,58
cef,3d,3,7096039,383,54
cef,3d,4,3046553,144,40
cef,3d,6,18083897,699,59
cef,3d,1,2993291,180,61
cef,3d,10,31315286,1263,65
cef,3d,5,6234145,241,55
cef,3d,13,8639308,539,64
cef,3d,11,8067780,402,58
cef,14d,1,19636194,1038,82
cef,14d,11,9655977,470,64
cef,14d,6,15744255,1301,82
cef, 14d,10,9065296,1674,70
cef,14d,12,31540898,1271,61
cef,14d,5,15908405,1176,91
cef,14d,7,20885073,1766,66
cef,14d,8,25092031,1957,70
cef,14d,4,13803925,1034,72
cef,14d,13,27370733,1180,61
cef,14d,15,28126737,1166,62
cef,14d,2,54824110,3909,82
cef,14d,9,1536914,283,69
cef,14d,3,23654394,1769,67
cef,14d,14,34153445,1495,67
cef,7d,11,8606272,744,59
cef,7d,6,4805880,433,58
cef,7d,8,3318506,300,48
cef,7d,2,8638544,650,54
cef,7d,15,6349077,419,70
cef,7d,7,3619900,297,59
cef,7d,12,6920811,463,52
cef,7d,10,7825682,678,68
cef,7d,1,4031339,331,39
cef,7d,3,7798893,570,56
cef, 7d,5,10680753,986,51
cef,7d,4,6516815,557,56
cef,7d,14,15077105,1092,57
cef,7d,9,5703186,537,61
cef,7d,13,9570458,631,61
