group;dots_area;layer_area;relative_area;dots_intensity;layer_intensity;relative_intensity
Cont;31935;92387;0,345665516;21618553;56132310;0,385135638
Cont;35558;94999;0,374298677;34737053;82616770;0,420460071
Cont;30101;79173;0,380192742;27603066;65544772;0,421132993
Cont;31397;93432;0,336041185;27056474;71091684;0,380585639
Cont;29002;82365;0,352115583;20075819;51599021;0,389073642
Cont;28867;89663;0,321949968;27779062;76217812;0,364469423
Cont;37060;100780;0,367731693;33612520;83198868;0,404002131
Cont;41152;98338;0,418475055;38624326;83553822;0,462268812
Cont;38788;102866;0,377073085;37111379;87177143;0,425700794
Cont;33206;88394;0,375658981;26412043;62705794;0,421205782
Cont;36939;97774;0,377799824;29066348;68699188;0,423095947
Cont;32934;82330;0,400024292;29718223;66150654;0,44925063
Cont;28942;83150;0,348069753;28939965;73818885;0,392040126
Cont;39339;95793;0,41066675;38956554;86064702;0,452642641
Cont;34543;92216;0,374587924;32073484;77470749;0,414007666
Cont;30152;92466;0,326087427;29650222;78113513;0,379578652
Cont;42036;88675;0,474045672;38928030;74818142;0,520302014
Cont;29170;90237;0,32325986;27010662;71967130;0,375319427
Cont;25129;92382;0,272011864;26699944;84749991;0,31504362
Cont;28471;92389;0,308164392;22934399;64778167;0,354045199
Cont;27576;91412;0,301667177;28127736;80802586;0,348104403
Cont;26930;91993;0,292739665;21179432;61550532;0,344098277
Cont_cef;189831;472886;0,401430789;145928122;307280721;0,474901652
Cont_cef;202042;475834;0,42460606;167643041;336428931;0,4983015
Cont_cef;201351;491962;0,409281611;133265472;271095524;0,491581233
Cont_cef;188483;461467;0,408443074;142709087;293766885;0,485790245
Cont_cef;220287;511890;0,430340503;192330549;383176728;0,501936926
Cont_cef;173749;416212;0,417453125;153882271;311959227;0,49327687
Cont_cef;185396;480301;0,385999613;156011608;332314665;0,469469525
Cont_cef;203646;483525;0,421169536;179369559;357034681;0,502386935
Cont_cef;184873;461830;0,400305307;165126502;342907887;0,481547693
Cont_cef;215594;508875;0,423667895;183629262;359847280;0,510297763
Cont_cef;192826;476488;0,404681755;161992782;331847510;0,488154279
Cont_cef;213606;514093;0,415500697;195924172;399498584;0,490425198
Cont_cef;65482;150532;0,435003853;48377982;88489647;0,54670782
Cont_cef;215855;525486;0,410772123;178745762;364055917;0,490984362
Cont_cef;49355;155635;0,317120185;29866803;69533447;0,42953146
Cont_cef;149939;429119;0,349411236;106938696;236009225;0,453112356
Cont_cef;109446;287232;0,381036932;85979041;181349365;0,474107207
Cont_cef;211093;528683;0,399280855;176613582;370720761;0,476405965
Cont_cef;188684;425159;0,443796321;138637364;264973207;0,523212764
Cont_cef;176115;477330;0,368958582;133351058;299403107;0,445389693
Cont_cef;189387;515329;0,367506971;146165133;323793693;0,451414392
Cont_cef;212888;514345;0,413901175;201061348;411107985;0,489071863
TBI_3D;6001;194855;0,03079726;7542718;139057755;0,054241621
TBI_3D;12413;190439;0,065180977;15217009;153069263;0,099412571
TBI_3D;12559;197775;0,063501454;14529811;151507720;0,095901456
TBI_3D;22819;185601;0,122946536;25282760;154585032;0,163552445
TBI_3D;24536;206604;0,118758591;27563599;174564028;0,15789965
TBI_3D;14696;179189;0,082013963;16647317;142292302;0,116993799
TBI_3D;15470;179184;0,086335834;17024549;139540364;0,122004476
TBI_3D;14058;205716;0,068336931;17984626;177329213;0,10141942
TBI_3D;13417;184126;0,072868579;16986885;157745307;0,107685517
TBI_3D;12883;199679;0,064518552;21547216;210218549;0,102499119
TBI_3D;6494;182674;0,035549668;9200978;138321771;0,066518654
TBI_3D;21869;188625;0,115939032;27858517;179887552;0,154866286
TBI_3D;18836;172520;0,109181544;24230280;161104303;0,150401197
TBI_3D;10851;178462;0,06080286;10710710;113028296;0,094761315
TBI_3D;12868;194186;0,066266363;12686659;126986968;0,099905204
TBI_3D;11249;182042;0,061793432;10542701;110153760;0,095708953
TBI_3D;6574;181676;0,036185297;8548146;128754471;0,066391061
TBI_3D;8009;201217;0,0398028;10126726;143477286;0,070580691
TBI_3D;5066;173590;0,029183709;6792977;114686311;0,059230931
TBI_3D;4446;170418;0,026088793;6082611;109848543;0,055372705
TBI_3D;9221;195288;0,047217443;10484463;129930509;0,080692849
TBI_3D;7105;181586;0,039127466;6074957;93661176;0,064860994
TBI_3D;5669;172187;0,032923508;4676199;83484734;0,056012624
TBI_3D;5517;144148;0,038273164;5069958;77937721;0,065051402
TBI_3D;7257;169912;0,042710344;5993478;87142126;0,068778193
TBI_3D;19536;407447;0,04794734;11785469;162182502;0,072667944
TBI_3D;4316;187154;0,023061222;5557210;120985541;0,045932844
TBI_3D;4158;181007;0,022971487;5767983;123618631;0,046659496
TBI_3D;2172;183319;0,011848199;3624454;113996057;0,031794556
TBI_3D;2328;195292;0,011920611;3355564;107770599;0,031136173
TBI_3D;7268;197207;0,036854676;6048374;104001218;0,058156761
TBI_3D;28312;410516;0,068966861;23918464;217826052;0,109805341
