id,name,group,treat,cell_num,cell_area,dot_num,dot_area,dot_rel_area,dot_sum_int,dot_mean_int,dot_men_int_per_dot,dot_mean_int_dens
0,CONT_GFAP_GLT1_1_target,cont,non,1,672,11,222,"0,33",78780,354,7161,322
1,CONT_GFAP_GLT1_1_target,cont,non,2,1398,21,326,"0,233",126245,387,6011,361
2,CONT_GFAP_GLT1_1_target,cont,non,3,845,16,205,"0,243",92124,449,5757,403
3,CONT_GFAP_GLT1_1_target,cont,non,4,919,11,321,"0,349",134452,418,12222,360
4,CONT_GFAP_GLT1_1_target,cont,non,5,849,11,290,"0,342",121957,420,11087,405
5,CONT_GFAP_GLT1_1_target,cont,non,6,1724,19,508,"0,295",267181,525,14062,462
6,CONT_GFAP_GLT1_1_target,cont,non,7,1175,13,337,"0,287",160138,475,12318,445
7,CONT_GFAP_GLT1_1_target,cont,non,8,931,7,269,"0,289",103733,385,14819,423
8,CONT_GFAP_GLT1_1_target,cont,non,9,3784,33,1249,"0,33",573123,458,17367,395
9,CONT_GFAP_GLT1_1_target,cont,non,10,2232,35,681,"0,305",212617,312,6074,303
10,CONT_GFAP_GLT1_1_target,cont,non,11,3552,39,845,"0,238",297480,352,7627,329
11,CONT_GFAP_GLT1_1_target,cont,non,12,692,8,181,"0,262",69291,382,8661,348
12,CONT_GFAP_GLT1_1_target,cont,non,13,1279,10,151,"0,118",22831,151,2283,158
13,CONT_GFAP_GLT1_1_target,cont,non,14,576,3,179,"0,311",76845,429,25615,371
14,CONT_GFAP_GLT1_1_target,cont,non,15,811,7,109,"0,134",48240,442,6891,511
15,CONT_GFAP_GLT1_1_target,cont,non,16,762,8,308,"0,404",100498,326,12562,312
16,CONT_GFAP_GLT1_1_target,cont,non,17,2822,21,1044,"0,37",451243,432,21487,390
17,CONT_GFAP_GLT1_1_target,cont,non,18,696,7,171,"0,246",50926,297,7275,261
18,CONT_GFAP_GLT1_1_target,cont,non,19,1212,16,477,"0,394",173263,363,10828,282
19,CONT_GFAP_GLT1_1_target,cont,non,20,1006,7,356,"0,354",143226,402,20460,382
20,CONT_GFAP_GLT1_1_target,cont,non,21,725,11,258,"0,356",108637,421,9876,372
21,CONT_GFAP_GLT1_1_target,cont,non,22,6236,57,1371,"0,22",549153,400,9634,454
22,CONT_GFAP_GLT1_1_target,cont,non,23,2881,41,715,"0,248",286652,400,6991,333
23,CONT_GFAP_GLT1_1_target,cont,non,24,1184,13,437,"0,369",174083,398,13391,373
24,CONT_GFAP_GLT1_1_target,cont,non,25,2501,34,738,"0,295",300965,407,8851,359
25,CONT_GFAP_GLT1_1_target,cont,non,26,4233,46,909,"0,215",415687,457,9036,441
26,CONT_GFAP_GLT1_1_target,cont,non,27,1434,17,393,"0,274",124235,316,7307,289
27,CONT_GFAP_GLT1_1_target,cont,non,28,1028,13,172,"0,167",42418,246,3262,233
28,CONT_GFAP_GLT1_1_target,cont,non,29,1513,20,346,"0,229",114777,331,5738,306
29,CONT_GFAP_GLT1_1_target,cont,non,30,775,7,91,"0,117",116048,1275,16578,896
30,CONT_GFAP_GLT1_1_target,cont,non,31,2213,23,383,"0,173",186430,486,8105,528
31,CONT_GFAP_GLT1_1_target,cont,non,32,558,4,190,"0,341",62127,326,15531,288
32,CONT_GFAP_GLT1_1_target,cont,non,33,1301,11,477,"0,367",265101,555,24100,407
33,CONT_GFAP_GLT1_1_target,cont,non,34,3651,38,1033,"0,283",404321,391,10640,359
34,CONT_GFAP_GLT1_1_target,cont,non,35,1607,23,612,"0,381",226974,370,9868,323
35,CONT_GFAP_GLT1_1_target,cont,non,36,985,18,258,"0,262",101296,392,5627,322
36,CONT_GFAP_GLT1_1_target,cont,non,37,4506,54,1159,"0,257",342164,295,6336,269
37,CONT_GFAP_GLT1_1_target,cont,non,38,2036,16,282,"0,139",157674,559,9854,745
38,CONT_GFAP_GLT1_1_target,cont,non,39,555,5,195,"0,351",95999,492,19199,398
39,CONT_GFAP_GLT1_1_target,cont,non,40,2784,20,258,"0,093",211273,818,10563,997
40,CONT_GFAP_GLT1_1_target,cont,non,41,901,13,297,"0,33",117974,397,9074,384
41,CONT_GFAP_GLT1_1_target,cont,non,42,732,7,207,"0,283",99765,481,14252,485
42,CONT_GFAP_GLT1_1_target,cont,non,43,3017,24,709,"0,235",336125,474,14005,456
43,CONT_GFAP_GLT1_1_target,cont,non,44,3860,27,1007,"0,261",536332,532,19864,601
44,CONT_GFAP_GLT1_1_target,cont,non,45,806,7,262,"0,325",133114,508,19016,474
45,CONT_GFAP_GLT1_1_target,cont,non,46,741,8,310,"0,418",143094,461,17886,396
46,CONT_GFAP_GLT1_1_target,cont,non,47,3747,50,764,"0,204",447392,585,8947,519
47,CONT_GFAP_GLT1_1_target,cont,non,48,2988,32,650,"0,218",267814,412,8369,374
48,CONT_GFAP_GLT1_1_target,cont,non,49,1734,19,228,"0,131",279175,1224,14693,758
49,CONT_GFAP_GLT1_1_target,cont,non,50,1939,17,333,"0,172",220246,661,12955,609
50,CONT_GFAP_GLT1_1_target,cont,non,51,2915,25,449,"0,154",331589,738,13263,591
51,CONT_GFAP_GLT1_1_target,cont,non,52,1016,7,136,"0,134",175124,1287,25017,1021
52,CONT_GFAP_GLT1_1_target,cont,non,53,2539,18,610,"0,24",278953,457,15497,539
53,CONT_GFAP_GLT1_1_target,cont,non,54,1053,17,289,"0,274",112255,388,6603,353
54,CONT_GFAP_GLT1_1_target,cont,non,55,1278,13,403,"0,315",165198,409,12707,294
55,CONT_GFAP_GLT1_1_target,cont,non,56,1689,11,253,"0,15",311504,1231,28318,970
56,CONT_GFAP_GLT1_1_target,cont,non,57,624,3,98,"0,157",81650,833,27216,695
57,CONT_GFAP_GLT1_1_target,cont,non,58,1208,19,303,"0,251",114800,378,6042,341
58,CONT_GFAP_GLT1_1_target,cont,non,59,4380,31,715,"0,163",634020,886,20452,798
59,CONT_GFAP_GLT1_1_target,cont,non,60,1012,10,297,"0,293",97198,327,9719,278
60,CONT_GFAP_GLT1_1_target,cont,non,61,580,6,168,"0,29",32493,193,5415,174
61,CONT_GFAP_GLT1_1_target,cont,non,62,5238,57,1332,"0,254",658125,494,11546,478
62,CONT_GFAP_GLT1_1_target,cont,non,63,705,9,125,"0,177",43045,344,4782,348
63,CONT_GFAP_GLT1_1_target,cont,non,64,2804,28,846,"0,302",476892,563,17031,570
64,CONT_GFAP_GLT1_1_target,cont,non,65,4084,35,678,"0,166",623144,919,17804,948
65,CONT_GFAP_GLT1_1_target,cont,non,66,1149,13,273,"0,238",77098,282,5930,330
66,CONT_GFAP_GLT1_1_target,cont,non,67,1027,8,225,"0,219",72644,322,9080,299
67,CONT_GFAP_GLT1_1_target,cont,non,68,4027,39,703,"0,175",401596,571,10297,533
68,CONT_GFAP_GLT1_1_target,cont,non,69,1514,17,312,"0,206",138189,442,8128,398
69,CONT_GFAP_GLT1_1_target,cont,non,70,569,5,150,"0,264",30633,204,6126,188
70,CONT_GFAP_GLT1_1_target,cont,non,71,2360,22,641,"0,272",175429,273,7974,230
71,CONT_GFAP_GLT1_1_target,cont,non,72,2419,16,298,"0,123",441673,1482,27604,1215
72,CONT_GFAP_GLT1_1_target,cont,non,73,1871,22,501,"0,268",123754,247,5625,231
73,CONT_GFAP_GLT1_1_target,cont,non,74,741,7,288,"0,389",104296,362,14899,313
74,CONT_GFAP_GLT1_1_target,cont,non,75,1783,23,431,"0,242",126096,292,5482,269
75,CONT_GFAP_GLT1_1_target,cont,non,76,1496,7,552,"0,369",227586,412,32512,286
0,CONT_GFAP_GLT1_2_target,cont,non,1,1808,20,564,"0,312",276144,489,13807,423
1,CONT_GFAP_GLT1_2_target,cont,non,2,1039,23,306,"0,295",197201,644,8573,644
2,CONT_GFAP_GLT1_2_target,cont,non,3,2827,43,807,"0,285",454484,563,10569,554
3,CONT_GFAP_GLT1_2_target,cont,non,4,1890,20,622,"0,329",375432,603,18771,555
4,CONT_GFAP_GLT1_2_target,cont,non,5,1534,19,499,"0,325",161840,324,8517,261
