"","cell","power","stimul","frame","time","mask","int","delta","rel"
"1","cell8_02_22_01",50,20,1,-19,"cell",498.688,0.00601180654978453,498.688
"2","cell8_02_22_01",50,20,1,-19,"up",484.763,0.0216863579707524,0.972076729337782
"3","cell8_02_22_01",50,20,1,-19,"down",492.574,0.00557156062491628,0.987739829312115
"4","cell8_02_22_01",50,20,2,-18,"cell",495.67,-7.6456316310545e-05,495.67
"5","cell8_02_22_01",50,20,2,-18,"up",477.306,0.00596998693709703,0.962951157019791
"6","cell8_02_22_01",50,20,2,-18,"down",490.548,0.00143555673143816,0.989666511993867
"7","cell8_02_22_01",50,20,3,-17,"cell",492.722,-0.00602350698869248,492.722
"8","cell8_02_22_01",50,20,3,-17,"up",469.094,-0.0113376218772221,0.952045981303859
"9","cell8_02_22_01",50,20,3,-17,"down",487.021,-0.00576468301796815,0.988429580980756
"10","cell8_02_22_01",50,20,4,-16,"cell",496.518,0.00163422854467302,496.518
"11","cell8_02_22_01",50,20,4,-16,"up",476.184,0.00360526006305107,0.959046801928631
"12","cell8_02_22_01",50,20,4,-16,"down",492.023,0.00444671455122113,0.990946954591777
"13","cell8_02_22_01",50,20,5,-15,"cell",495.748,8.08944138270512e-05,495.748
"14","cell8_02_22_01",50,20,5,-15,"up",468.861,-0.011828692609533,0.945764783720761
"15","cell8_02_22_01",50,20,5,-15,"down",492.09,0.00458349256744168,0.99262125111952
"16","cell8_02_22_01",50,20,6,-14,"cell",498.301,0.00523110485025543,498.301
"17","cell8_02_22_01",50,20,6,-14,"up",479.302,0.0101767559572361,0.961872442559818
"18","cell8_02_22_01",50,20,6,-14,"down",492.719,0.00586757274957287,0.988797935384436
"19","cell8_02_22_01",50,20,7,-13,"cell",495.501,-0.000417382898275528,495.501
"20","cell8_02_22_01",50,20,7,-13,"up",468.58,-0.0124209281278992,0.945669130839292
"21","cell8_02_22_01",50,20,7,-13,"down",488.567,-0.00260858133024994,0.986006082732426
"22","cell8_02_22_01",50,20,8,-12,"cell",493.671,-0.00410907310535107,493.671
"23","cell8_02_22_01",50,20,8,-12,"up",473.265,-0.00254682348894581,0.958664778769666
"24","cell8_02_22_01",50,20,8,-12,"down",486.995,-0.0058177610541135,0.986476823633553
"25","cell8_02_22_01",50,20,9,-11,"cell",497.124,0.00285672267881947,497.124
"26","cell8_02_22_01",50,20,9,-11,"up",474.469,-9.27343872169764e-06,0.954427869103081
"27","cell8_02_22_01",50,20,9,-11,"down",491.96,0.00431810238671505,0.989612249660044
"28","cell8_02_22_01",50,20,10,-10,"cell",493.136,-0.00518833772873103,493.136
"29","cell8_02_22_01",50,20,10,-10,"up",472.91,-0.00329502138581414,0.958984945329483
"30","cell8_02_22_01",50,20,10,-10,"down",483.951,-0.0120319742089739,0.981374306479349
"31","cell8_02_22_01",50,20,11,-9,"cell",492.185,-0.00710680624617854,492.185
"32","cell8_02_22_01",50,20,11,-9,"up",476.98,0.00528290943180387,0.969107144671211
"33","cell8_02_22_01",50,20,11,-9,"down",484.244,-0.0114338255708747,0.983865822810529
"34","cell8_02_22_01",50,20,12,-8,"cell",498.328,0.00528557241068767,498.328
"35","cell8_02_22_01",50,20,12,-8,"up",483.376,0.0187631171736919,0.96999566550545
"36","cell8_02_22_01",50,20,12,-8,"down",490.588,0.00151721524858486,0.984468061196642
"37","cell8_02_22_01",50,20,13,-7,"cell",498.607,0.00584840386848782,498.607
"38","cell8_02_22_01",50,20,13,-7,"up",489.11,0.0308480939078988,0.980952934876566
"39","cell8_02_22_01",50,20,13,-7,"down",491.462,0.00330145384823921,0.98567007683406
"40","cell8_02_22_01",50,20,14,-6,"cell",495.107,-0.00121220581717585,495.107
"41","cell8_02_22_01",50,20,14,-6,"up",478.212,0.00787947227389358,0.965876063154025
"42","cell8_02_22_01",50,20,14,-6,"down",487.76,-0.00425604191368374,0.985160783426613
"43","cell8_02_22_01",50,20,15,-5,"cell",497.853,0.00432734681049053,497.853
"44","cell8_02_22_01",50,20,15,-5,"up",482.78,0.0175069877468368,0.969723994833816
"45","cell8_02_22_01",50,20,15,-5,"down",490.538,0.00141514210215152,0.985306907862361
"46","cell8_02_22_01",50,20,16,-4,"cell",494.288,-0.00286438848362118,494.288
"47","cell8_02_22_01",50,20,16,-4,"up",445.853,-0.0603203467254433,0.902010568737254
"48","cell8_02_22_01",50,20,16,-4,"down",495.742,0.0120389151829314,1.00294160489431
"49","cell8_02_22_01",50,20,17,-3,"cell",494.22,-0.00300156604322833,494.22
"50","cell8_02_22_01",50,20,17,-3,"up",460.996,-0.0284049643246597,0.932774877584881
"51","cell8_02_22_01",50,20,17,-3,"down",494.906,0.0103322521745663,1.00138804580956
"52","cell8_02_22_01",50,20,18,-2,"cell",495.618,-0.000181356803069019,495.618
"53","cell8_02_22_01",50,20,18,-2,"up",446.024,-0.0599599471751208,0.899935030608251
"54","cell8_02_22_01",50,20,18,-2,"down",496.393,0.0133679075494931,1.00156370430452
"55","cell8_02_22_01",50,20,19,-1,"cell",493.707,-0.00403644969144139,493.707
"56","cell8_02_22_01",50,20,19,-1,"up",446.024,-0.0599599471751208,0.90341842428809
"57","cell8_02_22_01",50,20,19,-1,"down",491.551,0.00348314404889052,0.995633037408827
"58","cell8_02_22_01",50,20,20,0,"cell",469.032,-0.0538137479753703,469.032
"59","cell8_02_22_01",50,20,20,0,"up",481.959,0.0157766483853469,1.02756101929079
"60","cell8_02_22_01",50,20,20,0,"down",442.459,-0.0967363540451997,0.943345016971123
"61","cell8_02_22_01",50,20,21,1,"cell",459.18,-0.073688355581987,459.18
"62","cell8_02_22_01",50,20,21,1,"up",512.6,0.0803556110837827,1.11633781959145
"63","cell8_02_22_01",50,20,21,1,"down",425.551,-0.131253409243091,0.926762925214513
"64","cell8_02_22_01",50,20,22,2,"cell",456.117,-0.0798673977154692,456.117
"65","cell8_02_22_01",50,20,22,2,"up",494.629,0.0424799367045656,1.08443447624184
"66","cell8_02_22_01",50,20,22,2,"down",425.214,-0.131941382250051,0.932247646985313
"67","cell8_02_22_01",50,20,23,3,"cell",453.956,-0.0842268198671032,453.956
"68","cell8_02_22_01",50,20,23,3,"up",495.878,0.0451123287417166,1.09234815709011
"69","cell8_02_22_01",50,20,23,3,"down",420.945,-0.140656387492528,0.927281498647446
"70","cell8_02_22_01",50,20,24,4,"cell",456.078,-0.0799460730805381,456.078
"71","cell8_02_22_01",50,20,24,4,"up",501.645,0.0572668562663366,1.09991054161788
"72","cell8_02_22_01",50,20,24,4,"down",423.078,-0.136301947065683,0.927643955639167
"73","cell8_02_22_01",50,20,25,5,"cell",457.299,-0.077482928958768,457.299
"74","cell8_02_22_01",50,20,25,5,"up",505.053,0.0644495560762733,1.1044262069237
"75","cell8_02_22_01",50,20,25,5,"down",426.653,-0.129003717095701,0.932984764891242
"76","cell8_02_22_01",50,20,26,6,"cell",456.315,-0.079467968938966,456.315
"77","cell8_02_22_01",50,20,26,6,"up",476.004,0.00322589211534314,1.04314782551527
"78","cell8_02_22_01",50,20,26,6,"down",429.485,-0.123222294081717,0.941202897121506
"79","cell8_02_22_01",50,20,27,7,"cell",456.459,-0.0791774752833272,456.459
"80","cell8_02_22_01",50,20,27,7,"up",482.686,0.0173088733741449,1.05745751535187
"81","cell8_02_22_01",50,20,27,7,"down",426.497,-0.129322185312572,0.934359931560118
"82","cell8_02_22_01",50,20,28,8,"cell",458.301,-0.0754615772716151,458.301
"83","cell8_02_22_01",50,20,28,8,"up",477.808,0.00702800199126025,1.0425637299504
"84","cell8_02_22_01",50,20,28,8,"down",431.596,-0.118912765839303,0.941730434801582
"85","cell8_02_22_01",50,20,29,9,"cell",458.75,-0.0745558019147971,458.75
"86","cell8_02_22_01",50,20,29,9,"up",482.167,0.0162150291249204,1.05104523160763
"87","cell8_02_22_01",50,20,29,9,"down",430.49,-0.121170623838408,0.938397820163488
"88","cell8_02_22_01",50,20,30,10,"cell",458.178,-0.0757097072691399,458.178
"89","cell8_02_22_01",50,20,30,10,"up",470.935,-0.00745753081205388,1.02784289075425
"90","cell8_02_22_01",50,20,30,10,"down",433.191,-0.11565663246808,0.945464426489268
"91","cell8_02_22_01",50,20,31,11,"cell",459.29,-0.0734664507061518,459.29
"92","cell8_02_22_01",50,20,31,11,"up",483.976,0.0200276769993851,1.05374817653334
"93","cell8_02_22_01",50,20,31,11,"down",430.907,-0.120319333797154,0.938202442900999
"94","cell8_02_22_01",50,20,32,12,"cell",459.07,-0.0739102604578221,459.07
"95","cell8_02_22_01",50,20,32,12,"up",469.657,-0.0101510432407802,1.02306184242055
"96","cell8_02_22_01",50,20,32,12,"down",432.901,-0.116248656717393,0.942995621582765
"97","cell8_02_22_01",50,20,33,13,"cell",458.91,-0.0742330311863096,458.91
"98","cell8_02_22_01",50,20,33,13,"up",479.041,0.00962667243305953,1.04386698916999
"99","cell8_02_22_01",50,20,33,13,"down",432.71,-0.116638576136768,0.942908195506744
"100","cell8_02_22_01",50,20,34,14,"cell",459.113,-0.0738235158245411,459.113
"101","cell8_02_22_01",50,20,34,14,"up",490.224,0.0331959599842689,1.06776327396523
"102","cell8_02_22_01",50,20,34,14,"down",431.379,-0.119355763294823,0.939592213681599
"103","cell8_02_22_01",50,20,35,15,"cell",459.993,-0.07204827681786,459.993
"104","cell8_02_22_01",50,20,35,15,"up",475.143,0.00141124876547348,1.0329352837978
"105","cell8_02_22_01",50,20,35,15,"down",432.358,-0.117357171087659,0.939922998828243
"106","cell8_02_22_01",50,20,36,16,"cell",460.196,-0.0716387614560914,460.196
"107","cell8_02_22_01",50,20,36,16,"up",480.008,0.0116647213521348,1.04305122165338
"108","cell8_02_22_01",50,20,36,16,"down",433.509,-0.115007447256764,0.942009491607924
"109","cell8_02_22_01",50,20,37,17,"cell",460.491,-0.0710436529254427,460.491
"110","cell8_02_22_01",50,20,37,17,"up",485.31,0.0228392150118427,1.05389681883034
"111","cell8_02_22_01",50,20,37,17,"down",432.397,-0.117277554033441,0.938991207211433
"112","cell8_02_22_01",50,20,38,18,"cell",460.297,-0.0714350124337337,460.297
"113","cell8_02_22_01",50,20,38,18,"up",479.355,0.0102884587418389,1.04140370239215
"114","cell8_02_22_01",50,20,38,18,"down",432.88,-0.116291527438895,0.940436283529982
"115","cell8_02_22_01",50,20,39,19,"cell",458.647,-0.0747635855712609,458.647
"116","cell8_02_22_01",50,20,39,19,"up",476.873,0.00505739626288854,1.03973862251361
"117","cell8_02_22_01",50,20,39,19,"down",431.514,-0.119080165799453,0.940841213395051
"118","cell8_02_22_01",50,20,40,20,"cell",454.847,-0.0824293903728387,454.847
"119","cell8_02_22_01",50,20,40,20,"up",455.649,-0.0396742999712944,1.00176323027304
"120","cell8_02_22_01",50,20,40,20,"down",429.043,-0.124124620696188,0.94326883545456
"121","cell8_02_22_01",50,20,41,21,"cell",462.761,-0.0664643432150265,462.761
"122","cell8_02_22_01",50,20,41,21,"up",487.943,0.0283885250469257,1.05441685881049
"123","cell8_02_22_01",50,20,41,21,"down",434.175,-0.113647832946272,0.938227292273982
"124","cell8_02_22_01",50,20,42,22,"cell",461.275,-0.0694620763558541,461.275
"125","cell8_02_22_01",50,20,42,22,"up",483.061,0.0180992232652031,1.04722996043575
"126","cell8_02_22_01",50,20,42,22,"down",434.03,-0.113943845070929,0.940935450653081
"127","cell8_02_22_01",50,20,43,23,"cell",461.492,-0.0690243185553428,461.492
"128","cell8_02_22_01",50,20,43,23,"up",486.445,0.0252313406821121,1.05407027640782
"129","cell8_02_22_01",50,20,43,23,"down",433.441,-0.115146266735913,0.939216714482591
"130","cell8_02_22_01",50,20,44,24,"cell",461.039,-0.0699381631803731,461.039
"131","cell8_02_22_01",50,20,44,24,"up",474.939,0.000981298424737934,1.03014929322682
"132","cell8_02_22_01",50,20,44,24,"down",436.425,-0.109054541356773,0.946611891835615
"133","cell8_02_22_01",50,20,45,25,"cell",459.11,-0.0738295677757002,459.11
"134","cell8_02_22_01",50,20,45,25,"up",482.2,0.0162845799153335,1.05029295811461
"135","cell8_02_22_01",50,20,45,25,"down",432.212,-0.117655224675244,0.941412733331881
"136","cell8_02_22_01",50,20,46,26,"cell",458.645,-0.074767620205367,458.645
"137","cell8_02_22_01",50,20,46,26,"up",470.327,-0.00873895143542287,1.02547067993764
"138","cell8_02_22_01",50,20,46,26,"down",435.748,-0.11043661175948,0.950076856828266
"139","cell8_02_22_01",50,20,47,27,"cell",461.727,-0.0685502490478769,461.727
