"","cell","stimul","frame","time","mask","int","delta"
"1","cell7_01",10,1,-1.8,"cell",1090.012,-0.0018319387369651
"2","cell7_01",10,1,-1.8,"up",1448.918,0.00354300511718131
"3","cell7_01",10,1,-1.8,"down",1660.55,-0.00604293334265501
"4","cell7_01",10,2,-1.6,"cell",1102.066,0.00920639644692711
"5","cell7_01",10,2,-1.6,"up",1477.621,0.023423146626831
"6","cell7_01",10,2,-1.6,"down",1680.92,0.00614995783665922
"7","cell7_01",10,3,-1.4,"cell",1091.963,-4.53291514520942e-05
"8","cell7_01",10,3,-1.4,"up",1457.213,0.0092882503466885
"9","cell7_01",10,3,-1.4,"down",1662.981,-0.00458780725247763
"10","cell7_01",10,4,-1.2,"cell",1090.344,-0.00152791291308478
"11","cell7_01",10,4,-1.2,"up",1445.784,0.00137234826977032
"12","cell7_01",10,4,-1.2,"down",1661.648,-0.00538570238954325
"13","cell7_01",10,5,-1,"cell",1092.133,0.00011034672222158
"14","cell7_01",10,5,-1,"up",1405.66,-0.0264181543931283
"15","cell7_01",10,5,-1,"down",1686.63,0.00956779822123871
"16","cell7_01",10,6,-0.8,"cell",1093.168,0.0010581380707637
"17","cell7_01",10,6,-0.8,"up",1417.855,-0.0179717088748837
"18","cell7_01",10,6,-0.8,"down",1680.366,0.00581834950512554
"19","cell7_01",10,7,-0.6,"cell",1094.1,0.00191160815466843
"20","cell7_01",10,7,-0.6,"up",1421.468,-0.0154692892227789
"21","cell7_01",10,7,-0.6,"down",1687.368,0.0100095436159531
"22","cell7_01",10,8,-0.4,"cell",1090.812,-0.00109934639026581
"23","cell7_01",10,8,-0.4,"up",1441.904,-0.00131499970979427
"24","cell7_01",10,8,-0.4,"down",1673.946,0.00197552371370689
"25","cell7_01",10,9,-0.2,"cell",1090.105,-0.00174677487666124
"26","cell7_01",10,9,-0.2,"up",1444.628,0.00057168479957005
"27","cell7_01",10,9,-0.2,"down",1669.82,-0.000494180213924422
"28","cell7_01",10,10,0,"cell",1085.422,-0.00603518732615242
"29","cell7_01",10,10,0,"up",1476.975,0.0229757170405426
"30","cell7_01",10,10,0,"down",1642.227,-0.0170105496940822
"31","cell7_01",10,11,0.2,"cell",1038.611,-0.0489019127528302
"32","cell7_01",10,11,0.2,"up",1505.206,0.0425289440537091
"33","cell7_01",10,11,0.2,"down",1521.789,-0.0891012432559005
"34","cell7_01",10,12,0.4,"cell",1022.571,-0.0635903893041518
"35","cell7_01",10,12,0.4,"up",1643.177,0.138089791499198
"36","cell7_01",10,12,0.4,"down",1433.716,-0.141819186546806
"37","cell7_01",10,13,0.6,"cell",1011.335,-0.0738796488135438
"38","cell7_01",10,13,0.6,"up",1731.865,0.199516471296007
"39","cell7_01",10,13,0.6,"down",1377.756,-0.175315219457675
"40","cell7_01",10,14,0.8,"cell",1018.941,-0.0669145270772999
"41","cell7_01",10,14,0.8,"up",1770.433,0.226229264305245
"42","cell7_01",10,14,0.8,"down",1373.06,-0.178126108852769
"43","cell7_01",10,15,1,"cell",1011.084,-0.0741094996623208
"44","cell7_01",10,15,1,"up",1739.918,0.20509410358452
"45","cell7_01",10,15,1,"down",1369.624,-0.180182798793472
"46","cell7_01",10,16,1.2,"cell",1012.906,-0.0724410205927131
"47","cell7_01",10,16,1.2,"up",1749.989,0.212069433868591
"48","cell7_01",10,16,1.2,"down",1379.773,-0.174107901759655
"49","cell7_01",10,17,1.4,"cell",1012.506,-0.0728073167660627
"50","cell7_01",10,17,1.4,"up",1772.55,0.227695531231208
"51","cell7_01",10,17,1.4,"down",1370.839,-0.179455535033881
