cell,power,stimul,frame,time,mask,int,delta,rel
cell2_01_27_01,20,20,1,-19.0,cell,220.265,-0.0026646623214031493,220.265
cell2_01_27_01,20,20,1,-19.0,up,170.088,-0.013942594771961768,0.7721971261889088
cell2_01_27_01,20,20,1,-19.0,down,189.184,0.015014035419045176,0.858892697432638
cell2_01_27_01,20,20,2,-18.0,cell,209.444,-0.05166094266108533,209.444
cell2_01_27_01,20,20,2,-18.0,up,161.283,-0.06498814444644135,0.7700530929508603
cell2_01_27_01,20,20,2,-18.0,down,180.093,-0.03376119185173115,0.8598623020950708
cell2_01_27_01,20,20,3,-17.0,cell,227.129,0.02841476363290595,227.129
cell2_01_27_01,20,20,3,-17.0,up,178.413,0.03432023328482904,0.7855139590276892
cell2_01_27_01,20,20,3,-17.0,down,196.639,0.05501176056519387,0.8657591060586716
cell2_01_27_01,20,20,4,-16.0,cell,210.851,-0.045290203687059515,210.851
cell2_01_27_01,20,20,4,-16.0,up,165.811,-0.038737803852909904,0.7863894408847955
cell2_01_27_01,20,20,4,-16.0,down,172.823,-0.07276635104857887,0.819645152263921
cell2_01_27_01,20,20,5,-15.0,cell,213.556,-0.03304226557423806,213.556
cell2_01_27_01,20,20,5,-15.0,up,166.236,-0.03627393575391468,0.7784187754031728
cell2_01_27_01,20,20,5,-15.0,down,179.616,-0.03632040243452282,0.841072130963307
cell2_01_27_01,20,20,6,-14.0,cell,229.704,0.04007407625416854,229.704
cell2_01_27_01,20,20,6,-14.0,up,183.103,0.06150974242433034,0.7971258663323233
cell2_01_27_01,20,20,6,-14.0,down,194.079,0.041276793915409754,0.8449091004074809
cell2_01_27_01,20,20,7,-13.0,cell,224.114,0.014763180117136508,224.114
cell2_01_27_01,20,20,7,-13.0,up,173.016,0.003032007095940103,0.771999964303881
cell2_01_27_01,20,20,7,-13.0,down,188.364,0.010614553914036241,0.840482968489251
cell2_01_27_01,20,20,8,-12.0,cell,224.362,0.01588609643949495,224.362
cell2_01_27_01,20,20,8,-12.0,up,176.956,0.025873513707802602,0.7887075351440974
cell2_01_27_01,20,20,8,-12.0,down,186.058,-0.0017576465134646565,0.8292759023364028
cell2_01_27_01,20,20,9,-11.0,cell,220.076,-0.003520433228361803,220.076
cell2_01_27_01,20,20,9,-11.0,up,172.972,0.002776924280985393,0.7859648485068795
cell2_01_27_01,20,20,9,-11.0,down,185.533,-0.004574387720939942,0.8430405859793889
cell2_01_27_01,20,20,10,-10.0,cell,229.034,0.03704039102844191,229.034
cell2_01_27_01,20,20,10,-10.0,up,177.052,0.026430058031340388,0.7730380642175397
cell2_01_27_01,20,20,10,-10.0,down,191.467,0.02726283575555194,0.8359763179265961
cell2_01_27_01,20,20,11,-9.0,cell,219.784,-0.0048425766401709956,219.784
cell2_01_27_01,20,20,11,-9.0,up,172.467,-0.00015073075429137436,0.784711352964729
cell2_01_27_01,20,20,11,-9.0,down,181.354,-0.026995647732442833,0.8251465074800715
cell2_01_27_01,20,20,12,-8.0,cell,216.611,-0.01920956652260438,216.611
cell2_01_27_01,20,20,12,-8.0,up,168.559,-0.022806722591641387,0.7781645438135645
cell2_01_27_01,20,20,12,-8.0,down,180.357,-0.03234477341597211,0.8326308451556016
cell2_01_27_01,20,20,13,-7.0,cell,220.145,-0.0032080089289958573,220.145
cell2_01_27_01,20,20,13,-7.0,up,174.885,0.013867229394815998,0.7944082309386994
