cell,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,10,20,1,-19.0,cell,707.496,-0.00584370481920525,707.496
cell4_01_17_03,10,20,1,-19.0,up,469.265,-0.0016963705244241944,0.0040406054443134255
cell4_01_17_03,10,20,1,-19.0,down,591.556,0.011193009326368188,0.01707685995639711
cell4_01_17_03,10,20,2,-18.0,cell,719.747,0.01137110455393593,719.747
cell4_01_17_03,10,20,2,-18.0,up,478.217,0.017347909554135583,0.005778272238814165
cell4_01_17_03,10,20,2,-18.0,down,593.91,0.015216885922927428,0.003743331880070968
cell4_01_17_03,10,20,3,-17.0,cell,711.12,-0.0007513475285135381,711.12
cell4_01_17_03,10,20,3,-17.0,up,473.785,0.00791937410862886,0.008545545900894947
cell4_01_17_03,10,20,3,-17.0,down,585.37,0.0006187949566501079,0.0013121057460928898
cell4_01_17_03,10,20,4,-16.0,cell,720.786,0.012831082265036535,720.786
cell4_01_17_03,10,20,4,-16.0,up,466.35,-0.0078976748618908,-0.020594044545751373
cell4_01_17_03,10,20,4,-16.0,down,585.643,0.0010854552416377056,-0.01165512921458099
cell4_01_17_03,10,20,5,-15.0,cell,724.978,0.01872157944014127,724.978
cell4_01_17_03,10,20,5,-15.0,up,463.937,-0.01303103587949189,-0.03129557382261778
cell4_01_17_03,10,20,5,-15.0,down,592.119,0.012155389328009171,-0.006504125691343047
cell4_01_17_03,10,20,6,-14.0,cell,707.061,-0.0064549563151905165,707.061
cell4_01_17_03,10,20,6,-14.0,up,464.506,-0.01182055829183553,-0.005530319061933797
cell4_01_17_03,10,20,6,-14.0,down,580.417,-0.007847755928124074,-0.0014607518802881583
cell4_01_17_03,10,20,7,-13.0,cell,698.343,-0.018705279400248586,698.343
cell4_01_17_03,10,20,7,-13.0,up,471.186,0.002390320944623302,0.02136435199374254
cell4_01_17_03,10,20,7,-13.0,down,579.233,-0.009871659874736911,0.008942487456307643
cell4_01_17_03,10,20,8,-12.0,cell,713.061,0.0019760988018486876,713.061
cell4_01_17_03,10,20,8,-12.0,up,473.777,0.007902355091579128,0.005783233859234779
cell4_01_17_03,10,20,8,-12.0,down,579.519,-0.009382777671416515,-0.011394791871555721
cell4_01_17_03,10,20,9,-11.0,cell,711.214,-0.000619260998346519,711.214
cell4_01_17_03,10,20,9,-11.0,up,470.247,0.0003927138184205589,0.0008819072356016763
cell4_01_17_03,10,20,9,-11.0,down,580.716,-0.0073366518064710735,-0.006780142811943097
