ID,date,cell,rep,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,17_03,cell4_17_03,1,10,21,1,-20.0,cell,616.435,0.00018107376744084855,616.435
cell4_01_17_03,17_03,cell4_17_03,1,10,21,1,-20.0,up,470.505,0.033453648803199044,-0.005399401014259628
cell4_01_17_03,17_03,cell4_17_03,1,10,21,1,-20.0,down,619.465,0.01057666158712403,0.01039518250806408
cell4_01_17_03,17_03,cell4_17_03,1,10,21,2,-19.0,cell,621.81,0.008902144555926245,621.81
cell4_01_17_03,17_03,cell4_17_03,1,10,21,2,-19.0,up,481.453,0.05077113587751886,0.008946080838467717
cell4_01_17_03,17_03,cell4_17_03,1,10,21,2,-19.0,down,620.173,0.011731671598026426,0.0028060260637699013
cell4_01_17_03,17_03,cell4_17_03,1,10,21,3,-18.0,cell,619.873,0.005759314022475951,619.873
cell4_01_17_03,17_03,cell4_17_03,1,10,21,3,-18.0,up,480.246,0.04898100094696816,0.009561543237157613
cell4_01_17_03,17_03,cell4_17_03,1,10,21,3,-18.0,down,611.783,-0.0019555233051819177,-0.007669209275996299
cell4_01_17_03,17_03,cell4_17_03,1,10,21,4,-17.0,cell,617.148,0.0013379339483135513,617.148
cell4_01_17_03,17_03,cell4_17_03,1,10,21,4,-17.0,up,469.121,0.031172425414973393,-0.009470735256873915
cell4_01_17_03,17_03,cell4_17_03,1,10,21,4,-17.0,down,608.889,-0.0066767082932492694,-0.008002483679970324
cell4_01_17_03,17_03,cell4_17_03,1,10,21,5,-16.0,cell,618.807,0.004029702587959542,618.807
cell4_01_17_03,17_03,cell4_17_03,1,10,21,5,-16.0,up,465.232,0.024802563642622014,-0.02031575502094066
cell4_01_17_03,17_03,cell4_17_03,1,10,21,5,-16.0,down,620.469,0.012214557139307754,0.008153477837671227
cell4_01_17_03,17_03,cell4_17_03,1,10,21,6,-15.0,cell,612.412,-0.006346343494340727,612.412
cell4_01_17_03,17_03,cell4_17_03,1,10,21,6,-15.0,up,467.066,0.028056275840447276,-0.006183221322201182
cell4_01_17_03,17_03,cell4_17_03,1,10,21,6,-15.0,down,606.205,-0.011055305566218379,-0.004737583033565578
cell4_01_17_03,17_03,cell4_17_03,1,10,21,7,-14.0,cell,611.034,-0.008582182665788774,611.034
cell4_01_17_03,17_03,cell4_17_03,1,10,21,7,-14.0,up,472.343,0.03675572881378123,0.00731167994718593
cell4_01_17_03,17_03,cell4_17_03,1,10,21,7,-14.0,down,609.096,-0.006339014688366785,0.002264050734947864
cell4_01_17_03,17_03,cell4_17_03,1,10,21,8,-13.0,cell,616.197,-0.00020508713444920254,616.197
cell4_01_17_03,17_03,cell4_17_03,1,10,21,8,-13.0,up,481.841,0.051861661124607876,0.018957181488737304
