cell,feature,time,int
cell24_01,30,1,0.0039138135891568435
cell24_01,30,2,0.004551905474388237
cell24_01,30,3,1.3850802015490231
cell24_01,30,4,1.1246754532652703
cell24_01,30,5,1.0245720383735257
cell24_01,30,6,0.9559001496215456
cell24_01,30,7,0.9201229977116704
cell24_01,30,8,0.8680469987678225
cell24_01,30,9,0.8006870489350467
cell24_01,30,10,0.7829937511001585
cell24_01,30,11,0.7411767294490406
cell24_01,30,12,0.70859278736138
cell24_01,30,13,0.6610796954761485
cell24_01,30,14,0.6283939887343777
cell24_01,30,15,0.5952627178313675
cell24_01,30,16,0.583425013201901
cell24_01,30,17,0.5390858783664847
cell24_01,30,18,0.5396387079739483
cell24_01,30,19,0.5330597606055271
cell24_01,30,20,0.5189117232881534
cell24_01,30,21,0.5020297922900898
cell24_01,30,22,0.4595306724168281
cell24_01,30,23,0.44065745467347284
cell24_01,30,24,0.41964442879774677
cell24_01,30,25,0.39033345801795455
cell24_01,30,26,0.41964442879774677
cell24_01,30,27,0.3735697940503433
cell24_01,30,28,0.35407223640204194
cell24_01,30,29,0.33363404330223545
cell24_01,30,30,0.3456697764478085
cell24_01,30,31,0.31044270374933997
cell24_01,30,32,0.3007365560640733
cell24_01,30,33,0.2865747667664144
cell24_01,30,34,0.27627178313677164
cell24_01,30,35,0.2835163263509945
cell24_01,30,36,0.2700311344833655
cell24_01,30,37,0.2574453221263862
cell24_01,30,38,0.26943154814293263
cell24_01,30,39,0.25520649973596193
cell24_01,30,40,0.24343480461186415
cell24_01,30,41,0.24729636067593735
cell24_01,30,42,0.2688979713078683
cell24_01,30,43,0.24184232529484248
cell24_01,30,44,0.23914693715895086
cell24_01,30,45,0.2292015050167224
cell24_01,30,46,0.24418841313149098
cell24_01,30,47,0.22584877222320016
cell24_01,30,48,0.2129934210526315
cell24_01,30,49,0.23562367980989257
cell24_01,30,50,0.23494983277591966
cell24_01,30,51,0.22192395704981513
cell24_01,30,52,0.21367001848266154
cell24_01,30,53,0.19940921492694952
cell24_01,30,54,0.21827693187819053
cell24_01,30,55,0.2037685926773455
cell24_01,30,56,0.2030039825734905
cell24_01,30,57,0.21117540925893322
cell24_01,30,58,0.19241220735785944
cell24_01,30,59,0.1914055624009857
cell24_01,30,60,0.1748289253652526
cell24_01,30,61,0.1768394648829431
cell24_01,30,62,0.1898295854603063
cell24_01,30,63,0.17662493399049467
cell24_01,30,64,0.1806542642140468
cell24_01,30,65,0.18075602886815692
cell24_01,30,66,0.1611759593381447
cell24_01,30,67,0.1746776535821158
cell24_01,30,68,0.17312092941383564
cell24_01,30,69,0.14480010121457487
cell24_01,30,70,0.1701037449392712
cell24_01,30,71,0.1525892228480901
cell24_01,30,72,0.14120808396409085
cell24_01,30,73,0.16556834184122507
cell24_01,30,74,0.1721087836648478
cell24_01,30,75,0.16095867804963912
cell24_01,30,76,0.1471626914275655
cell24_01,30,77,0.1579112392184474
cell24_01,30,78,0.14944001936278825
cell24_01,30,79,0.1233140072170392
cell24_01,30,80,0.14837286569265964
cell24_01,30,81,0.15675332247843687
cell24_01,30,82,0.14460482309452566
cell24_01,30,83,0.11821752332335848
cell24_01,30,84,0.14188743179017785
cell24_01,30,85,0.1354817593733498
cell24_01,30,86,0.13765457225840516
cell24_01,30,87,0.12941163527547972
cell24_01,30,88,0.13269285777151912
cell24_01,30,89,0.12550332247843682
cell24_01,30,90,0.11915265798274952
cell24_01,30,91,0.11837704629466649
cell24_01,30,92,0.12509626386199613
cell24_01,30,93,0.11328881358915684
cell24_01,30,94,0.11978249867980986
cell24_01,30,95,0.1284654990318605
cell24_01,30,96,0.11776370797394826
cell24_01,30,97,0.13037152349938394
cell24_01,30,98,0.11845680778032042
cell24_01,30,99,0.11808275391656396
cell24_01,30,100,0.12151249779968318
cell24_01,30,101,0.12555833039957756
cell24_01,30,102,0.12078364284456967
cell24_01,30,103,0.1183440415419821
cell24_01,30,104,0.11064293258229187
cell24_01,30,105,0.1241336252420348
cell24_01,30,106,0.12110543918324233
cell24_01,30,107,0.11136353634923431
cell24_01,30,108,0.12070113096285863
cell24_01,30,109,0.10781827583171982
cell24_01,30,110,0.11282399665551844
cell24_01,30,111,0.13127090301003347
cell24_01,30,112,0.12766513377926414
cell24_01,30,113,0.12061311828903365
cell24_01,30,114,0.11690283400809721
cell24_01,30,115,0.12869378190459424
cell24_01,30,116,0.1457682406266503
cell24_01,30,117,0.12803093645484953
cell11_01,100,1,-0.01392317913321089
cell11_01,100,2,-0.007927441599389505
cell11_01,100,3,4.659815073869591
cell11_01,100,4,4.154186601297158
cell11_01,100,5,3.812797923144051
cell11_01,100,6,3.57136341909427
cell11_01,100,7,3.246439174344514
cell11_01,100,8,3.1051528918552695
cell11_01,100,9,2.914946916509163
cell11_01,100,10,2.74869757977872
cell11_01,100,11,2.5407313286878885
cell11_01,100,12,2.43730074505453
cell11_01,100,13,2.2500877050654062
cell11_01,100,14,2.1222400312230034
cell11_01,100,15,2.0137971031016897
cell11_01,100,16,1.9066598841416087
cell11_01,100,17,1.7959607432127245
cell11_01,100,18,1.6937076000824427
cell11_01,100,19,1.6159406149002136
cell11_01,100,20,1.5434490894021584
cell11_01,100,21,1.4876818235637201
cell11_01,100,22,1.428980823287449
cell11_01,100,23,1.3721545187842323
cell11_01,100,24,1.3504738266158562
cell11_01,100,25,1.2728351100917834
cell11_01,100,26,1.245385617246324
