cell,feature,time,int
cell35_01,nucl,1,0.004319762329807292
cell35_01,nucl,2,0.002988862540299958
cell35_01,nucl,3,0.028445818123684425
cell35_01,nucl,4,0.0338633396392316
cell35_01,nucl,5,0.019503210679171844
cell35_01,nucl,6,0.00672177666462384
cell35_01,nucl,7,-0.009099144707042194
cell35_01,nucl,8,-0.01291199275265785
cell35_01,nucl,9,-0.028385201566704894
cell35_01,nucl,10,-0.027819669073565857
cell35_01,nucl,11,-0.04142242412938641
cell35_01,nucl,12,-0.03483187231888309
cell35_01,nucl,13,-0.0520936026218326
cell35_01,nucl,14,-0.06026884442194453
cell35_01,nucl,15,-0.06424955370227282
cell35_01,nucl,16,-0.06457728277956891
cell35_01,nucl,17,-0.07473488582771583
cell35_01,nucl,18,-0.07618168980309616
cell35_01,nucl,19,-0.07941501691934671
cell35_01,nucl,20,-0.08666302523247454
cell35_01,nucl,21,-0.08753030827848977
cell35_01,nucl,22,-0.10464216247901743
cell35_01,nucl,23,-0.10143481388718664
cell35_01,nucl,24,-0.10760371426287604
cell35_01,nucl,25,-0.11067517518851093
cell35_01,nucl,26,-0.11251365537822068
cell35_01,nucl,27,-0.11978364551970379
cell35_01,nucl,28,-0.11512549625642807
cell35_01,nucl,29,-0.10912245876741894
cell35_01,nucl,30,-0.1275991846740029
cell35_01,nucl,31,-0.12515920172657277
cell35_01,nucl,32,-0.13840225413658053
cell35_01,nucl,33,-0.1284065172790494
cell35_01,nucl,34,-0.13043284218379483
cell35_01,nucl,35,-0.13969118861740967
cell35_01,nucl,36,-0.12381031680477476
cell35_01,nucl,37,-0.14266672883749434
cell35_01,nucl,38,-0.14857784231701798
cell35_01,nucl,39,-0.13701140390610433
cell35_01,nucl,40,-0.13978710932295974
cell35_01,nucl,41,-0.14586408568916368
cell35_01,nucl,42,-0.14942314353467806
cell35_01,nucl,43,-0.15109775918573978
cell35_01,nucl,44,-0.13868002451306918
cell35_01,nucl,45,-0.1499966694199462
cell35_01,nucl,46,-0.1406124270602969
cell35_01,nucl,47,-0.15026444805627354
cell35_01,nucl,48,-0.14381577895606298
cell35_01,nucl,49,-0.15433907969411956
cell35_01,nucl,50,-0.15164530654658814
cell35_01,nucl,51,-0.1538494844262077
cell35_01,nucl,52,-0.14406956915616423
cell35_01,nucl,53,-0.1530661319975487
cell35_01,nucl,54,-0.1554961232048174
cell35_01,nucl,55,-0.1457481815032907
cell35_01,nucl,56,-0.14981481974900748
cell35_01,nucl,57,-0.14755868482054843
cell35_01,nucl,58,-0.14821813967120517
cell35_01,nucl,59,-0.15097585995576993
cell35_01,nucl,60,-0.155963736644374
cell35_01,nucl,61,-0.13897178332578405
cell35_01,nucl,62,-0.14489688524153377
cell35_01,nucl,63,-0.14296648104233842
cell35_01,nucl,64,-0.15644933521622126
cell35_01,nucl,65,-0.15019850257120781
cell35_01,nucl,66,-0.15257853507766922
cell35_01,nucl,67,-0.15740254722762523
cell35_01,nucl,68,-0.15120167328341907
cell35_01,nucl,69,-0.1504023340705018
cell35_01,nucl,70,-0.16072380165729663
cell35_01,nucl,71,-0.150158535610562
cell35_01,nucl,72,-0.15281434014547982
cell35_01,nucl,73,-0.15513042551490772
cell35_01,nucl,74,-0.15277237483680162
cell35_01,nucl,75,-0.16221656763741976
cell35_01,nucl,76,-0.1584456849004823
cell35_01,nucl,77,-0.16169499880099117
cell35_01,nucl,78,-0.1454824012149956
cell35_01,nucl,79,-0.15487263861874184
cell35_01,nucl,80,-0.1611974101409502
cell35_01,nucl,81,-0.1511097492739336
cell35_01,nucl,82,-0.1572946364338813
cell35_01,nucl,83,-0.15013055873810988
cell35_01,nucl,84,-0.1512716154645494
cell35_01,nucl,85,-0.15360168927020337
cell35_01,nucl,86,-0.15166529002691118
cell35_01,nucl,87,-0.15700487596919882
cell35_01,nucl,88,-0.16055793877061636
cell35_01,nucl,89,-0.1584496815965469
cell35_01,nucl,90,-0.16606138925155203
