cell,feature,time,int
cell10_01,nucl,1,1961.493
cell10_01,nucl,2,1972.898
cell10_01,nucl,3,1960.114
cell10_01,nucl,4,1966.684
cell10_01,nucl,5,1975.555
cell10_01,nucl,6,1946.123
cell10_01,nucl,7,1978.153
cell10_01,nucl,8,1985.614
cell10_01,nucl,9,1943.397
cell10_01,nucl,10,2010.721
cell10_01,nucl,11,1908.21
cell10_01,nucl,12,1961.054
cell10_01,nucl,13,1944.213
cell10_01,nucl,14,1980.864
cell10_01,nucl,15,1954.592
cell10_01,nucl,16,1950.067
cell10_01,nucl,17,1974.722
cell10_01,nucl,18,1946.95
cell10_01,nucl,19,2039.138
cell10_01,nucl,20,1986.699
cell10_01,nucl,21,1987.849
cell10_01,nucl,22,2003.144
cell10_01,nucl,23,1941.946
cell10_01,nucl,24,1977.88
cell10_01,nucl,25,1948.134
cell10_01,nucl,26,1943.844
cell10_01,nucl,27,1951.326
cell10_01,nucl,28,1915.743
cell10_01,nucl,29,1920.75
cell10_01,nucl,30,1928.775
cell10_01,nucl,31,1897.633
cell10_01,nucl,32,1905.403
cell10_01,nucl,33,1851.467
cell10_01,nucl,34,1895.605
cell10_01,nucl,35,1839.344
cell10_01,nucl,36,1867.973
cell10_01,nucl,37,1863.639
cell10_01,nucl,38,1806.731
cell10_01,nucl,39,1849.1
cell10_01,nucl,40,1810.319
cell10_01,nucl,41,1763.21
cell10_01,nucl,42,1814.483
cell10_01,nucl,43,1792.633
cell10_01,nucl,44,1778.116
cell10_01,nucl,45,1796.996
cell10_01,nucl,46,1778.77
cell10_01,nucl,47,1815.907
cell10_01,nucl,48,1750.628
cell10_01,nucl,49,1775.62
cell10_01,nucl,50,1765.446
cell10_01,nucl,51,1759.598
cell10_01,nucl,52,1763.596
cell10_01,nucl,53,1768.264
cell10_01,nucl,54,1733.691
cell10_01,nucl,55,1756.633
cell10_01,nucl,56,1759.82
cell10_01,nucl,57,1751.473
cell10_01,nucl,58,1792.465
cell10_01,nucl,59,1703.852
cell10_01,nucl,60,1766.969
cell10_01,nucl,61,1765.257
cell10_01,nucl,62,1752.043
cell10_01,nucl,63,1711.335
cell10_01,nucl,64,1770.007
cell10_01,nucl,65,1732.362
cell10_01,nucl,66,1753.539
cell10_01,nucl,67,1768.025
cell10_01,nucl,68,1768.561
cell10_01,nucl,69,1721.49
cell10_01,nucl,70,1762.45
cell10_01,nucl,71,1745.362
cell10_01,nucl,72,1716.227
cell10_01,nucl,73,1717.422
cell10_01,nucl,74,1716.572
cell10_01,nucl,75,1692.048
cell10_01,nucl,76,1697.809
cell10_01,nucl,77,1704.833
cell10_01,nucl,78,1734.359
cell10_01,nucl,79,1717.494
cell10_01,nucl,80,1708.367
cell10_01,nucl,81,1729.305
cell10_01,nucl,82,1707.56
cell10_01,nucl,83,1736.513
cell10_01,nucl,84,1771.109
cell10_01,nucl,85,1719.018
cell10_01,nucl,86,1686.743
cell10_01,nucl,87,1728.973
cell10_01,nucl,88,1707.589
cell10_01,nucl,89,1727.206
cell10_01,nucl,90,1734.547
cell10_01,nucl,91,1717.098
cell10_01,nucl,92,1734.53
cell10_01,nucl,93,1748.254
cell10_01,nucl,94,1749.3
cell10_01,nucl,95,1706.683
cell10_01,nucl,96,1739.829
cell10_01,nucl,97,1755.46
cell10_01,nucl,98,1731.178
cell10_01,nucl,99,1724.41
cell10_01,nucl,100,1729.615
cell10_01,nucl,101,1714.376
cell10_01,nucl,102,1742.832
cell10_01,nucl,103,1721.219
cell10_01,nucl,104,1701.157
cell10_01,nucl,105,1742.179
cell10_01,nucl,106,1722.345
cell10_01,nucl,107,1751.895
cell10_01,nucl,108,1735.014
cell10_01,nucl,109,1728.468
cell10_01,nucl,110,1712.645
cell10_01,nucl,111,1740.688
cell10_01,nucl,112,1700.793
cell10_01,nucl,113,1730.617
cell10_01,nucl,114,1735.759
cell10_01,nucl,115,1701.104
cell10_01,nucl,116,1754.19
cell10_01,nucl,117,1740.121
cell10_01,nucl,118,1739.779
cell10_01,nucl,119,1726.091
cell10_01,nucl,120,1704.176
cell10_01,nucl,121,1726.738
cell10_01,nucl,122,1721.752
cell10_01,nucl,123,1720.809
cell10_01,nucl,124,1707.857
cell10_01,nucl,125,1730.273
cell10_01,nucl,126,1754.587
cell10_01,nucl,127,1740.771
cell10_01,nucl,128,1709.856
cell10_01,nucl,129,1749.966
cell10_01,nucl,130,1744.351
cell10_01,nucl,131,1740.043
cell10_01,nucl,132,1710.22
cell10_01,nucl,133,1710.861
cell10_01,nucl,134,1712.08
cell10_01,nucl,135,1733.305
cell10_01,nucl,136,1688.8
cell10_01,nucl,137,1738.461
cell10_01,nucl,138,1736.906
cell10_01,nucl,139,1743.259
cell10_01,nucl,140,1738.484
cell10_01,nucl,141,1698.442
cell10_01,nucl,142,1733.555
cell10_01,nucl,143,1684.202
cell10_01,nucl,144,1731.441
cell10_01,nucl,145,1696.58
cell10_01,nucl,146,1773.29
cell10_01,nucl,147,1718.64
