,id,lab_id,roi,dist,index,time,abs_int,dF_int,dF/F0_int
0,07_05_25_cell11_Fc,oreol,1,446,0,0.0,0.3333,-0.5269904798905265,-0.612548986544676
1,07_05_25_cell11_Fc,oreol,1,446,1,1.0,0.5067,-0.3513900974939227,-0.4095184749667195
2,07_05_25_cell11_Fc,oreol,1,446,2,2.0,0.4,-0.4557398390832964,-0.5325682155589526
3,07_05_25_cell11_Fc,oreol,1,446,3,3.0,0.0367,-0.8166998089850859,-0.9570329187836178
4,07_05_25_cell11_Fc,oreol,1,446,4,4.0,1.3733,0.5223995227482744,0.6139132283263009
5,07_05_25_cell11_Fc,oreol,1,446,5,5.0,1.8867,1.038232332981687,1.2237038174449675
6,07_05_25_cell11_Fc,oreol,1,446,6,6.0,0.0,-0.8458697054485864,-1.0
7,07_05_25_cell11_Fc,oreol,1,446,7,7.0,2.13,1.2867557628694044,1.5259585612443636
8,07_05_25_cell11_Fc,oreol,1,446,8,8.0,1.0233,0.18277956917513316,0.21745137190383504
9,07_05_25_cell11_Fc,oreol,1,446,9,9.0,0.1333,-0.7044664040894043,-0.8408529778924294
10,07_05_25_cell11_Fc,oreol,1,446,10,10.0,0.1133,-0.721656714369359,-0.8642698393290468
11,07_05_25_cell11_Fc,oreol,1,446,11,11.0,0.3567,-0.47545881323741507,-0.5713787460182336
12,07_05_25_cell11_Fc,oreol,1,446,12,12.0,1.2133,0.38412166661678016,0.4632371709599729
13,07_05_25_cell11_Fc,oreol,1,446,13,13.0,0.9633,0.13708269320674948,0.16590933374133074
14,07_05_25_cell11_Fc,oreol,1,446,14,14.0,2.3467,1.523416427425368,1.8504901120093673
15,07_05_25_cell11_Fc,oreol,1,446,15,15.0,0.71,-0.11022379025509166,-0.13438258139380693
16,07_05_25_cell11_Fc,oreol,1,446,16,16.0,1.3367,0.519483087860142,0.6356993720050438
17,07_05_25_cell11_Fc,oreol,1,446,17,17.0,0.1,-0.7141410132200763,-0.8771711553942213
18,07_05_25_cell11_Fc,oreol,1,446,18,18.0,0.1233,-0.6877815570491151,-0.8479459139565536
19,07_05_25_cell11_Fc,oreol,1,446,19,19.0,0.3933,-0.4147829745434636,-0.5132713824736975
20,07_05_25_cell11_Fc,oreol,1,446,20,20.0,0.4733,-0.3318311918536397,-0.4121284302442197
21,07_05_25_cell11_Fc,oreol,1,446,21,21.0,0.7633,-0.03893843802704766,-0.04853522137644364
22,07_05_25_cell11_Fc,oreol,1,446,22,22.0,1.8333,1.0338797281836152,1.293232929995975
23,07_05_25_cell11_Fc,oreol,1,446,23,23.0,0.5567,-0.24005342980596656,-0.3013020894901102
24,07_05_25_cell11_Fc,oreol,1,446,24,24.0,0.82,0.025909905607650274,0.03262842061702956
25,07_05_25_cell11_Fc,oreol,1,446,25,25.0,1.39,0.5984230268416321,0.7559884220152879
26,07_05_25_cell11_Fc,oreol,1,446,26,26.0,0.6467,-0.14252524289420943,-0.18059643182798676
27,07_05_25_cell11_Fc,oreol,1,446,27,27.0,1.9367,1.1497157845258839,1.460975278912266
28,07_05_25_cell11_Fc,oreol,1,446,28,28.0,0.7233,-0.06152533565720808,-0.07839033712444038
29,07_05_25_cell11_Fc,oreol,1,446,29,29.0,0.1767,-0.6062568885502531,-0.774350042875235
30,07_05_25_cell11_Fc,oreol,1,446,30,30.0,0.2033,-0.5778173166554252,-0.739700231528631
31,07_05_25_cell11_Fc,oreol,1,446,31,31.0,1.16,0.3804555548919737,0.4880485741120914
32,07_05_25_cell11_Fc,oreol,1,446,32,32.0,0.8933,0.11522931292963512,0.14808985676471836
33,07_05_25_cell11_Fc,oreol,1,446,33,33.0,0.0,-0.7768273117274911,-1.0
34,07_05_25_cell11_Fc,oreol,1,446,34,34.0,0.1567,-0.6190484738791526,-0.7980358272284969
35,07_05_25_cell11_Fc,oreol,1,446,35,35.0,0.2767,-0.4980980525848318,-0.6429023421020581
36,07_05_25_cell11_Fc,oreol,1,446,36,36.0,1.7233,0.9493497427952577,1.2265760597524653
37,07_05_25_cell11_Fc,oreol,1,446,37,37.0,0.5267,-0.2466857815611947,-0.3189823503196708
38,07_05_25_cell11_Fc,oreol,1,446,38,38.0,0.1833,-0.5895320083458587,-0.7627874825710159
39,07_05_25_cell11_Fc,oreol,1,446,39,39.0,0.1967,-0.575847903105232,-0.7454201197464321
40,07_05_25_cell11_Fc,oreol,1,446,40,40.0,0.5533,-0.21895882080643247,-0.28351812152011885
41,07_05_25_cell11_Fc,oreol,1,446,41,41.0,0.85,0.07780989596041521,0.10076520736715691
42,07_05_25_cell11_Fc,oreol,1,446,42,42.0,2.0767,1.3044823223457673,1.6893405466449858
43,07_05_25_cell11_Fc,oreol,1,446,43,43.0,0.4167,-0.3556092481960767,-0.4604691682755368
44,07_05_25_cell11_Fc,oreol,1,446,44,44.0,0.56,-0.21246287344112813,-0.27504606466671905
45,07_05_25_cell11_Fc,oreol,1,446,45,45.0,0.0067,-0.7660694046964583,-0.9913726472547003
46,07_05_25_cell11_Fc,oreol,1,446,46,46.0,0.0,-0.7730889442923161,-1.0
47,07_05_25_cell11_Fc,oreol,1,446,47,47.0,0.66,-0.11351563500736828,-0.1467528642860425
48,07_05_25_cell11_Fc,oreol,1,446,48,48.0,1.58,0.805989018583767,1.0413147073301503
49,07_05_25_cell11_Fc,oreol,1,446,49,49.0,0.5467,-0.22790286722695152,-0.2942316438413551
50,07_05_25_cell11_Fc,oreol,1,446,50,50.0,0.2133,-0.5618551372530385,-0.7247981085529274
51,07_05_25_cell11_Fc,oreol,1,446,51,51.0,0.0,-0.7758642159808767,-1.0
52,07_05_25_cell11_Fc,oreol,1,446,52,52.0,1.4333,0.6567398376602553,0.8456674454774502
53,07_05_25_cell11_Fc,oreol,1,446,53,53.0,1.21,0.43263059228085243,0.5565315382685546
54,07_05_25_cell11_Fc,oreol,1,446,54,54.0,0.96,0.18181036436072417,0.2336324669903482
55,07_05_25_cell11_Fc,oreol,1,446,55,55.0,0.5833,-0.1957142457564094,-0.2512224554822267
56,07_05_25_cell11_Fc,oreol,1,446,56,56.0,0.97,0.19005486079638134,0.24367721682379015
57,07_05_25_cell11_Fc,oreol,1,446,57,57.0,0.0467,-0.7342061897681534,-0.94023781684546
58,07_05_25_cell11_Fc,oreol,1,446,58,58.0,1.4567,0.6748214904090476,0.8631139654006041
59,07_05_25_cell11_Fc,oreol,1,446,59,59.0,1.7367,0.9538537020913364,1.2184950240429329
60,07_05_25_cell11_Fc,oreol,1,446,60,60.0,0.9867,0.20288375322860885,0.25885197259361126
61,07_05_25_cell11_Fc,oreol,1,446,61,61.0,0.7733,-0.01141270324749788,-0.014543180488331572
62,07_05_25_cell11_Fc,oreol,1,446,62,62.0,2.7033,1.917651253202012,2.440747093126383
63,07_05_25_cell11_Fc,oreol,1,446,63,63.0,1.98,1.1934147951052718,1.517209817422121
64,07_05_25_cell11_Fc,oreol,1,446,64,64.0,2.0933,1.3058988186260085,1.6584221217574997
65,07_05_25_cell11_Fc,oreol,1,446,65,65.0,0.7933,0.005134537182805654,0.006514266715303481
66,07_05_25_cell11_Fc,oreol,1,446,66,66.0,1.1533,0.3644835080721207,0.4620442274312846
67,07_05_25_cell11_Fc,oreol,1,446,67,67.0,1.63,0.8406247522732117,1.0649241342365494
68,07_05_25_cell11_Fc,oreol,1,446,68,68.0,1.16,0.3702442134881144,0.46880848461189767
69,07_05_25_cell11_Fc,oreol,1,446,69,69.0,1.2067,0.41669651113141026,0.5274838653228252
70,07_05_25_cell11_Fc,oreol,1,446,70,70.0,0.4233,-0.36665879473350677,-0.4641296814320717
71,07_05_25_cell11_Fc,oreol,1,446,71,71.0,1.73,0.9401876984084103,1.190393839794331
72,07_05_25_cell11_Fc,oreol,1,446,72,72.0,0.8867,0.09729626095251731,0.12325805508821006
73,07_05_25_cell11_Fc,oreol,1,446,73,73.0,0.4433,-0.3453197208652817,-0.43786011989286755
74,07_05_25_cell11_Fc,oreol,1,446,74,74.0,0.2633,-0.5242982578763926,-0.6656643330813093
75,07_05_25_cell11_Fc,oreol,1,446,75,75.0,0.0,-0.7862801986075458,-1.0
76,07_05_25_cell11_Fc,oreol,1,446,76,76.0,0.8467,0.06209412168314132,0.07914388807021688
77,07_05_25_cell11_Fc,oreol,1,446,77,77.0,0.83,0.047529686349012,0.06074311768741695
78,07_05_25_cell11_Fc,oreol,1,446,78,78.0,1.4133,0.6333930552619496,0.8121045586056763
79,07_05_25_cell11_Fc,oreol,1,446,79,79.0,0.7867,0.009709414501120506,0.01249671648479796
80,07_05_25_cell11_Fc,oreol,1,446,80,80.0,0.7833,0.009840449680479812,0.012722094654585398
81,07_05_25_cell11_Fc,oreol,1,446,81,81.0,0.2767,-0.4928503648616667,-0.6404671302502811
82,07_05_25_cell11_Fc,oreol,1,446,82,82.0,0.69,-0.07501381171961974,-0.09805549987522655
83,07_05_25_cell11_Fc,oreol,1,446,83,83.0,0.6033,-0.1566238185964709,-0.20609559130899266
84,07_05_25_cell11_Fc,oreol,1,446,84,84.0,0.0,-0.7543311791644233,-1.0
85,07_05_25_cell11_Fc,oreol,1,446,85,85.0,1.2167,0.4685421811858844,0.6262890605495632
86,07_05_25_cell11_Fc,oreol,1,446,86,86.0,0.72,-0.021318225944286562,-0.028757185778255413
87,07_05_25_cell11_Fc,oreol,1,446,87,87.0,0.9233,0.18942706579783375,0.25810798214592306
88,07_05_25_cell11_Fc,oreol,1,446,88,88.0,1.1667,0.4407790718332898,0.6072277236456534
89,07_05_25_cell11_Fc,oreol,1,446,89,89.0,0.7167,-0.0005967385821360471,-0.0008319657433646036
90,07_05_25_cell11_Fc,oreol,1,446,90,90.0,0.8333,0.12528524556818488,0.17694454336234372
91,07_05_25_cell11_Fc,oreol,1,446,91,91.0,0.0,-0.6982565115535923,-1.0
92,07_05_25_cell11_Fc,oreol,1,446,92,92.0,0.5333,-0.1545851354538057,-0.2247143265776146
93,07_05_25_cell11_Fc,oreol,1,446,93,93.0,0.2833,-0.3937282137562575,-0.5815249964330911
94,07_05_25_cell11_Fc,oreol,1,446,94,94.0,0.66,-0.005721268734471763,-0.008594090354583125
95,07_05_25_cell11_Fc,oreol,1,446,95,95.0,1.07,0.4160665276885043,0.6362520734988691
96,07_05_25_cell11_Fc,oreol,1,446,96,96.0,0.89,0.24825693013093053,0.38684785514174824
97,07_05_25_cell11_Fc,oreol,1,446,97,97.0,1.12,0.49080093394207736,0.7800407858470904
98,07_05_25_cell11_Fc,oreol,1,446,98,98.0,0.8367,0.22031626557063044,0.3574529442649005
99,07_05_25_cell11_Fc,oreol,1,446,99,99.0,0.0133,-0.5899223341277138,-0.9778977073030246
100,07_05_25_cell11_Fc,oreol,1,446,100,100.0,0.1,-0.4899753902515929,-0.8305014045461196
101,07_05_25_cell11_Fc,oreol,1,446,101,101.0,1.11,0.5334332397323254,0.9251890266526566
102,07_05_25_cell11_Fc,oreol,1,446,102,102.0,0.91,0.3469196024820994,0.6161102464432191
103,07_05_25_cell11_Fc,oreol,1,446,103,103.0,0.1333,-0.4162380196860421,-0.7573866749043731
