,id,lab_id,roi,dist,index,time,abs_int,dF_int,dF/F0_int,base
0,07_05_25_cell16_ch0_exp,shaft,1,485,0,0.0,781.7999877929688,20.191999435424805,0.026499999687075615,simple
1,07_05_25_cell16_ch0_exp,shaft,1,485,1,1.0,760.1734008789062,-1.4345999956130981,-0.0019000000320374966,simple
2,07_05_25_cell16_ch0_exp,shaft,1,485,2,2.0,746.7406005859375,-14.867400169372559,-0.019500000402331352,simple
3,07_05_25_cell16_ch0_exp,shaft,1,485,3,3.0,757.7183227539062,-3.889699935913086,-0.005100000184029341,simple
4,07_05_25_cell16_ch0_exp,shaft,1,485,4,4.0,765.0977783203125,3.4897000789642334,0.004600000102072954,simple
5,07_05_25_cell16_ch0_exp,shaft,1,485,5,5.0,758.664794921875,-2.94320011138916,-0.0038999998942017555,simple
6,07_05_25_cell16_ch0_exp,shaft,1,485,6,6.0,752.82958984375,-8.778400421142578,-0.011500000022351742,simple
7,07_05_25_cell16_ch0_exp,shaft,1,485,7,7.0,746.1906127929688,-15.417499542236328,-0.02019999921321869,simple
8,07_05_25_cell16_ch0_exp,shaft,1,485,8,8.0,739.3480224609375,-22.260000228881836,-0.029200000688433647,simple
9,07_05_25_cell16_ch0_exp,shaft,1,485,9,9.0,748.334716796875,-13.273300170898438,-0.017400000244379044,simple
10,07_05_25_cell16_ch0_exp,shaft,1,485,10,10.0,744.69677734375,-16.911300659179688,-0.022199999541044235,simple
11,07_05_25_cell16_ch0_exp,shaft,1,485,11,11.0,755.09228515625,-6.515699863433838,-0.00860000029206276,simple
12,07_05_25_cell16_ch0_exp,shaft,1,485,12,12.0,740.6245727539062,-20.98349952697754,-0.02759999968111515,simple
13,07_05_25_cell16_ch0_exp,shaft,1,485,13,13.0,740.3923950195312,-21.215700149536133,-0.027899999171495438,simple
14,07_05_25_cell16_ch0_exp,shaft,1,485,14,14.0,734.9432983398438,-26.66469955444336,-0.03500000014901161,simple
15,07_05_25_cell16_ch0_exp,shaft,1,485,15,15.0,743.740478515625,-17.867599487304688,-0.023499999195337296,simple
