,id,lab_id,roi,dist,index,time,abs_int,dF_int,dF/F0_int,base
0,26_09_03_cell4_2_ch0,psd,1,578,0,0.0,147.477294921875,3.46589994430542,0.02410000003874302,simple
1,26_09_03_cell4_2_ch0,psd,1,578,1,1.0,144.56820678710938,0.5568000078201294,0.0038999998942017555,simple
2,26_09_03_cell4_2_ch0,psd,1,578,2,2.0,144.8636016845703,0.8522999882698059,0.005900000222027302,simple
3,26_09_03_cell4_2_ch0,psd,1,578,3,3.0,139.1363983154297,-4.875,-0.033900000154972076,simple
4,26_09_03_cell4_2_ch0,psd,1,578,4,4.0,137.272705078125,-6.73859977722168,-0.046799998730421066,simple
5,26_09_03_cell4_2_ch0,psd,1,578,5,5.0,141.5908966064453,-2.4205000400543213,-0.01679999940097332,simple
6,26_09_03_cell4_2_ch0,psd,1,578,6,6.0,138.772705078125,-5.23859977722168,-0.036400001496076584,simple
7,26_09_03_cell4_2_ch0,psd,1,578,7,7.0,140.79539489746094,-3.21589994430542,-0.022299999371170998,simple
8,26_09_03_cell4_2_ch0,psd,1,578,8,8.0,142.18179321289062,-1.8294999599456787,-0.01269999984651804,simple
9,26_09_03_cell4_2_ch0,psd,1,578,9,9.0,143.5,-0.5113999843597412,-0.003599999938160181,simple
10,26_09_03_cell4_2_ch0,psd,1,578,10,10.0,138.8636016845703,-5.14769983291626,-0.0357000008225441,simple
11,26_09_03_cell4_2_ch0,psd,1,578,11,11.0,136.8636016845703,-7.14769983291626,-0.04960000142455101,simple
12,26_09_03_cell4_2_ch0,psd,1,578,12,12.0,137.04539489746094,-6.96589994430542,-0.04839999973773956,simple
13,26_09_03_cell4_2_ch0,psd,1,578,13,13.0,135.5,-8.51140022277832,-0.05909999832510948,simple
14,26_09_03_cell4_2_ch0,psd,1,578,14,14.0,133.54539489746094,-10.465900421142578,-0.07270000129938126,simple
15,26_09_03_cell4_2_ch0,psd,1,578,15,15.0,131.3636016845703,-12.647700309753418,-0.08780000358819962,simple
