,id,lab_id,roi,dist,index,time,abs_int,dF_int,dF/F0_int,base
0,26_09_03_cell4_2_ch0,shaft,1,513,0,0.0,476.0,12.968799591064453,0.02800000086426735,simple
1,26_09_03_cell4_2_ch0,shaft,1,513,1,1.0,462.875,-0.15620000660419464,-0.0003000000142492354,simple
2,26_09_03_cell4_2_ch0,shaft,1,513,2,2.0,460.625,-2.4061999320983887,-0.005200000014156103,simple
3,26_09_03_cell4_2_ch0,shaft,1,513,3,3.0,452.625,-10.406200408935547,-0.02250000089406967,simple
4,26_09_03_cell4_2_ch0,shaft,1,513,4,4.0,431.0,-32.03120040893555,-0.06920000165700912,simple
5,26_09_03_cell4_2_ch0,shaft,1,513,5,5.0,434.625,-28.406200408935547,-0.06129999831318855,simple
6,26_09_03_cell4_2_ch0,shaft,1,513,6,6.0,430.75,-32.28120040893555,-0.06970000267028809,simple
7,26_09_03_cell4_2_ch0,shaft,1,513,7,7.0,436.375,-26.656200408935547,-0.0575999990105629,simple
8,26_09_03_cell4_2_ch0,shaft,1,513,8,8.0,458.75,-4.281199932098389,-0.009200000204145908,simple
9,26_09_03_cell4_2_ch0,shaft,1,513,9,9.0,431.625,-31.406200408935547,-0.06780000030994415,simple
10,26_09_03_cell4_2_ch0,shaft,1,513,10,10.0,441.0,-22.031200408935547,-0.047600001096725464,simple
11,26_09_03_cell4_2_ch0,shaft,1,513,11,11.0,451.0,-12.031200408935547,-0.026000000536441803,simple
12,26_09_03_cell4_2_ch0,shaft,1,513,12,12.0,463.875,0.8438000082969666,0.0017999999690800905,simple
13,26_09_03_cell4_2_ch0,shaft,1,513,13,13.0,483.625,20.593799591064453,0.04450000077486038,simple
14,26_09_03_cell4_2_ch0,shaft,1,513,14,14.0,466.75,3.7188000679016113,0.00800000037997961,simple
15,26_09_03_cell4_2_ch0,shaft,1,513,15,15.0,493.125,30.093799591064453,0.06499999761581421,simple
16,26_09_03_cell4_2_ch0,shaft,1,513,16,16.0,491.875,28.843799591064453,0.062300000339746475,simple
17,26_09_03_cell4_2_ch0,shaft,1,513,17,17.0,494.125,31.093799591064453,0.06719999760389328,simple
18,26_09_03_cell4_2_ch0,shaft,1,513,18,18.0,475.125,12.093799591064453,0.026100000366568565,simple
19,26_09_03_cell4_2_ch0,shaft,1,513,19,19.0,500.125,37.09379959106445,0.08009999990463257,simple
20,26_09_03_cell4_2_ch0,shaft,1,513,20,20.0,491.875,28.843799591064453,0.062300000339746475,simple
21,26_09_03_cell4_2_ch0,shaft,1,513,21,21.0,487.375,24.343799591064453,0.05260000005364418,simple
22,26_09_03_cell4_2_ch0,shaft,1,513,22,22.0,484.625,21.593799591064453,0.04659999907016754,simple
23,26_09_03_cell4_2_ch0,shaft,1,513,23,23.0,472.25,9.218799591064453,0.019899999722838402,simple
24,26_09_03_cell4_2_ch0,shaft,1,513,24,24.0,476.25,13.218799591064453,0.02850000001490116,simple
25,26_09_03_cell4_2_ch0,shaft,1,513,25,25.0,464.5,1.4687999486923218,0.0031999999191612005,simple
26,26_09_03_cell4_2_ch0,shaft,1,513,26,26.0,455.0,-8.031200408935547,-0.01730000041425228,simple
27,26_09_03_cell4_2_ch0,shaft,1,513,27,27.0,468.5,5.468800067901611,0.011800000444054604,simple
28,26_09_03_cell4_2_ch0,shaft,1,513,28,28.0,450.875,-12.156200408935547,-0.02630000002682209,simple
29,26_09_03_cell4_2_ch0,shaft,1,513,29,29.0,459.125,-3.9061999320983887,-0.00839999970048666,simple
30,26_09_03_cell4_2_ch0,shaft,1,513,30,30.0,450.125,-12.906200408935547,-0.027899999171495438,simple
31,26_09_03_cell4_2_ch0,shaft,1,513,31,31.0,443.375,-19.656200408935547,-0.042500000447034836,simple
32,26_09_03_cell4_2_ch0,shaft,1,513,32,32.0,428.5,-34.53120040893555,-0.07460000365972519,simple
33,26_09_03_cell4_2_ch0,shaft,1,513,33,33.0,451.25,-11.781200408935547,-0.02539999969303608,simple
34,26_09_03_cell4_2_ch0,shaft,1,513,34,34.0,446.375,-16.656200408935547,-0.035999998450279236,simple
35,26_09_03_cell4_2_ch0,shaft,1,513,35,35.0,453.25,-9.781200408935547,-0.0210999995470047,simple
36,26_09_03_cell4_2_ch0,shaft,1,513,36,36.0,458.25,-4.781199932098389,-0.010300000198185444,simple
37,26_09_03_cell4_2_ch0,shaft,1,513,37,37.0,474.625,11.593799591064453,0.02500000037252903,simple
38,26_09_03_cell4_2_ch0,shaft,1,513,38,38.0,474.125,11.093799591064453,0.024000000208616257,simple
39,26_09_03_cell4_2_ch0,shaft,1,513,39,39.0,465.375,2.3438000679016113,0.005100000184029341,simple
40,26_09_03_cell4_2_ch0,shaft,1,513,40,40.0,472.75,9.718799591064453,0.020999999716877937,simple
41,26_09_03_cell4_2_ch0,shaft,1,513,41,41.0,470.375,7.343800067901611,0.01590000092983246,simple
42,26_09_03_cell4_2_ch0,shaft,1,513,42,42.0,488.0,24.968799591064453,0.05389999970793724,simple
43,26_09_03_cell4_2_ch0,shaft,1,513,43,43.0,495.0,31.968799591064453,0.0689999982714653,simple
44,26_09_03_cell4_2_ch0,shaft,1,513,44,44.0,501.5,38.46879959106445,0.08309999853372574,simple
45,26_09_03_cell4_2_ch0,shaft,1,513,45,45.0,500.875,37.84379959106445,0.08169999718666077,simple
46,26_09_03_cell4_2_ch0,shaft,1,513,46,46.0,504.375,41.34379959106445,0.0892999991774559,simple
47,26_09_03_cell4_2_ch0,shaft,1,513,47,47.0,524.0,60.96879959106445,0.13169999420642853,simple
48,26_09_03_cell4_2_ch0,shaft,1,513,48,48.0,503.875,40.84379959106445,0.08820000290870667,simple
49,26_09_03_cell4_2_ch0,shaft,1,513,49,49.0,501.5,38.46879959106445,0.08309999853372574,simple
50,26_09_03_cell4_2_ch0,shaft,1,513,50,50.0,478.375,15.343799591064453,0.03310000151395798,simple
51,26_09_03_cell4_2_ch0,shaft,1,513,51,51.0,484.125,21.093799591064453,0.04560000076889992,simple
52,26_09_03_cell4_2_ch0,shaft,1,513,52,52.0,484.875,21.843799591064453,0.047200001776218414,simple
53,26_09_03_cell4_2_ch0,shaft,1,513,53,53.0,461.375,-1.6562000513076782,-0.003599999938160181,simple
54,26_09_03_cell4_2_ch0,shaft,1,513,54,54.0,458.875,-4.156199932098389,-0.008999999612569809,simple
55,26_09_03_cell4_2_ch0,shaft,1,513,55,55.0,450.875,-12.156200408935547,-0.02630000002682209,simple
