,id,lab_id,roi,index,time,abs_int,dF_int,dF/F0_int,base
0,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,0,0.0,600.70361328125,0.0,0.0,simple
1,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,1,1.0,596.25927734375,-4.444399833679199,-0.007400000002235174,simple
2,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,2,2.0,598.74072265625,-1.9630000591278076,-0.0032999999821186066,simple
3,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,3,3.0,605.3333129882812,4.6296000480651855,0.007699999958276749,simple
4,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,4,4.0,604.888916015625,4.185200214385986,0.007000000216066837,simple
5,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,5,5.0,603.0369873046875,2.333400011062622,0.0038999998942017555,simple
6,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,6,6.0,608.2222290039062,7.518599987030029,0.012500000186264515,simple
7,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,7,7.0,603.0,2.296299934387207,0.003800000064074993,simple
8,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,8,8.0,610.3333129882812,9.629599571228027,0.01600000075995922,simple
9,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,9,9.0,610.5925903320312,9.888899803161621,0.016499999910593033,simple
10,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,10,10.0,616.29638671875,15.592700004577637,0.026000000536441803,simple
11,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,11,11.0,609.4443969726562,8.740799903869629,0.014600000344216824,simple
12,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,12,12.0,606.0740966796875,5.3703999519348145,0.008899999782443047,simple
13,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,13,13.0,615.29638671875,14.592700004577637,0.024299999698996544,simple
14,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,14,14.0,611.4074096679688,10.703700065612793,0.017799999564886093,simple
15,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,15,15.0,606.29638671875,5.592700004577637,0.00930000003427267,simple
16,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,16,16.0,607.5556030273438,6.851900100708008,0.01140000019222498,simple
17,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,17,17.0,608.3333129882812,7.6296000480651855,0.01269999984651804,simple
18,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,18,18.0,612.111083984375,11.407400131225586,0.01899999938905239,simple
19,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,19,19.0,606.7777709960938,6.074100017547607,0.010099999606609344,simple
20,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,20,20.0,609.851806640625,9.148200035095215,0.015200000256299973,simple
21,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,21,21.0,604.5184936523438,3.8148000240325928,0.006399999838322401,simple
22,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,22,22.0,602.111083984375,1.4074000120162964,0.002300000051036477,simple
23,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,23,23.0,597.0,-3.703700065612793,-0.006200000178068876,simple
24,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,24,24.0,602.4074096679688,1.7036999464035034,0.00279999990016222,simple
25,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,25,25.0,605.74072265625,5.0370001792907715,0.00839999970048666,simple
26,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,26,26.0,595.7777709960938,-4.925899982452393,-0.008200000040233135,simple
27,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,27,27.0,600.7777709960938,0.07410000264644623,9.999999747378752e-05,simple
28,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,28,28.0,599.6295776367188,-1.0740000009536743,-0.0017999999690800905,simple
29,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,29,29.0,596.888916015625,-3.8148000240325928,-0.006399999838322401,simple
30,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,30,30.0,590.7777709960938,-9.92590045928955,-0.016499999910593033,simple
31,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,31,31.0,595.0369873046875,-5.666600227355957,-0.009399999864399433,simple
32,25_11_27_cell1_3_algn_ch0,25_11_27_cell1_3_algn_ch3_up-labels,1,32,32.0,592.6666870117188,-8.036999702453613,-0.013399999588727951,simple
