,id,lab_id,roi,index,time,abs_int,dF_int,dF/F0_int,base
0,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,0,0.0,9.962300300598145,0.0,0.0,simple
1,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,1,1.0,9.815600395202637,-0.14669999480247498,-0.014700000174343586,simple
2,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,2,2.0,9.503000259399414,-0.4593000113964081,-0.04610000178217888,simple
3,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,3,3.0,9.208900451660156,-0.7534000277519226,-0.07559999823570251,simple
4,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,4,4.0,9.13290023803711,-0.8294000029563904,-0.08330000191926956,simple
5,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,5,5.0,8.977800369262695,-0.984499990940094,-0.09880000352859497,simple
6,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,6,6.0,8.932000160217285,-1.0303000211715698,-0.10339999943971634,simple
7,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,7,7.0,8.811300277709961,-1.1510000228881836,-0.11550000309944153,simple
8,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,8,8.0,8.630000114440918,-1.3322999477386475,-0.13369999825954437,simple
9,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,9,9.0,8.474200248718262,-1.4881000518798828,-0.149399995803833,simple
10,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,10,10.0,8.50570011138916,-1.4565999507904053,-0.1462000012397766,simple
11,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,11,11.0,8.540900230407715,-1.4213999509811401,-0.14270000159740448,simple
12,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,12,12.0,9.038700103759766,-0.9236000180244446,-0.09269999712705612,simple
13,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,13,13.0,8.081100463867188,-1.8812999725341797,-0.18880000710487366,simple
14,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,14,14.0,7.94290018081665,-2.019399881362915,-0.20270000398159027,simple
15,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,15,15.0,8.070199966430664,-1.8920999765396118,-0.1898999959230423,simple
16,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,16,16.0,8.198200225830078,-1.7640999555587769,-0.17710000276565552,simple
17,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,17,17.0,8.046799659729004,-1.9155000448226929,-0.1923000067472458,simple
18,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,18,18.0,8.611100196838379,-1.351199984550476,-0.1356000006198883,simple
19,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,19,19.0,8.886099815368652,-1.076200008392334,-0.1080000028014183,simple
20,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,20,20.0,8.731300354003906,-1.2309999465942383,-0.12359999865293503,simple
21,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,21,21.0,8.758700370788574,-1.2036000490188599,-0.12080000340938568,simple
22,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,22,22.0,8.57129955291748,-1.3910000324249268,-0.1395999938249588,simple
23,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,23,23.0,8.52929973602295,-1.4329999685287476,-0.14380000531673431,simple
24,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,24,24.0,8.26259994506836,-1.6996999979019165,-0.17059999704360962,simple
25,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,25,25.0,8.546899795532227,-1.4154000282287598,-0.1421000063419342,simple
26,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,26,26.0,8.391400337219238,-1.5708999633789062,-0.15770000219345093,simple
27,25_11_27_cell1_3_algn_ch3,25_11_27_cell1_back-labels,1,27,27.0,8.105999946594238,-1.8562999963760376,-0.18629999458789825,simple
