,id,lab_id,roi,index,time,abs_int,dF_int,dF/F0_int,base
0,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,0,0.0,0.0,0.0,,simple
1,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,1,1.0,0.0,0.0,,simple
2,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,2,2.0,0.0,0.0,,simple
3,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,3,3.0,0.0,0.0,,simple
4,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,4,4.0,0.0,0.0,,simple
5,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,5,5.0,0.0,0.0,,simple
6,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,6,6.0,0.0,0.0,,simple
7,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,7,7.0,0.0,0.0,,simple
8,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,8,8.0,0.0,0.0,,simple
9,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,9,9.0,0.0,0.0,,simple
10,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,10,10.0,0.0,0.0,,simple
11,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,11,11.0,0.0,0.0,,simple
12,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,12,12.0,0.0,0.0,,simple
13,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,13,13.0,0.0,0.0,,simple
14,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,14,14.0,0.0,0.0,,simple
15,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,15,15.0,0.0,0.0,,simple
16,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,16,16.0,0.0,0.0,,simple
17,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,17,17.0,0.0,0.0,,simple
18,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,18,18.0,0.0,0.0,,simple
19,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,19,19.0,0.0,0.0,,simple
20,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,20,20.0,0.0,0.0,,simple
21,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,21,21.0,0.0,0.0,,simple
22,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,22,22.0,0.0,0.0,,simple
23,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,23,23.0,0.0,0.0,,simple
24,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,24,24.0,0.0,0.0,,simple
25,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,25,25.0,0.0,0.0,,simple
26,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,26,26.0,0.0,0.0,,simple
27,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,27,27.0,0.0,0.0,,simple
28,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,28,28.0,0.0,0.0,,simple
29,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,29,29.0,0.0,0.0,,simple
30,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,30,30.0,0.0,0.0,,simple
31,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,31,31.0,0.0,0.0,,simple
32,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,32,32.0,0.0,0.0,,simple
33,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,33,33.0,0.0,0.0,,simple
34,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,34,34.0,0.0,0.0,,simple
35,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,35,35.0,0.0,0.0,,simple
36,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,36,36.0,0.0,0.0,,simple
37,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,37,37.0,0.0,0.0,,simple
38,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,38,38.0,0.0,0.0,,simple
39,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,39,39.0,0.0,0.0,,simple
40,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,40,40.0,0.0,0.0,,simple
41,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,41,41.0,0.0,0.0,,simple
42,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,42,42.0,0.0,0.0,,simple
43,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,43,43.0,0.0,0.0,,simple
44,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,44,44.0,0.0,0.0,,simple
45,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,45,45.0,0.0,0.0,,simple
46,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,46,46.0,0.0,0.0,,simple
47,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,47,47.0,0.0,0.0,,simple
48,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,48,48.0,0.0,0.0,,simple
49,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,49,49.0,0.0,0.0,,simple
50,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,50,50.0,0.0,0.0,,simple
51,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,51,51.0,0.0,0.0,,simple
52,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,52,52.0,0.0,0.0,,simple
53,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,53,53.0,0.0,0.0,,simple
54,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,54,54.0,9.999999747378752e-05,9.999999747378752e-05,inf,simple
55,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,55,55.0,0.0,0.0,,simple
56,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,56,56.0,0.0,0.0,,simple
57,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,57,57.0,0.0,0.0,,simple
58,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,58,58.0,0.0,0.0,,simple
59,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,59,59.0,0.0,0.0,,simple
60,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,60,60.0,0.0,0.0,,simple
61,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,61,61.0,0.0,0.0,,simple
62,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,62,62.0,0.0,0.0,,simple
63,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,63,63.0,0.0,0.0,,simple
64,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,64,64.0,0.0,0.0,,simple
65,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,65,65.0,0.0,0.0,,simple
66,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,66,66.0,0.0,0.0,,simple
67,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,67,67.0,0.0,0.0,,simple
68,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,68,68.0,0.0,0.0,,simple
69,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,69,69.0,0.0,0.0,,simple
70,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,70,70.0,0.0,0.0,,simple
71,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,71,71.0,0.0,0.0,,simple
72,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,72,72.0,0.0,0.0,,simple
73,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,73,73.0,0.0,0.0,,simple
74,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,74,74.0,0.0,0.0,,simple
75,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,75,75.0,0.0,0.0,,simple
76,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,76,76.0,0.0,0.0,,simple
77,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,77,77.0,0.0006000000284984708,0.0006000000284984708,inf,simple
78,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,78,78.0,0.0,0.0,,simple
79,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,79,79.0,0.0,0.0,,simple
80,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,80,80.0,0.0,0.0,,simple
81,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,81,81.0,0.0,0.0,,simple
82,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,82,82.0,0.0,0.0,,simple
83,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,83,83.0,0.0010999999940395355,0.0010999999940395355,inf,simple
84,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,84,84.0,0.0026000000070780516,0.0026000000070780516,inf,simple
85,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,85,85.0,0.0,0.0,,simple
86,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,86,86.0,0.0,0.0,,simple
87,25_11_27_cell2_3_algn_E_A,25_11_27_cell2_3_algn_ch3_up-labels,1,87,87.0,0.0,0.0,,simple
